species	length
bonobo	404890
bonobo	310662
bonobo	609672
bonobo	267009
bonobo	288695
bonobo	808406
bonobo	947400
bonobo	509136
bonobo	310102
bonobo	290403
bonobo	355793
bonobo	411322
bonobo	527828
bonobo	635328
bonobo	776562
bonobo	811977
bonobo	290159
bonobo	400196
bonobo	734167
bonobo	418914
bonobo	716603
bonobo	333627
bonobo	417299
bonobo	731937
bonobo	328115
bonobo	902328
bonobo	1262196
bonobo	303109
bonobo	1607368
bonobo	1351275
bonobo	1672398
bonobo	3058508
bonobo	420110
bonobo	381603
bonobo	267998
bonobo	327854
bonobo	641234
bonobo	344915
bonobo	518500
bonobo	379454
bonobo	363236
bonobo	282791
bonobo	433116
bonobo	325836
bonobo	1209316
bonobo	748874
bonobo	315546
bonobo	270286
bonobo	678832
bonobo	425596
bonobo	424869
bonobo	424389
bonobo	2569989
bonobo	648189
bonobo	420121
bonobo	888003
bonobo	542953
bonobo	339559
bonobo	613605
bonobo	264902
bonobo	1335794
bonobo	279235
bonobo	283015
bonobo	684246
bonobo	1337133
bonobo	877572
bonobo	977257
bonobo	2770386
bonobo	361686
bonobo	365150
bonobo	1752803
bonobo	340166
bonobo	327213
bonobo	403012
bonobo	1069627
bonobo	336688
bonobo	282622
bonobo	455532
bonobo	1003213
bonobo	541315
bonobo	573324
bonobo	1281800
bonobo	443559
bonobo	321837
bonobo	568341
bonobo	791186
bonobo	445084
bonobo	322438
bonobo	527969
bonobo	1388820
bonobo	295946
bonobo	288734
bonobo	325602
bonobo	420811
bonobo	288939
bonobo	295665
bonobo	423392
bonobo	706228
bonobo	625232
bonobo	308645
bonobo	293608
bonobo	810292
bonobo	1940886
bonobo	1388359
bonobo	280231
bonobo	277032
bonobo	580538
bonobo	2213998
bonobo	314005
bonobo	402068
bonobo	442184
bonobo	974771
bonobo	2485315
bonobo	1196269
bonobo	4867191
bonobo	913684
bonobo	488656
bonobo	873421
bonobo	275032
bonobo	269662
bonobo	903767
bonobo	310356
bonobo	292619
bonobo	499452
bonobo	389768
bonobo	439871
bonobo	434769
bonobo	279966
bonobo	363613
bonobo	316321
bonobo	790159
bonobo	1011159
