clade	species	start	end	gc_content	gc_stretch_count
NC_073261.2	-2::NC_073261.2:98933633-98949680	0	60	0.5333	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	30	90	0.4	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	60	120	0.45	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	90	150	0.5333	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	120	180	0.5667	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	150	210	0.65	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	180	240	0.6167	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	210	270	0.5833	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	240	300	0.6333	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	270	330	0.5833	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	300	360	0.5333	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	330	390	0.5667	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	360	420	0.5667	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	390	450	0.5333	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	420	480	0.5167	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	450	510	0.55	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	480	540	0.55	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	510	570	0.5333	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	540	600	0.55	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	570	630	0.55	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	600	660	0.5167	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	630	690	0.5	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	660	720	0.6	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	690	750	0.6333	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	720	780	0.6	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	750	810	0.6	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	780	840	0.5833	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	810	870	0.5833	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	840	900	0.5667	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	870	930	0.5667	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	900	960	0.5833	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	930	990	0.5833	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	960	1020	0.5667	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	990	1050	0.5667	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1020	1080	0.5833	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1050	1110	0.5833	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1080	1140	0.5667	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1110	1170	0.5333	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1140	1200	0.5833	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1170	1230	0.6	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1200	1260	0.5667	1
NC_073261.2	-2::NC_073261.2:98933633-98949680	1230	1290	0.5833	1
NC_073261.2	-2::NC_073261.2:98933633-98949680	1260	1320	0.5167	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1290	1350	0.5667	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1320	1380	0.5833	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1350	1410	0.5167	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1380	1440	0.5167	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1410	1470	0.5167	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1440	1500	0.5	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1470	1530	0.4667	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1500	1560	0.5333	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1530	1590	0.5667	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1560	1620	0.3833	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1590	1650	0.3333	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1620	1680	0.5167	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1650	1710	0.55	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1680	1740	0.5	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1710	1770	0.5	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1740	1800	0.5333	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1770	1830	0.55	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1800	1860	0.4833	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1830	1890	0.45	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1860	1920	0.4	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1890	1950	0.45	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1920	1980	0.5333	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1950	2010	0.5167	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	1980	2040	0.4833	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	2010	2070	0.4	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	2040	2100	0.4	0
NC_073261.2	-2::NC_073261.2:98933633-98949680	2070	2130	0.4333	0
