clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TGC	codon_CAT	codon_AAT	codon_AAG	codon_TCT	codon_CTC	codon_AAA	codon_AAC	codon_CCC	codon_TGG	codon_ACT	codon_GTA	codon_TCA	codon_AGG	codon_GGT	codon_TGT	codon_CAC	codon_GAT	codon_GGA	codon_ATT	codon_AGC	codon_AGT	codon_GAA	codon_TTT	codon_GGC	codon_GAG	codon_GGG	codon_GAC	codon_GCT	codon_CGT	codon_GTG	codon_ATG	codon_CTG	codon_GCG	codon_TTG	codon_GTC	codon_GTT	codon_GCA	codon_ATC	codon_ACC	codon_CCT	codon_AGA	codon_TAT	codon_CAA	codon_ATA	codon_TTC	codon_ACA	codon_TGA	codon_TAG	codon_CGG	codon_CGA	codon_TCG	codon_CAG	codon_TAC	codon_CCA	codon_TAA	codon_GCC	codon_TCC	codon_CTT	codon_CCG	codon_CGC	codon_ACG	codon_CTA	codon_TTA
NC_060945.1	3::NC_060945.1:41607428-41614955	7527	False	0.5892	0	2.0	3.0	5.0	114.0	2.0	1.0	5.0	3.0	1.0	4.0	1.0	92.0	1.0	7.0	537.0	7.0	1.0	108.0	117.0	1.0	1.0	113.0	61.0	1.0	5.0	4.0	104.0	2.0	4.0	1.0	1019	163.0	8.0	4.0	2.0	1.0	2.0	1.0	1.0																									
NC_060945.1	-2::NC_060945.1:41607447-41617941	10494	False	0.5876	0	9.0			59.0			8.0	1.0		941.0	3.0	48.0		124.0	541.0	10.0	1.0	121.0	95.0	4.0	3.0	124.0	66.0	1.0	8.0	121.0	96.0	4.0	7.0	2.0	604	108.0	6.0	3.0	2.0	1.0	12.0	4.0	1.0	1.0	1.0	3.0	1.0	3.0	6.0	1.0	4.0	241.0	91.0	1.0	4.0	2.0	1.0											
NC_060945.1	-3::NC_060945.1:41607470-41617934	10464	False	0.5879	0	8.0	3.0	5.0	113.0	1.0		4.0	3.0		558.0		91.0		74.0	539.0	12.0	1.0	109.0	142.0	1.0	1.0	113.0	62.0	1.0	5.0	70.0	106.0	2.0	4.0	1.0	1019	164.0	9.0	4.0	9.0	1.0	2.0	1.0	1.0				2.0	1.0				167.0	62.0	1.0	3.0	3.0	8.0	1.0	1.0									
NC_060945.1	-1::NC_060945.1:41607535-41617975	10440	False	0.5884	0	5.0		2.0	71.0			3.0		1.0	555.0	2.0	61.0		73.0	911.0	3.0	1.0	163.0	85.0		1.0	197.0	119.0	3.0	5.0	60.0	160.0		9.0	2.0	607	114.0	9.0	4.0	9.0	1.0	7.0	5.0	2.0			1.0		2.0	4.0	1.0	5.0	156.0	49.0	2.0	1.0	1.0	5.0			2.0	1.0							
NC_060945.1	2::NC_060945.1:41610271-41617888	7617	False	0.5897	0			1.0	65.0						4.0		61.0		19.0	911.0	3.0		163.0	65.0			197.0	117.0	2.0	5.0	1.0	157.0		8.0	2.0	606	114.0	8.0	4.0	5.0	1.0	7.0	3.0	1.0						4.0		5.0																	
NC_060937.1	-2::NC_060937.1:22536950-22548509	11559	False	0.3767	1	90.0	74.0	123.0	131.0	79.0	70.0	137.0	101.0	22.0	89.0	73.0	35.0		78.0	27.0	84.0	54.0	52.0	30.0	137.0	65.0	67.0	55.0	214.0	32.0	36.0	26.0	21.0	33.0	8.0	33	66.0	87.0	10.0	71.0	66.0	43.0	38.0	157.0	35.0	31.0	79.0	69.0	98.0	79.0	184.0	50.0	72.0	47.0	3.0	12.0	20.0	52.0	54.0	44.0	99.0	25.0	68.0	94.0	6.0	6.0	12.0		
NC_060937.1	-2::NC_060937.1:101947520-101968511	20991	False	0.3821	2	171.0	162.0	176.0	119.0	166.0	208.0	123.0	100.0	61.0	178.0	158.0	41.0		126.0	41.0	219.0	71.0	67.0	56.0	195.0	58.0	135.0	71.0	507.0	38.0	60.0	60.0	43.0	76.0	18.0	65	138.0	171.0	5.0	262.0	101.0	116.0	30.0	223.0	87.0	82.0	165.0	154.0	98.0	89.0	412.0	72.0	255.0	91.0	15.0	11.0	10.0	93.0	102.0	36.0	145.0	44.0	116.0	266.0	9.0	10.0	20.0		
NC_060943.1	2::NC_060943.1:834868-842815	7947	False	0.6747	2	82.0	6.0	44.0	9.0	8.0	51.0		9.0	381.0	43.0	2.0		70.0	10.0	44.0	53.0	106.0	1.0	1.0		183.0	2.0	3.0	4.0	26.0	2.0	17.0	4.0	58.0	37.0	37	54.0	51.0	4.0	39.0	44.0	38.0	48.0	8.0	78.0	92.0			69.0	2.0	54.0	13.0			10.0	1.0	25.0	160.0	7.0	195.0		169.0	54.0	47.0	28.0	27.0	33.0	6.0	
NC_060943.1	3::NC_060943.1:835043-842732	7689	False	0.6768	2	73.0	17.0	49.0	9.0		50.0		11.0	355.0	46.0			79.0	3.0	39.0	53.0	94.0				161.0			1.0	24.0		5.0		58.0	37.0	35	47.0	50.0		37.0	53.0	44.0	56.0	2.0	76.0	78.0	1.0		53.0	1.0	47.0	8.0			16.0	6.0	11.0	159.0	4.0	220.0		200.0	60.0	50.0	20.0	26.0	35.0	4.0	
NC_060943.1	1::NC_060943.1:835068-842712	7644	False	0.6773	2	71.0	11.0	44.0	4.0		55.0		5.0	378.0	51.0	1.0		77.0	10.0	37.0	43.0	115.0				156.0			12.0	27.0	6.0	5.0	1.0	51.0	33.0	37	58.0	36.0	2.0	44.0	53.0	39.0	47.0	4.0	69.0	89.0	2.0	4.0	57.0	4.0	39.0	7.0			14.0	1.0	16.0	178.0		203.0		184.0	59.0	44.0	18.0	16.0	31.0		
