clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TCT	codon_AGG	codon_GTT	codon_TTA	codon_GGG	codon_GGT	codon_CCT	codon_AAC	codon_CTA	codon_ACC	codon_GAT	codon_TAT	codon_GCA	codon_TGC	codon_TTG	codon_GGA	codon_ATA	codon_GTG	codon_GAG	codon_GCT	codon_TTT	codon_ATT	codon_AGT	codon_AGC	codon_AAG	codon_CCA	codon_TTC	codon_ATG	codon_CAT	codon_AAT	codon_AGA	codon_CTT	codon_AAA	codon_GGC	codon_GTA	codon_TGT	codon_TCG	codon_TCC	codon_ACA	codon_CGC	codon_CAA	codon_ATC	codon_TAC	codon_CAC	codon_CCC	codon_CTC	codon_ACT	codon_TGG	codon_CTG	codon_TCA	codon_CCG	codon_CAG	codon_CGA	codon_GAC	codon_CGT	codon_GTC	codon_GCG	codon_GAA	codon_GCC	codon_ACG	codon_CGG
NC_072001.2	-1::NC_072001.2:4793-11297(-)	6504	False	0.4998	0	1.0	963.0	962.0	121.0	120.0	1.0																																																							
NC_072001.2	1::NC_072001.2:4794-11343(+)	6549	False	0.499	0				1.0			121.0	122.0	964.0	962.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																																							
NC_072001.2	-2::NC_072001.2:5518-11338(-)	5820	False	0.4993	0				963.0	962.0	1.0			3.0											1.0			1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0																															
NC_072001.2	3::NC_072001.2:5519-11354(+)	5835	False	0.4991	0				2.0	1.0		963.0	962.0				1.0		2.0	1.0	1.0				1.0			1.0	1.0				1.0		1.0	1.0	3.0	1.0	1.0	1.0																										
NC_072001.2	1::NC_072001.2:3341385-3347082(+)	5697	False	0.3906	0	26.0	1.0	27.0	16.0		1.0	24.0	2.0	10.0	13.0	2.0	25.0	18.0	22.0	22.0	2.0	6.0			1.0	45.0	252.0	10.0	2.0	2.0	227.0	251.0	4.0	247.0	27.0	4.0	31.0	10.0		3.0	5.0	5.0	246.0	74.0	3.0	22.0	8.0	27.0	56.0	5.0	8.0	15.0	1.0	6.0	36.0	9.0	5.0	4.0	2.0	15.0	3.0	2.0	3.0	1.0	5.0	
NC_072001.2	1::NC_072001.2:4225704-4230798(+)	5094	False	0.3958	0	11.0		29.0	12.0			27.0	5.0	9.0	4.0	4.0	16.0	12.0	16.0	21.0		11.0			2.0	37.0	225.0	3.0			204.0	263.0	4.0	223.0	20.0	7.0	19.0	7.0			3.0	8.0	217.0	65.0	4.0	12.0	12.0	11.0	65.0	4.0	11.0	18.0	2.0		27.0	9.0	6.0	3.0	1.0	14.0	2.0	2.0	1.0	4.0	6.0	
NC_072001.2	3::NC_072001.2:4335980-4341869(+)	5889	False	0.3916	0	15.0		11.0	18.0			25.0	5.0	8.0	8.0	8.0	14.0	19.0	17.0	28.0		14.0	2.0		2.0	37.0	265.0	1.0		1.0	226.0	279.0	7.0	252.0	27.0	4.0	41.0	8.0		3.0	5.0	3.0	257.0	84.0	3.0	26.0	13.0	16.0	81.0	6.0	10.0	23.0		4.0	38.0	6.0	4.0	3.0	2.0	14.0	5.0		4.0	2.0	8.0	1.0
NC_072001.2	-3::NC_072001.2:5047851-5052879(-)	5028	False	0.4012	0	15.0	1.0	25.0	18.0			18.0	2.0	18.0	9.0	2.0	17.0	23.0	22.0	9.0		7.0	3.0		2.0	47.0	206.0	4.0	1.0	2.0	174.0	233.0	7.0	197.0	23.0	1.0	24.0	5.0	1.0		7.0	1.0	206.0	72.0	2.0	24.0	14.0	16.0	84.0	10.0	16.0	17.0		5.0	22.0	5.0	5.0	8.0	5.0	22.0	1.0	2.0	1.0	3.0	12.0	
NC_072001.2	3::NC_072001.2:5503754-5508818(+)	5064	False	0.3851	0	21.0		15.0	27.0		1.0	17.0	2.0	7.0	10.0	4.0	15.0	14.0	16.0	12.0		4.0			1.0	46.0	238.0	4.0			214.0	261.0	2.0	208.0	28.0		27.0	11.0		2.0	6.0	3.0	216.0	60.0	5.0	19.0	7.0	11.0	68.0	5.0	8.0	13.0		4.0	24.0	7.0	4.0	6.0	1.0	7.0	1.0	1.0	1.0		4.0	
NC_072001.2	2::NC_072001.2:5521318-5526382(+)	5064	False	0.3851	0	21.0		15.0	27.0		1.0	17.0	2.0	7.0	10.0	4.0	15.0	14.0	16.0	12.0		4.0			1.0	46.0	238.0	4.0			214.0	261.0	2.0	208.0	28.0		27.0	11.0		2.0	6.0	3.0	216.0	60.0	5.0	19.0	7.0	11.0	68.0	5.0	8.0	13.0		4.0	24.0	7.0	4.0	6.0	1.0	7.0	1.0	1.0	1.0		4.0	
NC_072001.2	-1::NC_072001.2:7190336-7195532(-)	5196	False	0.4024	0	22.0	1.0	16.0	12.0			29.0	5.0	9.0	9.0	9.0	21.0	17.0	25.0	18.0		16.0	2.0		4.0	39.0	222.0	4.0			188.0	246.0	7.0	212.0	18.0	5.0	28.0	7.0	2.0	1.0	4.0	2.0	241.0	67.0	2.0	25.0	10.0	12.0	57.0	11.0	8.0	14.0		1.0	22.0	15.0	6.0	2.0	2.0	21.0	4.0			3.0	9.0	
