chr	start	end	frame	filler	frame	chr	exon_1_start	exon_1_end	exon_2_start	exon_2_end	gene	transcript	exon_strand	exon_frame	intron_start	intron_end	intron_length	merged_txs
NC_072398.2	106760564	106761164	3	1	+	NC_072398.2	106760684	106760817	106761001	106761038	PIAS3	XM_016941336.4	+	3	106760817	106761001	184	2
NC_072398.2	117966537	117967353	-1	1	-	NC_072398.2	117966884	117967060	117966573	117966745	LOC112208393	XM_063789594.1	-	1	117966745	117966884	139	1
NC_072398.2	117971564	117972686	-2	1	-	NC_072398.2	117971911	117972402	117971600	117971772	LOC112208393	XM_063789594.1	-	2	117971772	117971911	139	1
NC_072398.2	118481484	118481916	1	1	+	NC_072398.2	118481524	118481631	118481764	118481915	PPM1J	XM_009429244.4	+	1	118481631	118481764	133	2
NC_072398.2	121530579	121531071	-1	1	-	NC_072398.2	121530835	121530930	121530634	121530744	GSTM2	NM_001367584.1	-	1	121530744	121530835	91	1
NC_072398.2	121822018	121822570	-3	1	-	NC_072398.2	121822502	121822537	121822153	121822228	GSTM2	NM_001367584.1	-	3	121822228	121822502	274	1
NC_072398.2	121831344	121831932	-1	1	-	NC_072398.2	121831708	121831803	121831507	121831617	GSTM4	NM_001367583.1	-	1	121831617	121831708	91	4
NC_072398.2	122216536	122217394	-3	1	-	NC_072398.2	122217181	122217375	122216872	122217042	CELSR2	XM_016923898.4	-	3	122217042	122217181	139	4
NC_072398.2	122216536	122217394	-3	1	-	NC_072398.2	122216872	122217042	122216538	122216772	CELSR2	XM_016923898.4	-	3	122216772	122216872	100	2
NC_072398.2	122216536	122217394	-3	1	-	NC_072398.2	122216872	122217042	122216538	122216790	CELSR2	XM_063816064.1	-	3	122216790	122216872	82	2
NC_072398.2	122218455	122218926	-1	1	-	NC_072398.2	122218696	122218822	122218486	122218608	CELSR2	XM_016923898.4	-	1	122218608	122218696	88	4
NC_072398.2	159932132	159932405	3	1	+	NC_072398.2	159932144	159932196	159932287	159932395	ZRANB2	XM_001166823.6	+	3	159932196	159932287	91	2
