clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_GGG	codon_TGT	codon_GTG	codon_GAG	codon_ATA	codon_TGG	codon_GCT	codon_GGA	codon_GGT	codon_GAT	codon_GGC	codon_AGG	codon_TGA	codon_TTG	codon_CTG	codon_ATG	codon_GTA	codon_GAC	codon_TCT	codon_TAT	codon_CAG	codon_TTT	codon_GCG	codon_TAG	codon_CGG	codon_GTC	codon_AAG	codon_ATT	codon_GAA	codon_AGA	codon_ACG	codon_CGA	codon_GCC	codon_AGC	codon_AGT	codon_ACT	codon_GTT	codon_TGC	codon_ACA	codon_CAC	codon_ACC	codon_TAA	codon_GCA	codon_CCT	codon_TTC	codon_CCA	codon_AAA	codon_TCG	codon_CTT	codon_CAA	codon_CGT	codon_CAT	codon_TAC	codon_CTC	codon_TCC	codon_CCC	codon_CCG	codon_AAC	codon_AAT	codon_ATC	codon_CGC	codon_TCA	codon_CTA	codon_TTA
NC_072001.2	-1::NC_072001.2:32344880-32357606	12726	False	0.6707	1	930.0	285.0	526.0	251.0	4.0	281.0	107.0	279.0	265.0	128.0	112.0	333.0	215.0	4.0	122.0	122.0	2.0	16.0	7.0	4.0	4.0	3.0	2.0	1.0	2.0	8.0	86.0	1.0	93.0	2.0	2.0	2.0	1.0	5.0	3.0	11.0	4.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0													
NC_072001.2	-2::NC_072001.2:32345332-32357440	12108	False	0.6721	1	893.0	270.0	506.0	237.0	2.0	274.0	105.0	251.0	241.0	117.0	105.0	349.0	214.0	2.0	124.0	117.0		12.0	5.0	4.0		3.0		1.0	3.0	6.0	93.0		85.0	1.0	4.0				2.0	6.0			1.0											1.0		1.0	1.0											
NC_072005.2	-1::NC_072005.2:8984121-9000780	16659	False	0.4887	2	92.0	396.0	44.0	52.0	22.0	151.0	164.0	267.0	330.0	111.0	101.0	208.0	271.0	57.0	71.0	67.0	16.0	77.0	72.0	62.0	94.0	80.0	5.0	26.0	5.0	103.0	73.0	64.0	51.0	321.0	3.0	14.0	40.0	90.0	265.0	107.0	48.0	89.0		141.0	53.0	35.0		60.0	164.0	36.0	55.0	3.0	58.0	73.0	35.0	170.0	32.0	168.0	76.0	65.0	7.0	59.0	70.0	75.0	9.0			
NC_072005.2	-1::NC_072005.2:43253046-43276110	23064	False	0.4577	0			1.0			1.0	255.0	1.0	312.0	765.0	1.0	2.0	2.0	1.0	1.0	3.0		1428.0		1.0	1.0	1.0	1.0	1.0				3.0			765.0			74.0	193.0	771.0	1.0	1.0	1529.0	794.0	1.0	1.0	1.0				2.0		1.0			2.0			1.0	1.0			768.0	1.0				
NC_072005.2	1::NC_072005.2:43253085-43276101	23016	False	0.4581	0			1.0			1.0	255.0		312.0	765.0	1.0	1.0			1.0	3.0		1428.0			1.0	1.0	1.0					2.0			765.0			74.0	193.0	771.0			1529.0	794.0	1.0		1.0				1.0		1.0			1.0				1.0			766.0	1.0				
NC_072005.2	2::NC_072005.2:43253116-43276084	22968	False	0.4582	0			502.0								1.0				234.0	765.0	2.0				691.0	1.0								1.0	567.0	765.0						1.0	1653.0		1.0		75.0							838.0				29.0			1.0			765.0		1.0	763.0	
NC_071985.2	-3::NC_071985.2:1983993-2005302	21309	False	0.4928	1	9.0	5.0	1147.0	1.0	456.0	2.0	1.0			132.0	45.0	542.0		3.0	2.0	414.0		404.0	2.0	2.0	4.0	552.0	10.0	1078.0		540.0		1.0	2.0		53.0		2.0	495.0	1.0	2.0	2.0	3.0	611.0	1.0	1.0		11.0	20.0		1.0	1.0		2.0	1.0		3.0	7.0	2.0	3.0	521.0	2.0	1.0	1.0	2.0				
NC_071997.2	-2::NC_071997.2:124426561-124445485	18924	False	0.423	0	2.0	204.0	2.0	1.0	2.0	4.0	3.0	6.0	2.0	1.0	4.0	2.0	2.0	1.0	4.0	2.0		2.0		962.0	3.0	8.0		1.0		1.0	1.0		1.0	2.0			1.0	2.0		3.0	1.0	3.0		2391.0	2.0	2.0	1.0	5.0	1.0		2.0		1.0		41.0	2530.0	1.0	3.0	1.0	8.0		3.0	1.0		82.0			
NC_071997.2	-1::NC_071997.2:124426565-124445297	18732	False	0.4214	0	1.0	1.0		2.0			2.0			1.0		1.0	3.0			2.0										243.0		221.0	2.0				82.0	1.0	1.0	941.0			3.0		1450.0	2.0	1.0	6.0	3.0									2.0				1.0	1.0	3271.0				
NC_071997.2	1::NC_071997.2:124426569-124437249	10680	False	0.4211	0	1.0			1.0						1.0		2.0			108.0		1.0																						1.0				1.0			845.0	1.0	49.0	4.0						2.0		31.0		1.0			1949.0	429.0	133.0
