clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_ACC	codon_TAA	codon_CCC	codon_CCT	codon_AAC	codon_AGC	codon_CTA	codon_GCC	codon_AGG	codon_AGT	codon_GGG	codon_TAG	codon_GAG	codon_TGG	codon_TGT	codon_CAT	codon_TTT	codon_GCT	codon_CTG	codon_GAA	codon_CTC	codon_TTC	codon_AAG	codon_CTT	codon_GAC	codon_GAT	codon_GGT	codon_GTA	codon_ATG	codon_GTG	codon_ATA	codon_TGA	codon_CGA	codon_CAG	codon_GTT	codon_TGC	codon_AAT	codon_ACG	codon_ACA	codon_TTG	codon_GGA	codon_TAT	codon_ATT	codon_ATC	codon_TCT	codon_CGG	codon_CAA	codon_CGT	codon_ACT	codon_CCA	codon_GTC	codon_TCG	codon_TAC	codon_GCG	codon_GGC	codon_CGC	codon_GCA	codon_CAC	codon_TCC	codon_CCG	codon_TCA	codon_AAA	codon_AGA	codon_TTA
NC_072397.2	-1::NC_072397.2:3677-8714	5037	False	0.5253	0	1.0	127.0	127.0	712.0	585.0	127.0																																																										
NC_072397.2	1::NC_072397.2:3678-8715	5037	False	0.5255	0	585.0		1.0	127.0	127.0		712.0	127.0																																																								
NC_072397.2	-3::NC_072397.2:1651053-1657002	5949	False	0.3932	0		44.0		1.0	1.0	1.0		1.0	17.0	46.0	1.0	17.0	21.0	88.0	43.0	2.0	4.0	13.0	22.0	3.0	2.0	1.0	2.0	1.0	30.0	438.0	119.0	21.0	343.0	166.0	58.0	332.0	8.0	8.0	15.0	6.0	47.0	6.0	5.0	6.0	14.0	13.0	8.0	4.0	3.0	2.0																		
NC_072397.2	-1::NC_072397.2:1651100-1656890	5790	False	0.3924	0		45.0				1.0			15.0	35.0		31.0	15.0	112.0	55.0		1.0	14.0	11.0				1.0	1.0	11.0	363.0	108.0	19.0	315.0	125.0	50.0	442.0	14.0	13.0	6.0	12.0	39.0	10.0	9.0	13.0	20.0	5.0	2.0	3.0	9.0	1.0	2.0	1.0	1.0															
NC_072397.2	-2::NC_072397.2:1651111-1657258	6147	False	0.3929	0	1.0	40.0	1.0		1.0				20.0	28.0		28.0	17.0	109.0	40.0	4.0	9.0	7.0	15.0	1.0		1.0	2.0		18.0	356.0	107.0	12.0	418.0	189.0	72.0	375.0	5.0	5.0	4.0	14.0	53.0	16.0	15.0	17.0	15.0	10.0	2.0	7.0	5.0	1.0			1.0	1.0	2.0	1.0	1.0	1.0	2.0									
NC_072397.2	2::NC_072397.2:5037673-5044687	7014	False	0.6129	1	111.0		263.0	279.0	28.0	2.0	7.0	13.0	1.0					1.0	1.0	25.0	5.0	6.0	17.0		292.0	119.0	1.0	89.0			1.0	1.0			3.0			1.0	1.0	16.0	1.0	4.0	165.0			3.0	5.0	17.0	97.0		28.0	3.0	12.0	126.0	10.0	4.0	7.0			9.0	2.0	262.0	271.0	4.0	16.0	9.0		
NC_072397.2	3::NC_072397.2:5037707-5054327	16620	False	0.6154	1	281.0		587.0	714.0	43.0	4.0	21.0	39.0	2.0	2.0				1.0	6.0	56.0	16.0	8.0	28.0	2.0	662.0	209.0		223.0	5.0		1.0		1.0	1.0	4.0		9.0	7.0	1.0	23.0	3.0	7.0	366.0	8.0	2.0	4.0	8.0	43.0	254.0		59.0	16.0	35.0	310.0	17.0	15.0	26.0		3.0	16.0	9.0	611.0	694.0	11.0	44.0	15.0	7.0	1.0
NC_072397.2	1::NC_072397.2:5038917-5054298	15381	False	0.6156	1	244.0		554.0	640.0	44.0	1.0	13.0	33.0		1.0	1.0		3.0	1.0	2.0	50.0	9.0	2.0	28.0	1.0	666.0	221.0		230.0	9.0	1.0		1.0	1.0	1.0	7.0		3.0	7.0	6.0	30.0	3.0	8.0	353.0	3.0		5.0	9.0	43.0	193.0		43.0	10.0	31.0	266.0	16.0	8.0	19.0			17.0	6.0	583.0	623.0	17.0	34.0	22.0	3.0	2.0
NC_072397.2	2::NC_072397.2:5044690-5051284	6594	False	0.6153	1	134.0		225.0	243.0	24.0	3.0	11.0	17.0							3.0	11.0	3.0	1.0	3.0		255.0	95.0	1.0	87.0	3.0	1.0		1.0			3.0		2.0		1.0	8.0	2.0	9.0	139.0	3.0		2.0	4.0	16.0	115.0	1.0	12.0	4.0	10.0	134.0	2.0	5.0	7.0			8.0	2.0	242.0	310.0	8.0	22.0	5.0	1.0	
NC_072397.2	2::NC_072397.2:5103457-5111317	7860	False	0.6174	1	154.0		284.0	339.0	23.0	3.0	7.0	14.0	1.0					1.0	1.0	18.0	8.0	7.0	15.0		304.0	98.0	1.0	108.0	5.0	1.0		1.0		1.0	4.0		5.0	3.0	1.0	11.0	2.0	4.0	163.0	3.0	2.0	2.0	3.0	23.0	121.0	3.0	24.0	11.0	19.0	147.0	8.0	3.0	13.0			5.0	3.0	287.0	323.0	6.0	16.0	9.0	2.0	
