chr	start	end	length	zscore
NC_073249.2	10112643	11060043	947400	2.262441607848819
NC_073249.2	40227731	41130059	902328	2.142972269490861
NC_073249.2	49357275	50619471	1262196	3.0968503280682835
NC_073249.2	53583881	55191249	1607368	4.011774681540351
NC_073249.2	55192593	56543868	1351275	3.3329660804553205
NC_073249.2	57632389	59304787	1672398	4.18414535675818
NC_073249.2	59667078	62725586	3058508	7.858214503708593
NC_073249.2	85211720	86421036	1209316	2.9566848458982267
NC_073249.2	120098404	122668393	2569989	6.563329836835784
NC_073249.2	124146983	125034986	888003	2.105001949292562
NC_073249.2	130441303	131777097	1335794	3.2919316283094306
NC_073249.2	138288978	139626111	1337133	3.2954808261276174
NC_073249.2	143056306	143933878	877572	2.0773531946685857
NC_073249.2	143944308	144921565	977257	2.3415815624848135
NC_073249.2	145122231	147892617	2770386	7.0945087727365586
NC_073249.2	152852755	154605558	1752803	4.397269517005598
NC_073249.2	157304796	158374423	1069627	2.586420548643062
NC_073249.2	165777775	166780988	1003213	2.4103813971142767
NC_073249.2	170330645	171612445	1281800	3.148813340785035
NC_073249.2	196128961	197517781	1388820	3.432484102922696
NC_073252.2	11692248	13633134	1940886	4.8958085560182845
NC_073252.2	13884288	15272647	1388359	3.431262161030101
NC_073252.2	18288217	20502215	2213998	5.61972828306875
NC_073252.2	23071868	24046639	974771	2.3349920884175908
NC_073252.2	27276204	29761519	2485315	6.338890123574298
NC_073252.2	29761843	30958112	1196269	2.9221020348945816
NC_073252.2	31378032	36245223	4867191	12.652369662327832
NC_073252.2	36521424	37435108	913684	2.1730728597995443
NC_073252.2	43213894	44087315	873421	2.06635041636889
NC_073252.2	45555436	46459203	903767	2.1467865306263136
NC_073252.2	63213367	64224526	1011159	2.4314433283042023
NC_073252.2	64569921	65472528	902607	2.1437117961460324
NC_073252.2	65604208	67683480	2079272	5.262619078249478
NC_073252.2	68652516	72662177	4009661	10.379372197780006
NC_073252.2	81828208	83381257	1553049	3.867794938234842
NC_073252.2	93881628	94970105	1088477	2.6363849839476305
NC_073252.2	108723495	110221522	1498027	3.7219517998089557
NC_073252.2	113253465	115109483	1856018	4.670854619921302
NC_073252.2	115110590	116085730	975140	2.3359701720583006
NC_073252.2	121175951	122445126	1269175	3.115349096980251
NC_073252.2	123272435	125393421	2120986	5.373187590413656
NC_073252.2	126868792	130961809	4093017	10.600318376519931
NC_073252.2	131019802	132028388	1008586	2.424623249150958
NC_073252.2	132029498	135380485	3350987	8.633469043413891
NC_073252.2	157226598	159202536	1975938	4.988718549986228
NC_073252.2	159924704	160934415	1009711	2.4276052114701963
NC_073252.2	164992792	165841932	849140	2.001990392303626
NC_073252.2	167869838	169565116	1695278	4.244791843748553
NC_073252.2	175188040	180068697	4880657	12.68806308863082
NC_073252.2	184455102	185728026	1272924	3.125286320744539
NC_073252.2	186616174	187647044	1030870	2.4836899587704275
NC_073253.2	3853809	5398025	1544216	3.8443818954207702
