clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TGC	codon_CAT	codon_AAT	codon_AAG	codon_TCT	codon_CTC	codon_AAA	codon_AAC	codon_CCC	codon_TGG	codon_ACT	codon_GTA	codon_TCA	codon_AGG	codon_GGT	codon_TGT	codon_CAC	codon_GAT	codon_GGA	codon_ATT	codon_AGC	codon_AGT	codon_GAA	codon_TTT	codon_GGC	codon_GAG	codon_GGG	codon_GAC	codon_GCT	codon_CGT	codon_GTG	codon_ATG	codon_CTG	codon_GCG	codon_TTG	codon_GTC	codon_GTT	codon_GCA	codon_ATC	codon_CCA	codon_TCG	codon_TCC	codon_ACC	codon_ACA	codon_ACG	codon_GCC	codon_TTC	codon_CCT	codon_CTA	codon_CTT	codon_CGA	codon_CAA	codon_CCG	codon_TAC	codon_CAG	codon_TAT	codon_CGC	codon_ATA	codon_AGA	codon_TTA	codon_CGG
NC_060945.1	3::NC_060945.1:41607428-41614955(+)	7527	False	0.5892	0	2.0	3.0	5.0	114.0	2.0	1.0	5.0	3.0	1.0	4.0	1.0	92.0	1.0	7.0	537.0	7.0	1.0	108.0	117.0	1.0	1.0	113.0	61.0	1.0	5.0	4.0	104.0	2.0	4.0	1.0	1019.0	163.0	8.0	4.0	2.0	1.0	2.0	1.0	1.0																						
NC_060945.1	-2::NC_060945.1:41607447-41617941(-)	10494	False	0.5876	0	4.0	108.0	4.0		3.0	121.0	1.0	12.0	96.0		124.0		241.0	1.0	1.0	4.0	604.0	1.0			7.0	3.0	1.0	8.0				1.0	3.0		1.0		1.0		3.0	4.0	1.0	9.0	121.0	941.0	4.0	95.0	541.0	10.0	2.0	8.0	66.0	124.0	91.0	59.0	2.0	2.0	1.0	48.0	6.0	6.0	3.0	1.0			
NC_060945.1	-3::NC_060945.1:41607470-41617934(-)	10464	False	0.5879	0	1.0	164.0	1.0			70.0	1.0	2.0	106.0	1.0	113.0	1.0	167.0				1019.0	1.0		5.0	4.0			4.0				1.0	1.0		1.0	3.0	8.0		1.0	2.0	3.0	8.0	109.0	558.0	3.0	142.0	539.0	12.0	1.0	5.0	62.0	74.0	62.0	113.0	3.0	9.0	1.0	91.0	9.0		4.0	2.0	1.0		
NC_060945.1	-1::NC_060945.1:41607535-41617975(-)	10440	False	0.5884	0	5.0	114.0			1.0	60.0	3.0	7.0	160.0		197.0		156.0			5.0	607.0	2.0		2.0	9.0	2.0	1.0	3.0	1.0		1.0	1.0	1.0		1.0		5.0		2.0			5.0	163.0	555.0	1.0	85.0	911.0	3.0	2.0	5.0	119.0	73.0	49.0	71.0	1.0	9.0	2.0	61.0	9.0	4.0	4.0			2.0	
NC_060945.1	2::NC_060945.1:41610271-41617888(+)	7617	False	0.5897	0			1.0	65.0						4.0		61.0		19.0	911.0	3.0		163.0	65.0			197.0	117.0	2.0	5.0	1.0	157.0		8.0	2.0	606.0	114.0	8.0	4.0	5.0	1.0	7.0	3.0	1.0					5.0														4.0			
NC_060937.1	-2::NC_060937.1:22536950-22548509(-)	11559	False	0.3767	1	38.0	66.0	137.0	94.0	79.0	36.0	214.0	43.0	26.0	44.0	67.0	54.0	72.0	31.0	35.0	50.0	33.0	157.0	68.0	123.0	33.0	73.0	184.0	137.0	25.0	70.0	22.0	66.0	65.0	12.0	54.0	74.0	52.0	6.0	98.0	21.0	101.0	90.0	52.0	89.0	12.0	30.0	27.0	84.0	8.0	32.0	55.0	78.0	47.0	131.0	20.0	71.0	3.0	35.0	87.0	79.0	10.0	69.0	79.0	99.0	6.0
NC_060937.1	-2::NC_060937.1:101947520-101968511(-)	20991	False	0.3821	2	30.0	138.0	195.0	266.0	165.0	60.0	507.0	116.0	60.0	36.0	135.0	102.0	255.0	82.0	87.0	72.0	65.0	223.0	116.0	176.0	76.0	158.0	412.0	123.0	44.0	208.0	61.0	101.0	58.0	20.0	71.0	162.0	93.0	10.0	98.0	43.0	100.0	171.0	67.0	178.0	11.0	56.0	41.0	219.0	18.0	38.0	71.0	126.0	91.0	119.0	10.0	262.0	15.0	41.0	171.0	89.0	5.0	154.0	166.0	145.0	9.0
NC_060943.1	2::NC_060943.1:834868-842815(+)	7947	False	0.6747	2	82.0	6.0	44.0	9.0	8.0	51.0		9.0	381.0	43.0	2.0		70.0	10.0	44.0	53.0	106.0	1.0	1.0		183.0	2.0	3.0	4.0	26.0	2.0	17.0	4.0	58.0	37.0	37.0	54.0	51.0	4.0	39.0	44.0	38.0	48.0	8.0	195.0	25.0	54.0	78.0	13.0	33.0	169.0	54.0	92.0	6.0	47.0	1.0	69.0	28.0	7.0	160.0		27.0	2.0			10.0
NC_060943.1	3::NC_060943.1:835043-842732(+)	7689	False	0.6768	2	73.0	17.0	49.0	9.0		50.0		11.0	355.0	46.0			79.0	3.0	39.0	53.0	94.0				161.0			1.0	24.0		5.0		58.0	37.0	35.0	47.0	50.0		37.0	53.0	44.0	56.0	2.0	220.0	11.0	60.0	76.0	8.0	35.0	200.0	47.0	78.0	4.0	50.0	6.0	53.0	20.0	4.0	159.0		26.0	1.0	1.0		16.0
NC_060943.1	1::NC_060943.1:835068-842712(+)	7644	False	0.6773	2	71.0	11.0	44.0	4.0		55.0		5.0	378.0	51.0	1.0		77.0	10.0	37.0	43.0	115.0				156.0			12.0	27.0	6.0	5.0	1.0	51.0	33.0	37.0	58.0	36.0	2.0	44.0	53.0	39.0	47.0	4.0	203.0	16.0	59.0	69.0	7.0	31.0	184.0	39.0	89.0		44.0	1.0	57.0	18.0		178.0	4.0	16.0	4.0	2.0		14.0
NC_060943.1	-2::NC_060943.1:9071142-9092994(-)	21852	False	0.4882	2		89.0	76.0	81.0	406.0	62.0	102.0	66.0	111.0	43.0	347.0	46.0	366.0	80.0	71.0	1.0	63.0	98.0	91.0	94.0	209.0	131.0	223.0	77.0	63.0	216.0	84.0	129.0	119.0	4.0	172.0	219.0	123.0	17.0	94.0	98.0	82.0	113.0	135.0	189.0	20.0	365.0	458.0	522.0	32.0	130.0	60.0	291.0	32.0	97.0	4.0	68.0	15.0	20.0	94.0	31.0	6.0	90.0	98.0	55.0	6.0
NC_060943.1	-1::NC_060943.1:9097381-9107098(-)	9717	False	0.4922	2	2.0	33.0	40.0	43.0	171.0	48.0	39.0	38.0	72.0	28.0	172.0	23.0	161.0	32.0	25.0		29.0	48.0	75.0	38.0	95.0	93.0	89.0	39.0	35.0	85.0	46.0	41.0	77.0	2.0	41.0	71.0	48.0	6.0	45.0	48.0	37.0	79.0	51.0	121.0	9.0	117.0	152.0	226.0	20.0	61.0	28.0	93.0	22.0	48.0	1.0	18.0	3.0	12.0	41.0	12.0	1.0	29.0	55.0	22.0	3.0
NC_060936.1	3::NC_060936.1:40431056-40441022(+)	9966	False	0.4899	0	1.0	1.0	19.0	3.0	50.0	5.0	29.0	1.0		3.0	246.0	41.0	367.0	21.0	38.0			8.0	392.0	34.0	2.0	28.0	118.0	11.0	10.0	45.0	266.0	2.0	213.0	1.0	202.0	9.0	8.0	1.0	10.0	12.0	51.0	57.0	3.0	121.0	8.0	3.0	14.0	513.0	5.0	4.0	1.0	25.0	100.0	5.0		30.0	1.0	3.0	6.0	3.0		63.0	68.0	37.0	4.0
NC_060931.1	-1::NC_060931.1:1295463-1304679(-)	9216	False	0.673	1	8.0	85.0	2.0	1.0	14.0	101.0			714.0	4.0	2.0	2.0	161.0	17.0	1.0	181.0	165.0	1.0	3.0	2.0	69.0	2.0			16.0	5.0	1.0	1.0	19.0		90.0	2.0	89.0		1.0	80.0	8.0	1.0	94.0	95.0	1.0	165.0	88.0	93.0	1.0	117.0	104.0	231.0		86.0		3.0	28.0		84.0		32.0		2.0		
NC_060931.1	-3::NC_060931.1:1295698-1304692(-)	8994	False	0.6755	1	10.0	93.0			13.0	105.0	2.0	1.0	705.0	1.0			170.0	15.0	1.0	167.0	177.0		2.0		77.0		1.0	1.0	16.0				17.0	1.0	86.0		97.0			65.0	12.0		80.0	80.0		166.0	93.0	79.0	1.0	96.0	87.0	242.0		91.0			32.0		86.0		30.0				
NC_060931.1	-2::NC_060931.1:1295714-1304672(-)	8958	False	0.6765	1	4.0	80.0			14.0	91.0			696.0				182.0	18.0		162.0	172.0			1.0	64.0				17.0		1.0		15.0		90.0		85.0	1.0		77.0	6.0	1.0	85.0	87.0		178.0	79.0	85.0		106.0	95.0	264.0		80.0			30.0		92.0		28.0				
NC_060931.1	2::NC_060931.1:102191875-102207919(+)	16044	False	0.5115	1	3.0	21.0	38.0	19.0	316.0	51.0	9.0	23.0	289.0	7.0	578.0	19.0	275.0	24.0	23.0	8.0	154.0	7.0	14.0	37.0	257.0	235.0	46.0	32.0	20.0	179.0	8.0	29.0	18.0	2.0	45.0	70.0	29.0	3.0	71.0	48.0	18.0	26.0	255.0	78.0	64.0	171.0	856.0	311.0	47.0	67.0	171.0	80.0	7.0	24.0	5.0	9.0	10.0	46.0	22.0	14.0	3.0	28.0	14.0	15.0	
