"Chromosome","Frame","N","Min","Q1","Median","Mean","Q3","Max","SD","P95","P99","Q_1Kb","Q_5Kb","Q_10Kb"
"NC_060925.1","1",3997358,3,15,39,58.9706193440768,78,7911,67.3256492844184,183,309,"Q100","Q100","Q100"
"NC_060925.1","2",3996536,3,15,39,58.9833500811704,78,5490,67.2575990219896,183,309,"Q100","Q100","Q100"
"NC_060925.1","3",3997519,3,15,39,58.9683593749023,78,8364,67.3332868217228,183,309,"Q100","Q100","Q100"
"NC_060925.1","-1",4071579,3,15,39,57.7870877612838,75,13032,65.6837124140139,174,297,"Q100","Q100","Q100"
"NC_060925.1","-2",4068679,3,15,39,57.8308352661883,75,7068,65.4915914237821,174,297,"Q100","Q100","Q100"
"NC_060925.1","-3",4066441,3,18,39,57.8644096889639,75,20439,66.3917250906795,174,297,"Q100","Q100","Q100"
"NC_060926.1","1",4142625,3,15,36,55.4080060348209,72,9459,62.4732568901109,171,282,"Q100","Q100","Q100"
"NC_060926.1","2",4141230,3,15,36,55.4289160466818,72,6927,62.4580536124347,171,285,"Q100","Q100","Q100"
"NC_060926.1","3",4139068,3,15,36,55.4591695521794,72,15927,63.0545000852563,171,285,"Q100","Q100","Q100"
"NC_060926.1","-1",4131501,3,15,36,55.5655235228068,75,7665,62.6026961857969,171,285,"Q100","Q100","Q100"
"NC_060926.1","-2",4132359,3,15,36,55.5537306899038,75,6630,62.2966505186621,171,285,"Q100","Q100","Q100"
"NC_060926.1","-3",4134987,3,15,36,55.5161138354243,75,17238,62.9313044905036,168,285,"Q100","Q100","Q100"
"NC_060927.1","1",3475465,3,15,36,54.6892153999537,72,6669,61.2212964877497,168,279,"Q100","Q100","Q100"
"NC_060927.1","2",3476609,3,15,36,54.6713093131842,72,20016,62.1885234211047,168,279,"Q100","Q100","Q100"
"NC_060927.1","3",3476740,3,15,36,54.6681089181244,72,8175,61.581664985913,168,279,"Q100","Q100","Q100"
"NC_060927.1","-1",3493019,3,15,36,54.3993714319905,72,5661,60.4485336609543,165,276,"Q100","Q100","Q100"
"NC_060927.1","-2",3497668,3,15,36,54.3224711436306,72,6504,60.5465582132092,165,273,"Q100","Q100","Q100"
"NC_060927.1","-3",3493977,3,15,36,54.3833534107408,72,4374,60.7639295085187,165,276,"Q100","Q100","Q100"
"NC_060928.1","1",3477662,3,15,33,52.4818840933938,69,6792,59.9102695595584,162,270,"Q100","Q100","Q100"
"NC_060928.1","2",3480352,3,15,33,52.4372859411922,69,6360,60.0734712259926,162,270,"Q100","Q100","Q100"
"NC_060928.1","3",3476867,3,15,33,52.4939665509207,69,5355,59.8098995728731,162,270,"Q100","Q100","Q100"
"NC_060928.1","-1",3452638,3,15,36,52.8836619998969,69,10836,60.0027538781281,162,270,"Q100","Q100","Q100"
"NC_060928.1","-2",3449755,3,15,36,52.9296251472931,69,6318,59.8220208801134,162,267,"Q100","Q100","Q100"
"NC_060928.1","-3",3455724,3,15,36,52.8339954232456,69,11766,59.7504374175504,162,267,"Q100","Q100","Q100"
"NC_060929.1","1",3151858,3,15,36,54.5821375836094,72,6696,61.499166277507,168,279,"Q100","Q100","Q100"
"NC_060929.1","2",3151010,3,15,36,54.5971996280558,72,4890,61.5477685320817,168,276,"Q100","Q100","Q100"
"NC_060929.1","3",3153263,3,15,36,54.5558093314766,72,10530,61.3181773793959,168,276,"Q100","Q100","Q100"
"NC_060929.1","-1",3157110,3,15,36,54.487219324002,72,4668,60.9634774381595,165,279,"Q100","Q100","Q100"
"NC_060929.1","-2",3156148,3,15,36,54.5039019082755,72,4302,60.8477382337506,165,279,"Q100","Q100","Q100"
"NC_060929.1","-3",3159579,3,15,36,54.4414369762554,72,4230,60.7596726683341,165,279,"Q100","Q100","Q100"
"NC_060930.1","1",2988460,3,15,36,54.4168371000448,72,7173,60.975620313422,165,276,"Q100","Q100","Q100"
"NC_060930.1","2",2987852,3,15,36,54.4281731491386,72,6099,61.1616779978193,165,276,"Q100","Q100","Q100"
"NC_060930.1","3",2986334,3,15,36,54.4570791478783,72,5865,61.0848240915792,165,279,"Q100","Q100","Q100"
"NC_060930.1","-1",2975038,3,15,36,54.6807590356829,72,5154,61.1157520126595,168,279,"Q100","Q100","Q100"
"NC_060930.1","-2",2976745,3,15,36,54.6482802524234,72,6252,61.06721088106,168,279,"Q100","Q100","Q100"
"NC_060930.1","-3",2974939,3,15,36,54.6824610521426,72,6006,61.1769367408734,168,279,"Q100","Q100","Q100"
"NC_060931.1","1",2680613,3,15,36,56.7255135299277,75,24291,67.0906000325229,174,291,"Q100","Q100","Q100"
"NC_060931.1","2",2680900,3,15,36,56.7181166772353,75,16044,65.7548213665792,174,291,"Q100","Q100","Q100"
"NC_060931.1","3",2678693,3,15,36,56.7681283372152,75,39459,69.5231610960843,174,294,"Q100","Q100","Q100"
"NC_060931.1","-1",2693977,3,15,36,56.4306432460262,75,16377,64.8736062120604,174,291,"Q100","Q100","Q100"
"NC_060931.1","-2",2694925,3,15,36,56.4085078434465,75,16359,65.1716608990017,174,291,"Q100","Q100","Q100"
"NC_060931.1","-3",2693742,3,15,36,56.4352521510969,75,8994,64.1390159831075,174,291,"Q100","Q100","Q100"
"NC_060932.1","1",2493218,3,15,36,55.4886833000564,72,5742,62.9517590937956,168,285,"Q100","Q100","Q100"
"NC_060932.1","2",2493057,3,15,36,55.4922041493636,75,6741,62.9209429861756,171,285,"Q100","Q100","Q100"
"NC_060932.1","3",2495190,3,15,36,55.4421743434367,72,6498,63.1696707783653,168,285,"Q100","Q100","Q100"
"NC_060932.1","-1",2487852,3,15,36,55.614625789637,75,5292,62.8471470424893,171,285,"Q100","Q100","Q100"
"NC_060932.1","-2",2486913,3,15,36,55.6358967925296,75,7377,62.8913642998007,171,285,"Q100","Q100","Q100"
"NC_060932.1","-3",2489019,3,15,36,55.5863571149919,75,16953,63.7637441933923,168,282,"Q100","Q100","Q100"
"NC_060933.1","1",2189117,3,18,39,65.6415061415174,84,5397,83.0628315738213,210,399,"Q100","Q100","Q100"
"NC_060933.1","2",2194328,3,18,39,65.4773994589688,84,8721,83.2764284101996,210,396,"Q100","Q100","Q100"
"NC_060933.1","3",2194035,3,18,39,65.486265715907,84,5817,82.7327021721152,210,396,"Q100","Q100","Q100"
"NC_060933.1","-1",2187049,3,18,39,65.7053522806303,84,6801,83.1439490247595,210,396,"Q100","Q100","Q100"
"NC_060933.1","-2",2185972,3,18,39,65.7397043511994,84,5514,83.6767356349144,210,396,"Q100","Q100","Q100"
"NC_060933.1","-3",2186129,3,18,39,65.7353134238648,84,5517,83.2616774094794,210,399,"Q100","Q100","Q100"
"NC_060934.1","1",2198242,3,15,39,58.1339761500326,78,7077,66.4531748589034,180,300,"Q100","Q100","Q100"
"NC_060934.1","2",2197666,3,15,39,58.1511226000675,78,6765,66.0822515161452,180,300,"Q100","Q100","Q100"
