clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_ATG	codon_ATA	codon_GTG	codon_TCA	codon_AAC	codon_CAA	codon_AAA	codon_ACT	codon_TCT	codon_GTA	codon_CCA	codon_CTT	codon_GCA	codon_TAT	codon_CTG	codon_TAC	codon_TTT	codon_CTA	codon_ATC	codon_ACA	codon_GGC	codon_TCC	codon_GGA	codon_AGC	codon_GAA	codon_ACC	codon_CTC	codon_AAG	codon_CCC	codon_GAG	codon_AGG	codon_AGA	codon_AAT	codon_CCT	codon_TGG	codon_GCT	codon_GTT	codon_GTC	codon_CAG	codon_GCC	codon_AGT	codon_CAC	codon_TTG	codon_GGG	codon_GGT	codon_TTC	codon_CAT	codon_GAC	codon_GAT	codon_ATT	codon_CGA	codon_TTA	codon_GCG	codon_CCG	codon_CGC	codon_ACG	codon_CGT	codon_TCG	codon_CGG	codon_TGT	codon_TGC
NC_072418.2	-3::NC_072418.2:11724010-11746741(-)	22731	False	0.4881	2	236.0	91.0	182.0	376.0	69.0	75.0	103.0	358.0	427.0	47.0	196.0	102.0	120.0	33.0	126.0	20.0	73.0	33.0	148.0	549.0	66.0	377.0	99.0	213.0	237.0	475.0	64.0	80.0	122.0	221.0	86.0	100.0	76.0	305.0	45.0	122.0	88.0	100.0	93.0	132.0	140.0	69.0	99.0	81.0	74.0	64.0	95.0	134.0	101.0	97.0	3.0	56.0	18.0	14.0	5.0	36.0	5.0	15.0	5.0	1.0	
NC_072418.2	1::NC_072418.2:61478466-61488516(+)	10050	False	0.592	2	22.0	14.0	1.0	94.0	3.0	2.0	3.0	4.0	45.0	2.0	105.0	91.0	3.0	4.0	94.0	12.0	6.0	3.0	2.0	302.0	3.0	245.0	101.0	2.0	4.0	81.0	183.0	1.0	354.0	4.0	79.0	90.0		269.0	8.0	57.0	3.0	3.0	184.0	7.0	2.0	232.0	4.0	14.0	2.0	204.0	8.0	105.0	40.0	68.0	12.0	3.0	1.0	4.0	1.0	14.0	1.0	1.0	1.0	1.0	142.0
NC_072410.2	-3::NC_072410.2:95277515-95293250(-)	15735	False	0.4378	2	138.0	82.0	134.0	167.0	61.0	271.0	263.0	106.0	259.0	104.0	259.0	93.0	75.0	47.0	68.0	10.0	77.0	77.0	40.0	117.0	28.0	55.0	94.0	65.0	176.0	70.0	32.0	142.0	61.0	211.0	83.0	98.0	74.0	107.0	28.0	40.0	53.0	45.0	162.0	25.0	100.0	59.0	148.0	121.0	75.0	61.0	101.0	35.0	113.0	64.0	16.0	98.0	14.0	8.0	16.0	8.0	16.0	16.0	12.0	42.0	25.0
NC_072410.2	-2::NC_072410.2:120862920-120874362(-)	11442	False	0.4678	0	23.0	77.0	84.0	2.0	1.0			1.0	185.0			188.0	288.0	54.0	237.0	57.0	239.0		1.0	11.0	93.0	236.0						2.0	1.0		72.0			255.0	2.0	6.0	142.0		84.0	24.0	1.0	78.0	9.0		9.0	419.0	132.0	1.0		155.0		56.0	15.0			106.0	145.0			73.0	250.0
NC_072410.2	-3::NC_072410.2:120862925-120874493(-)	11568	False	0.4686	0	27.0	53.0	64.0	4.0		1.0		3.0	183.0			210.0	306.0	56.0	236.0	76.0	239.0	2.0	1.0	10.0	74.0	239.0		5.0		1.0	1.0	1.0	4.0		86.0		1.0	262.0		11.0	164.0	1.0	103.0	15.0	1.0	63.0	9.0	1.0	1.0	401.0	139.0		1.0	107.0		78.0	13.0			126.0	121.0	1.0		97.0	258.0
NC_072410.2	-1::NC_072410.2:120862939-120874378(-)	11439	False	0.4676	0	24.0	57.0	59.0	1.0		1.0	1.0		163.0	2.0		214.0	283.0	76.0	236.0	54.0	238.0	1.0		10.0	78.0	236.0		1.0		2.0	2.0				102.0	1.0		251.0		9.0	157.0		72.0	18.0		64.0	7.0		6.0	421.0	180.0			114.0		53.0	21.0		1.0	124.0	139.0			81.0	253.0
NC_072413.2	-2::NC_072413.2:102980878-102995764(-)	14886	False	0.5854	2	163.0	29.0	319.0	39.0	8.0	36.0	175.0	62.0	96.0	15.0	96.0	39.0	64.0	2.0	222.0	5.0	37.0	13.0	41.0	69.0	152.0	139.0	80.0	110.0	115.0	38.0	136.0	330.0	251.0	248.0	43.0	37.0	10.0	94.0	17.0	83.0	40.0	74.0	184.0	191.0	50.0	47.0	27.0	119.0	48.0	87.0	14.0	269.0	136.0	38.0	6.0	15.0	39.0	49.0	11.0	21.0	2.0	43.0	21.0	9.0	9.0
NC_072421.2	-2::NC_072421.2:1352923-1367350(-)	14427	False	0.5613	0	5.0	1.0	1.0	2.0	2.0		4.0	1.0	92.0	1.0	5.0	905.0	1.0	4.0	7.0	1.0	59.0		1.0	2.0		938.0		1.0	2.0	1.0	102.0	3.0	637.0	1.0		2.0	2.0	931.0	3.0	1.0	26.0		2.0	1.0		2.0	1.0	1.0	1.0	956.0	1.0	1.0	3.0	4.0	1.0	1.0		2.0		1.0	37.0	39.0		5.0	6.0
NC_072421.2	-1::NC_072421.2:1353020-1367336(-)	14316	False	0.5626	0		1.0			1.0	1.0	2.0	3.0	87.0		2.0	906.0			8.0		67.0	1.0	2.0	1.0		919.0	1.0	1.0	2.0		126.0	1.0	648.0	1.0			1.0	921.0			40.0	1.0		6.0	1.0	1.0	3.0			941.0	3.0		3.0	1.0	2.0	2.0		1.0	1.0		24.0	36.0		2.0	1.0
NC_072421.2	-3::NC_072421.2:1353087-1367346(-)	14259	False	0.563	0	1.0			3.0		1.0	1.0	1.0	81.0	1.0		918.0			1.0		57.0		5.0			948.0		1.0			104.0		617.0					956.0		2.0	37.0	1.0	1.0	4.0	1.0	1.0		1.0		931.0	3.0		1.0		1.0			1.0			40.0	26.0		1.0	5.0
NC_072421.2	3::NC_072421.2:1353281-1365893(+)	12612	False	0.5653	0	2.0				33.0	1.0	50.0						1.0						1.0		5.0		822.0		838.0			814.0		112.0	823.0	67.0	1.0						5.0					573.0				1.0	1.0		32.0		1.0			18.0		2.0	1.0		
NC_072421.2	1::NC_072421.2:1356963-1367256(+)	10293	False	0.5677	0	1.0				31.0		24.0						1.0						1.0		1.0		691.0	1.0	680.0			657.0		78.0	690.0	55.0							1.0		1.0			456.0					2.0		24.0					35.0		1.0			
NC_072407.2	-1::NC_072407.2:15-10503(-)	10488	False	0.4999	0																															17.0						17.0							1730.0	1.0							1731.0									
NC_072407.2	2::NC_072407.2:16-10504(+)	10488	False	0.5	0					1731.0			1.0										17.0								16.0			1.0					1730.0																											
