"Chromosome","Frame","N","Min","Q1","Median","Mean","Q3","Max","SD","P95","P99","Q_1Kb","Q_5Kb","Q_10Kb"
"NC_072423.2","1",2794008,3,15,39,56.835923877097,75,10632,64.7992609285311,171,288,"Q100","Q100","Q100"
"NC_072423.2","2",2796782,3,15,36,56.7775793751533,75,11259,64.8788307130274,171,288,"Q100","Q100","Q100"
"NC_072423.2","3",2801061,3,15,36,56.6859415057366,75,6909,64.3209739391187,171,288,"Q100","Q100","Q100"
"NC_072423.2","-1",2786157,3,15,39,57.0057480608594,75,17892,65.2688582414783,171,291,"Q100","Q100","Q100"
"NC_072423.2","-2",2778868,3,15,39,57.1634888738868,75,11244,65.6575955621596,171,291,"Q100","Q100","Q100"
"NC_072423.2","-3",2783094,3,15,39,57.0716156191634,75,10632,65.5870927430412,171,288,"Q100","Q100","Q100"
"NC_072424.2","1",2649394,3,15,36,54.9824314541363,75,11397,62.5604177844577,165,276,"Q100","Q100","Q100"
"NC_072424.2","2",2649671,3,15,36,54.9763514036271,72,11835,62.6256616713743,165,276,"Q100","Q100","Q100"
"NC_072424.2","3",2652654,3,15,36,54.911800408195,72,4251,61.8314341306388,165,276,"Q100","Q100","Q100"
"NC_072424.2","-1",2638788,3,15,36,55.2168120364349,75,11835,62.7449458915661,168,279,"Q100","Q100","Q100"
"NC_072424.2","-2",2639293,3,15,36,55.2058646008609,75,11397,62.9776586963756,168,279,"Q100","Q100","Q100"
"NC_072424.2","-3",2640410,3,15,36,55.18165209191,75,4449,62.2254490239594,168,276,"Q100","Q100","Q100"
"NC_072425.2","1",2633893,3,15,39,57.5981833734324,75,11046,72.0708535333255,171,294,"Q100","Q100","Q100"
"NC_072425.2","2",2638141,3,15,39,57.4999285481709,75,11025,71.6569638480396,171,294,"Q100","Q100","Q100"
"NC_072425.2","3",2637919,3,15,39,57.5055678358585,75,8196,70.9720171666215,171,294,"Q100","Q100","Q100"
"NC_072425.2","-1",2684584,3,15,36,56.4495925625721,75,11046,64.6745674477567,171,288,"Q100","Q100","Q100"
"NC_072425.2","-2",2686292,3,15,36,56.4119559601116,75,8196,64.6993965477962,171,288,"Q100","Q100","Q100"
"NC_072425.2","-3",2686796,3,15,36,56.4002335867702,75,11031,64.7549028334605,171,288,"Q100","Q100","Q100"
"NC_072426.2","1",2969754,3,15,36,53.1398513142839,72,9927,59.1628330067513,159,264,"Q100","Q100","Q100"
"NC_072426.2","2",2974139,3,15,36,53.0570444084826,72,4695,58.4837538920998,159,261,"Q100","Q100","Q100"
"NC_072426.2","3",2969479,3,15,36,53.1456962652371,72,10929,59.523313155143,159,264,"Q100","Q100","Q100"
