clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TTT	codon_TCA	codon_ATT	codon_ATA	codon_GAA	codon_CAT	codon_AAC	codon_AGG	codon_AAA	codon_CAC	codon_GCA	codon_AAT	codon_GAT	codon_CAG	codon_ACA	codon_GTC	codon_ATG	codon_GAC	codon_CTG	codon_AGT	codon_ACT	codon_GTA	codon_ACC	codon_GGC	codon_CTT	codon_TTA	codon_CCC	codon_AAG	codon_TCC	codon_CTA	codon_GCT	codon_GAG	codon_AGA	codon_CAA	codon_TCT	codon_TTC	codon_TTG	codon_GGA	codon_TGT	codon_CCT	codon_GGG	codon_TAT	codon_CCA	codon_GCC	codon_ATC	codon_CGG	codon_GGT	codon_GTT	codon_CTC	codon_TGC	codon_GTG	codon_CGT	codon_AGC	codon_CCG	codon_CGA	codon_TGG	codon_TAC	codon_GCG	codon_ACG	codon_TCG	codon_CGC
NC_072427.2	2::NC_072427.2:65561881-65567050(+)	5169	False	0.3596	1	40.0	38.0	54.0	44.0	89.0	31.0	32.0	13.0	99.0	16.0	21.0	105.0	80.0	32.0	47.0	17.0	45.0	35.0	18.0	52.0	58.0	29.0	24.0	7.0	19.0	34.0	10.0	40.0	16.0	19.0	36.0	44.0	25.0	48.0	48.0	16.0	29.0	34.0	41.0	32.0	10.0	24.0	27.0	15.0	16.0	4.0	15.0	30.0	7.0	6.0	11.0	2.0	17.0	4.0	3.0	6.0	6.0	1.0	1.0	1.0	
NC_072427.2	-1::NC_072427.2:81398443-81403492(-)	5049	False	0.3924	0	23.0	58.0	27.0	27.0	76.0	24.0	33.0	13.0	105.0	15.0	33.0	80.0	48.0	69.0	51.0	12.0	33.0	24.0	21.0	45.0	46.0	32.0	21.0	9.0	20.0	34.0	20.0	55.0	14.0	16.0	26.0	34.0	19.0	62.0	59.0	8.0	25.0	28.0	26.0	41.0	8.0	22.0	48.0	7.0	15.0	2.0	15.0	42.0	6.0	8.0	22.0	7.0	24.0	7.0	4.0	7.0	13.0	4.0	7.0	3.0	
NC_072427.2	-2::NC_072427.2:96654309-96660243(-)	5934	False	0.4929	2	14.0	75.0	25.0	11.0	70.0	23.0	9.0	23.0	42.0	5.0	68.0	16.0	50.0	49.0	56.0	12.0	111.0	28.0	38.0	32.0	52.0	35.0	39.0	8.0	17.0	46.0	28.0	35.0	51.0	10.0	48.0	108.0	46.0	11.0	101.0	2.0	42.0	15.0	3.0	80.0	32.0	23.0	82.0	13.0	7.0	8.0	17.0	25.0	3.0	1.0	67.0	17.0	36.0	13.0	12.0	1.0	12.0	17.0	10.0	20.0	28.0
NC_072427.2	3::NC_072427.2:122060018-122065625(+)	5607	False	0.7248	1	1.0	40.0	1.0			1.0		49.0		49.0	55.0	1.0	14.0	81.0	7.0	1.0	16.0	46.0	7.0	1.0	48.0		10.0	173.0	54.0	2.0	43.0		92.0	2.0	46.0	52.0	73.0	3.0	13.0	64.0		23.0		57.0	119.0		30.0	42.0		111.0	32.0		99.0	3.0	26.0	1.0	2.0	64.0	6.0	44.0	1.0	71.0	43.0		50.0
NC_072427.2	-2::NC_072427.2:129142782-129151107(-)	8325	False	0.5566	2	19.0	54.0	17.0	10.0	124.0	19.0	21.0	34.0	72.0	27.0	48.0	17.0	72.0	86.0	59.0	37.0	32.0	89.0	82.0	32.0	43.0	17.0	48.0	55.0	32.0	15.0	86.0	139.0	53.0	30.0	79.0	217.0	26.0	27.0	62.0	31.0	25.0	46.0	13.0	105.0	60.0	18.0	119.0	84.0	35.0	26.0	23.0	15.0	43.0	13.0	57.0	14.0	63.0	10.0	10.0	30.0	18.0	4.0	7.0	5.0	21.0
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	10242	False	0.515	2	48.0	69.0	23.0	18.0	132.0	45.0	41.0	100.0	66.0	58.0	61.0	68.0	86.0	153.0	63.0	31.0	43.0	75.0	93.0	78.0	78.0	36.0	59.0	63.0	47.0	38.0	79.0	80.0	73.0	24.0	81.0	144.0	55.0	68.0	117.0	37.0	53.0	55.0	32.0	107.0	53.0	21.0	109.0	74.0	32.0	6.0	46.0	47.0	50.0	38.0	56.0	13.0	99.0	5.0	8.0	32.0	20.0	6.0	8.0	6.0	8.0
NC_072427.2	-2::NC_072427.2:161694177-161704566(-)	10389	False	0.5002	0							244.0																1487.0				1.0			1486.0										245.0																					
NC_072427.2	2::NC_072427.2:161694178-161704567(+)	10389	False	0.5001	0								1486.0														1.0				244.0															245.0						1.0	1486.0													
NC_072427.2	-1::NC_072427.2:161694184-161703109(-)	8925	False	0.5003	0							1486.0																				2.0													1486.0																	1.0				
NC_072427.2	3::NC_072427.2:161694185-161703104(+)	8919	False	0.5002	0																										1486.0															1487.0																				
