chr	start	end	frame	filler	frame	chr	exon_1_start	exon_1_end	exon_2_start	exon_2_end	gene	transcript	exon_strand	exon_frame	intron_start	intron_end	intron_length	merged_txs
NC_071985.2	100399571	100400219	3	1	+	NC_071985.2	100399606	100399728	100399879	100400006	APH1A	XM_009244839.4	+	3	100399728	100399879	151	2
NC_071985.2	100744921	100745575	2	1	+	NC_071985.2	100745106	100745279	100745391	100745575	SF3B4	XM_024250558.3	+	2	100745279	100745391	112	1
NC_071985.2	111716	112169	3	1	+	NC_071985.2	111891	111924	112054	112147	ZNF692	XM_054560493.2	+	3	111924	112054	130	1
NC_071985.2	111820246	111820846	2	1	+	NC_071985.2	111820366	111820499	111820683	111820720	PIAS3	XM_002810321.5	+	2	111820499	111820683	184	1
NC_071985.2	120022786	120023437	2	1	+	NC_071985.2	120022813	120022876	120023033	120023140	PPM1J	XM_002810421.6	+	2	120022876	120023033	157	1
NC_071985.2	120022786	120023437	2	1	+	NC_071985.2	120023033	120023140	120023285	120023436	PPM1J	XM_002810421.6	+	2	120023140	120023285	145	1
NC_071985.2	162026944	162027238	2	1	+	NC_071985.2	162026977	162027029	162027120	162027228	ZRANB2	NM_001134156.1	+	2	162027029	162027120	91	1
NC_071985.2	178971272	178971734	3	1	+	NC_071985.2	178971381	178971447	178971550	178971626	SSBP3	XM_024246597.3	+	3	178971447	178971550	103	13
NC_071985.2	178992494	178993373	3	1	+	NC_071985.2	178992564	178992642	178993032	178993133	SSBP3	XM_024246597.3	+	3	178992642	178993032	390	13
NC_071985.2	187116604	187116910	2	1	+	NC_071985.2	187116605	187116670	187116761	187116874	POMGNT1	NM_001133834.1	+	2	187116670	187116761	91	3
NC_071985.2	187117705	187118317	2	1	+	NC_071985.2	187117727	187117844	187118037	187118135	POMGNT1	NM_001133834.1	+	2	187117844	187118037	193	3
NC_071985.2	187684898	187685393	3	1	+	NC_071985.2	187685035	187685153	187685295	187685392	GPBP1L1	XM_024256443.2	+	3	187685153	187685295	142	7
NC_071985.2	188474806	188476039	2	1	+	NC_071985.2	188474932	188475280	188475407	188475719	PTCH2	XM_009251044.4	+	2	188475280	188475407	127	1
NC_071985.2	188475723	188476725	1	1	+	NC_071985.2	188475812	188475954	188476039	188476219	PTCH2	XM_009251044.4	+	1	188475954	188476039	85	1
