chr	start	end	length	zscore
NC_060925.1	3412090	4169149	757059	5.003339558422972
NC_060925.1	4288417	5387497	1099080	7.307631748249836
NC_060925.1	13622756	14042797	420041	2.732753994287816
NC_060925.1	14043038	14368337	325299	2.0944503502174903
NC_060925.1	21966685	22313652	346967	2.2404337932492586
NC_060925.1	29168312	30563555	1395243	9.302965624870552
NC_060925.1	34080455	34619968	539513	3.5376706412276095
NC_060925.1	36342376	36665345	322969	2.0787524813664646
NC_060925.1	36897862	37340250	442388	2.883312052319518
NC_060925.1	37913921	38706780	792859	5.244534281541733
NC_060925.1	41499452	42024087	524635	3.437433348195181
NC_060925.1	47318093	47640090	321997	2.0722038425153073
NC_060925.1	49124544	49575948	451404	2.9440553937619414
NC_060925.1	55095956	56375383	1279427	8.522680483733053
NC_060925.1	57169977	58358905	1188928	7.9129631304502395
NC_060925.1	58661515	59199921	538406	3.53021246920268
NC_060925.1	59951210	60956417	1005207	6.6751828029054945
NC_060925.1	62742287	63198723	456436	2.9779574006539415
NC_060925.1	67585203	67924071	338868	2.1858685401057154
NC_060925.1	68374385	69445275	1070890	7.1177077470007335
NC_060925.1	70317634	70730826	413192	2.686610344605123
NC_060925.1	70959002	71285183	326181	2.1003926336194665
NC_060925.1	71814232	72161252	347020	2.240790869235999
NC_060925.1	72161428	73868420	1706992	11.40330679072392
NC_060925.1	74606023	74972560	366537	2.3722824170323356
NC_060925.1	77974541	78331587	357046	2.3083388662747892
NC_060925.1	78845120	81674585	2829465	18.965724791933
NC_060925.1	81828737	83357102	1528365	10.199846181602833
NC_060925.1	87187495	88527995	1340500	8.934146554264677
NC_060925.1	89870923	90556678	685755	4.522944347884979
NC_060925.1	95094960	96569993	1475033	9.840533416983567
NC_060925.1	97893279	98509864	616585	4.0569264987753515
NC_060925.1	99155344	99494538	339194	2.1880648942883054
NC_060925.1	101088991	101653427	564436	3.705583939671433
NC_060925.1	101846045	102726942	880897	5.8376711819308245
NC_060925.1	102957055	103375012	417957	2.7187134969978857
NC_060925.1	103795794	107094168	3298374	22.12489731771219
NC_060925.1	111997640	112428438	430798	2.8052269450305114
NC_060925.1	115311589	115662493	350904	2.2669584755095538
NC_060925.1	118194464	118897940	703476	4.642335735828766
NC_060925.1	121406287	142318142	20911855	140.79189935549311
NC_060925.1	142318635	142977577	658942	4.34229758500835
NC_060925.1	143045132	143473175	428043	2.7866657310027967
NC_060925.1	143693501	144016909	323408	2.0817101485019154
NC_060925.1	146348516	146680397	331881	2.138795145400945
NC_060925.1	147196478	147512827	316349	2.0341516694378
NC_060925.1	147848287	148463654	615367	4.048720488363098
NC_060925.1	156273198	156652640	379442	2.459227051162157
NC_060925.1	162700732	163906086	1205354	8.023629737208585
NC_060925.1	164230901	164550266	319365	2.0544713142681403
NC_060925.1	165512277	166186790	674513	4.447203814999473
NC_060925.1	168084345	168462310	377965	2.449276084512816
NC_060925.1	169523655	169888178	364523	2.3587135295362134
NC_060925.1	172023124	172399483	376359	2.438456008386315
NC_060925.1	174760772	175300483	539711	3.5390046232158086
NC_060925.1	175562248	175911100	348852	2.2531335712682217
NC_060925.1	176636214	177284625	648411	4.271347260171376
NC_060925.1	180444942	180768560	323618	2.0831249778833385
NC_060925.1	181413376	181743980	330604	2.1301916353053403
NC_060925.1	183458964	183840738	381774	2.4749383945787202
NC_060925.1	184666397	185089467	423070	2.753161223794149
NC_060925.1	186343077	189444443	3101366	20.797598714019987
NC_060925.1	189801237	191505273	1704036	11.3833913828597
NC_060925.1	192597954	195574289	2976335	19.955229512169097
NC_060925.1	198016094	199284862	1268768	8.450867786701687
NC_060925.1	207464685	208841763	1377078	9.18058288337747
NC_060925.1	212621815	213236077	614262	4.041275790903707
NC_060925.1	213903016	214245922	342906	2.213073687925647
NC_060925.1	214475450	214808086	332636	2.143881793891299
NC_060925.1	216146474	216672207	525733	3.4448308846751923
NC_060925.1	217103651	217520081	416430	2.7084256662101107
NC_060925.1	217676133	218409860	733727	4.846145276864119
NC_060925.1	218447706	218845908	398202	2.585618475902603
NC_060925.1	220124483	220942244	817761	5.412306097047414
NC_060925.1	220979576	221756366	776790	5.136272884731806
NC_060925.1	227681774	228001874	320100	2.0594232171031206
NC_060925.1	228121648	228650015	528367	3.462576887487897
NC_060925.1	229038276	229437641	399365	2.5934539357625783
NC_060925.1	231422367	231784826	362459	2.3448077779016567
NC_060925.1	233292211	233604107	311896	2.004150549268866
NC_060925.1	233999899	234503783	503884	3.2976279934622927
NC_060925.1	237301865	239320605	2018740	13.50364121929452
NC_060925.1	241936263	242537469	601206	3.953313827075814
NC_060926.1	1989810	3210397	1220587	8.126258765623895
NC_060926.1	4132587	5714148	1581561	10.558242675765559
NC_060926.1	6005361	6862090	856729	5.674844531977355
NC_060926.1	7094927	8705888	1610961	10.756318789164766
NC_060926.1	11857906	12747372	889466	5.895402957975647
NC_060926.1	12769856	14664766	1894910	12.669363494048817
NC_060926.1	14665642	15168456	502814	3.2904191008998045
NC_060926.1	15977725	16584639	606914	3.991770237119442
NC_060926.1	16619820	17542567	922747	6.119626465800102
NC_060926.1	17964233	18587304	623071	4.1006245148130125
NC_060926.1	18621586	19385086	763500	5.046734396736043
NC_060926.1	21176472	23597545	2421073	16.21427240746604
NC_060926.1	24362710	24693448	330738	2.1310944311963436
NC_060926.1	33645335	36362947	2717612	18.21213950240778
