clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_AAC	codon_ACC	codon_CTA	codon_CCC	codon_GGG	codon_TTA	codon_GTT	codon_AGG	codon_GTA	codon_GGT	codon_TAC	codon_TTG	codon_AGC	codon_TTT	codon_AAA	codon_CGG	codon_GGC	codon_AAG	codon_CGT	codon_ACG	codon_CTT	codon_CCA	codon_CAA	codon_TGG	codon_TTC	codon_TCG	codon_CTG	codon_TCT	codon_GTC	codon_CTC	codon_ATC	codon_TGT	codon_GTG	codon_GAC	codon_TCC	codon_ACT	codon_GCC	codon_CAT	codon_TGC	codon_CCG	codon_GCA	codon_TCA	codon_ACA	codon_GAA	codon_GAT	codon_CAG	codon_CGA	codon_CGC	codon_GCT	codon_ATT	codon_AGA	codon_GCG	codon_GAG	codon_GGA	codon_ATG	codon_TAT	codon_CAC	codon_ATA	codon_AAT	codon_AGT
NC_072427.2	-2::NC_072427.2:161694177-161704566(-)	10389	False	0.5002	0	245.0	244.0	1487.0	1486.0	1.0																																																								
NC_072427.2	2::NC_072427.2:161694178-161704567(+)	10389	False	0.5001	0						245.0	244.0	1486.0	1486.0	1.0	1.0																																																		
NC_072427.2	-1::NC_072427.2:161694184-161703109(-)	8925	False	0.5003	0	1486.0	1486.0			2.0							1.0																																																	
NC_072427.2	3::NC_072427.2:161694185-161703104(+)	8919	False	0.5002	0						1487.0	1486.0																																																						
NC_072434.2	-2::NC_072434.2:1669-9376(-)	7707	False	0.5001	0						1062.0	1062.0	222.0	222.0		1.0																																																		
NC_072434.2	3::NC_072434.2:1670-9377(+)	7707	False	0.5002	1	1062.0	1062.0	222.0	222.0	1.0																																																								
NC_072426.2	-1::NC_072426.2:0-8665(-)	8665	False	0.5001	0						1444.0	1444.0																																																						
NC_072426.2	-3::NC_072426.2:0-8720(-)	8720	False	0.501	0				1.0		10.0	1.0	1444.0	1443.0				7.0																																																
NC_072426.2	1::NC_072426.2:0-8721(+)	8721	False	0.5011	0	2.0	8.0	1444.0	1444.0	8.0									1.0																																															
NC_072426.2	3::NC_072426.2:2-8666(+)	8664	False	0.5001	0	1443.0	1444.0			1.0																																																								
NC_072426.2	-1::NC_072426.2:167239072-167250001(-)	10929	False	0.5	0	167.0	168.0	1653.0	1654.0	1.0																																																								
NC_072426.2	3::NC_072426.2:167239073-167250002(+)	10929	False	0.5	0						167.0	167.0	1653.0	1654.0		1.0				1.0																																														
NC_072426.2	-3::NC_072426.2:167239211-167249138(-)	9927	False	0.5001	0	1654.0	1653.0			1.0											1.0																																													
NC_072426.2	1::NC_072426.2:167239212-167249139(+)	9927	False	0.4999	0						1653.0	1654.0				2.0																																																		
NC_072430.2	-1::NC_072430.2:674-10388(-)	9714	False	0.5	0						1598.0	1612.0	6.0	7.0		2.0						1.0	12.0																																											
NC_072430.2	1::NC_072430.2:675-10389(+)	9714	False	0.5001	0	1611.0	1600.0	6.0	7.0	1.0														12.0	1.0																																									
NC_072430.2	2::NC_072430.2:811-10456(+)	9645	False	0.5011	0	3.0	11.0	1583.0	1594.0	10.0					1.0		1.0		12.0																																															
NC_072430.2	-3::NC_072430.2:816-10455(-)	9639	False	0.501	0						12.0	3.0	1583.0	1594.0				8.0								1.0	12.0																																							
NC_072430.2	-2::NC_072430.2:153280126-153289372(-)	9246	False	0.5001	0	1518.0	1518.0	23.0	22.0																			1.0																																						
NC_072430.2	3::NC_072430.2:153280127-153289373(+)	9246	False	0.5	0						1518.0	1518.0	23.0	22.0		1.0																																																		
NC_072430.2	-3::NC_072430.2:153280257-153291897(-)	11640	False	0.5001	0	421.0	421.0	1518.0	1518.0	1.0																			1.0																																					
NC_072430.2	2::NC_072430.2:153280258-153291898(+)	11640	False	0.5	0						420.0	421.0	1518.0	1518.0		2.0														1.0																																				
NC_072448.2	-3::NC_072448.2:7243394-7270601(-)	27207	False	0.4928	0	22.0	1.0	3.0	1.0	3.0	11.0		3.0			7.0	2.0	1.0	1.0	93.0	1.0	1.0	1.0		2.0	2.0	98.0	182.0	1.0	6.0	88.0	2.0	1053.0	2257.0	1056.0	1147.0	173.0	1753.0	699.0	2.0	189.0	4.0	5.0	175.0	6.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0									
NC_072448.2	1::NC_072448.2:7243476-7270779(+)	27303	False	0.4928	0	3.0	1.0	6.0	2.0	10.0	3.0		2.0	25.0		3.0	1.0		3.0	3.0	88.0	1.0	8.0	95.0	2.0	3.0	1.0	8.0	1.0	175.0	5.0	1.0	1.0	1.0	4.0	1.0	2.0	1.0	4.0	1045.0	3.0	2.0	2.0	2.0	1.0	3.0	5.0	6.0	1746.0	96.0	177.0	1066.0	5.0	1.0	1.0	1.0	2273.0	2.0	1128.0	194.0	173.0	1.0	701.0	1.0	1.0	1.0
NC_072448.2	-1::NC_072448.2:7243525-7270459(-)	26934	False	0.4923	0	15.0		1.0		3.0	7.0		1.0			7.0		1.0	1.0	92.0				1.0	2.0		86.0	172.0	1.0	7.0	94.0	1.0	1045.0	2254.0	1051.0	1132.0	175.0	1734.0	706.0	1.0	189.0		4.0	178.0	4.0	3.0	1.0	1.0	1.0			2.0	2.0			1.0				1.0			1.0			
NC_072448.2	-2::NC_072448.2:7243611-7270485(-)	26874	False	0.4919	0	19.0	1.0	1.0		2.0	7.0					5.0				85.0							93.0	174.0		6.0	93.0		1061.0	2259.0	1042.0	1117.0	177.0	1742.0	700.0	1.0	190.0		2.0	171.0	3.0	1.0								1.0			1.0						2.0	1.0		1.0
NC_072448.2	3::NC_072448.2:7243625-7270745(+)	27120	False	0.4922	0		1.0	9.0		9.0	1.0			19.0	1.0	2.0	1.0		2.0	3.0	92.0	1.0	3.0	97.0		2.0	2.0	9.0		178.0		2.0	1.0		2.0	2.0	2.0			1055.0		1.0	1.0	2.0	1.0	1.0	5.0	2.0	1753.0	91.0	172.0	1053.0	2.0		2.0		2255.0	1.0	1145.0	184.0	174.0		696.0	1.0	1.0	1.0
NC_072448.2	2::NC_072448.2:7243639-7270552(+)	26913	False	0.4919	0		1.0	7.0		5.0	2.0			13.0		1.0					92.0	1.0	4.0	86.0		1.0		7.0		171.0										1052.0							3.0	1.0	1734.0	94.0	174.0	1047.0	1.0				2263.0		1136.0	189.0	178.0		707.0			1.0
NC_072446.2	-3::NC_072446.2:79415333-79423268(-)	7935	False	0.5013	0	26.0	25.0	1297.0	1288.0	1.0																		8.0																																						
NC_072446.2	1::NC_072446.2:79415334-79423269(+)	7935	False	0.5012	0						34.0	25.0	1296.0	1288.0	1.0	1.0																																																		
NC_072446.2	-2::NC_072446.2:79415340-79423125(-)	7785	False	0.5013	0	1288.0	1296.0			10.0							1.0																																																	
NC_072424.2	-1::NC_072424.2:1203-13038(-)	11835	False	0.5	0						73.0	73.0	1899.0	1899.0		1.0																																																		
NC_072424.2	2::NC_072424.2:1204-13039(+)	11835	False	0.5001	0	73.0	73.0	1899.0	1899.0	1.0																																																								
NC_072424.2	-2::NC_072424.2:1568-12965(-)	11397	False	0.5	0						1899.0	1899.0				1.0																																																		
NC_072424.2	1::NC_072424.2:1569-12966(+)	11397	False	0.5001	0	1899.0	1899.0			1.0																																																								
NC_072437.2	-2::NC_072437.2:1476-10929(-)	9453	False	0.5011	0						425.0	415.0	1160.0	1150.0		1.0																																																		
NC_072437.2	2::NC_072437.2:1477-10930(+)	9453	False	0.5012	0	415.0	415.0	1160.0	1150.0	1.0																		10.0																																						
NC_072437.2	-3::NC_072437.2:120300020-120310838(-)	10818	False	0.5003	0	1.0	1.0	1801.0	1801.0	2.0																																																								
NC_072437.2	1::NC_072437.2:120300021-120310839(+)	10818	False	0.5002	0						2.0	1.0	1801.0	1801.0		1.0																																																		
NC_072437.2	-2::NC_072437.2:120300027-120311058(-)	11031	False	0.5001	0	1832.0	1832.0	6.0	6.0	1.0																																																								
NC_072437.2	2::NC_072437.2:120300028-120311059(+)	11031	False	0.5	0						1832.0	1832.0	6.0	6.0		1.0																																																		
NC_072441.2	3::NC_072441.2:158-11927(+)	11769	False	0.4998	0	43.0	42.0	1915.0	1916.0	1.0							1.0				1.0																										1.0		1.0												1.0				1.0	
NC_072441.2	-2::NC_072441.2:208-11956(-)	11748	False	0.4995	0						39.0	40.0	1913.0	1912.0		2.0				1.0	1.0														1.0			1.0													1.0				2.0	1.0							1.0		1.0	
NC_072441.2	-3::NC_072441.2:441-11973(-)	11532	False	0.4993	0						1911.0	1912.0				1.0		2.0		1.0	1.0			1.0						1.0			3.0	1.0	1.0				2.0										2.0											1.0	1.0	1.0		1.0	1.0	
NC_072441.2	2::NC_072441.2:442-11914(+)	11472	False	0.4999	0	1912.0	1911.0														1.0																																													
NC_072441.2	-3::NC_072441.2:80570022-80586390(-)	16368	False	0.5706	1	55.0	9.0	19.0	1.0	13.0	252.0	15.0	5.0	63.0	2.0	303.0	74.0	13.0	294.0	36.0	19.0	13.0	576.0	12.0	75.0	9.0	6.0	56.0	221.0	14.0	5.0	89.0	5.0	797.0	6.0	1.0	6.0	33.0	6.0	16.0	329.0	16.0	3.0	308.0	9.0	1.0	8.0	315.0	19.0	25.0	25.0	343.0	86.0	40.0	22.0	3.0	25.0	1.0	82.0	215.0	1.0	126.0	198.0	2.0	17.0	118.0
NC_072441.2	-1::NC_072441.2:146695433-146713406(-)	17973	False	0.5001	0	1400.0	1400.0	1595.0	1595.0	1.0																																																								
NC_072441.2	1::NC_072441.2:146695434-146713407(+)	17973	False	0.5	0						1400.0	1400.0	1595.0	1595.0		1.0																																																		
NC_072441.2	-3::NC_072441.2:146697192-146706765(-)	9573	False	0.5002	0	1595.0	1595.0			1.0																																																								
NC_072441.2	2::NC_072441.2:146697193-146706766(+)	9573	False	0.5001	0						1595.0	1595.0				1.0																																																		
NC_072439.2	-1::NC_072439.2:2712-10515(-)	7803	False	0.5017	0						415.0	402.0	897.0	885.0	1.0	1.0																																																		
NC_072439.2	2::NC_072439.2:2713-10516(+)	7803	False	0.5019	0	403.0	402.0	898.0	885.0	1.0																		12.0																																						
NC_072439.2	-2::NC_072439.2:106244456-106255763(-)	11307	False	0.5001	0	73.0	73.0	1810.0	1810.0	2.0											1.0																																													
NC_072439.2	1::NC_072439.2:106244457-106255764(+)	11307	False	0.5	0						73.0	73.0	1810.0	1810.0		2.0		1.0																																																
NC_072439.2	-1::NC_072439.2:106244535-106255398(-)	10863	False	0.5001	0	1810.0	1810.0			1.0																																																								
