chr	start	end	frame	filler	frame	chr	exon_1_start	exon_1_end	exon_2_start	exon_2_end	gene	transcript	exon_strand	exon_frame	intron_start	intron_end	intron_length	merged_txs
NC_072373.2	108846070	108847207	-3	1	-	NC_072373.2	108846463	108847018	108846200	108846225	NUDT17	XM_054453047.2	-	3	108846225	108846463	238	2
NC_072373.2	108846070	108847207	-3	1	-	NC_072373.2	108846827	108847018	108846463	108846646	NUDT17	XM_054453057.1	-	3	108846646	108846827	181	1
NC_072373.2	108846070	108847207	-3	1	-	NC_072373.2	108846463	108846646	108846200	108846225	NUDT17	XM_054453057.1	-	3	108846225	108846463	238	1
NC_072373.2	113548	113986	2	1	+	NC_072373.2	113708	113741	113871	113964	ZNF692	XM_054484278.2	+	2	113741	113871	130	2
NC_072373.2	117015814	117016465	2	1	+	NC_072373.2	117015841	117015904	117016061	117016168	PPM1J	XM_054465830.1	+	2	117015904	117016061	157	1
NC_072373.2	117015814	117016465	2	1	+	NC_072373.2	117016061	117016168	117016313	117016464	PPM1J	XM_054465830.1	+	2	117016168	117016313	145	1
NC_072373.2	120047955	120048258	-1	1	-	NC_072373.2	120048211	120048250	120048010	120048120	GSTM2	XM_054471504.2	-	1	120048120	120048211	91	1
NC_072373.2	120060440	120061028	-2	1	-	NC_072373.2	120060804	120060899	120060603	120060713	GSTM4	XM_054471644.2	-	2	120060713	120060804	91	1
NC_072373.2	120449249	120449882	-2	1	-	NC_072373.2	120449669	120449863	120449360	120449530	CELSR2	XM_054494619.1	-	2	120449530	120449669	139	4
NC_072373.2	120450944	120451415	-2	1	-	NC_072373.2	120451185	120451311	120450975	120451097	CELSR2	XM_054494619.1	-	2	120451097	120451185	88	4
NC_072373.2	130135845	130136289	-1	1	-	NC_072373.2	130136101	130136256	130135857	130136007	AGL	XM_054475086.1	-	1	130136007	130136101	94	3
NC_072373.2	159193541	159193835	3	1	+	NC_072373.2	159193574	159193626	159193717	159193825	ZRANB2	XM_054482772.2	+	3	159193626	159193717	91	2
NC_072373.2	175607995	175608802	-3	1	-	NC_072373.2	175608509	175608673	175608188	175608310	CIMAP2	XM_054486118.2	-	3	175608310	175608509	199	7
NC_072373.2	175629862	175630627	2	1	+	NC_072373.2	175629863	175629918	175630138	175630253	TTC22	XM_054486067.1	+	2	175629918	175630138	220	2
NC_072373.2	176164762	176165224	2	1	+	NC_072373.2	176164871	176164937	176165040	176165116	SSBP3	XM_054486850.2	+	2	176164937	176165040	103	4
NC_072373.2	176186093	176186972	3	1	+	NC_072373.2	176186163	176186241	176186631	176186732	SSBP3	XM_054486850.2	+	3	176186241	176186631	390	4
NC_072373.2	184090265	184090928	-2	1	-	NC_072373.2	184090649	184090710	184090356	184090480	LOC129037329	XM_054489320.2	-	2	184090480	184090649	169	3
NC_072373.2	184090265	184090928	-2	1	-	NC_072373.2	184090649	184090689	184090356	184090480	LOC129037329	XM_054489327.2	-	2	184090480	184090649	169	2
NC_072373.2	184298110	184298416	2	1	+	NC_072373.2	184298111	184298176	184298267	184298380	POMGNT1	XM_054489550.1	+	2	184298176	184298267	91	2
NC_072373.2	184299211	184299823	2	1	+	NC_072373.2	184299233	184299350	184299543	184299641	POMGNT1	XM_054489550.1	+	2	184299350	184299543	193	2
NC_072373.2	184308898	184309327	-3	1	-	NC_072373.2	184309100	184309255	184308908	184308991	TSPAN1	XM_054489775.2	-	3	184308991	184309100	109	3
NC_072373.2	185150200	185150479	-3	1	-	NC_072373.2	185150330	185150472	185150202	185150242	TOE1	XM_054490264.2	-	3	185150242	185150330	88	2
NC_072373.2	185150200	185150479	-3	1	-	NC_072373.2	185150330	185150386	185150202	185150242	TOE1	XM_063665376.1	-	3	185150242	185150330	88	1
NC_072373.2	185662169	185663402	3	1	+	NC_072373.2	185662295	185662643	185662770	185663082	PTCH2	XM_054490402.2	+	3	185662643	185662770	127	8
NC_072373.2	185663480	185664335	3	1	+	NC_072373.2	185663716	185663996	185664108	185664245	PTCH2	XM_054490402.2	+	3	185663996	185664108	112	8
NC_072373.2	185676222	185676786	-1	1	-	NC_072373.2	185676493	185676618	185676223	185676354	BTBD19	XM_054490528.2	-	1	185676354	185676493	139	2
NC_072373.2	185702548	185703355	2	1	+	NC_072373.2	185702676	185702909	185703144	185703298	BEST4	XM_054490554.2	+	2	185702909	185703144	235	1
NC_072373.2	185704386	185705163	1	1	+	NC_072373.2	185704387	185704467	185704893	185705163	BEST4	XM_054490554.2	+	1	185704467	185704893	426	1
NC_072373.2	185726247	185726634	-1	1	-	NC_072373.2	185726482	185726587	185726275	185726388	KIF2C	XM_054490567.2	-	1	185726388	185726482	94	8
NC_072373.2	186509850	186510396	-1	1	-	NC_072373.2	186510104	186510279	186509852	186509968	CCDC24	XM_054490993.2	-	1	186509968	186510104	136	6
NC_072373.2	186509850	186510396	-1	1	-	NC_072373.2	186510104	186510171	186509852	186509968	CCDC24	XM_054491038.2	-	1	186509968	186510104	136	5
NC_072373.2	186509850	186510396	-1	1	-	NC_072373.2	186510104	186510273	186509852	186509968	CCDC24	XM_054491061.2	-	1	186509968	186510104	136	2
NC_072373.2	187058615	187059050	-2	1	-	NC_072373.2	187058874	187058953	187058664	187058789	SZT2	XM_054491540.2	-	2	187058789	187058874	85	9
NC_072373.2	187060473	187060989	-1	1	-	NC_072373.2	187060760	187060926	187060539	187060636	SZT2	XM_054491540.2	-	1	187060636	187060760	124	9
NC_072373.2	187062631	187063516	-3	1	-	NC_072373.2	187063319	187063437	187063046	187063210	SZT2	XM_054491540.2	-	3	187063210	187063319	109	9
NC_072373.2	187062631	187063516	-3	1	-	NC_072373.2	187063046	187063210	187062697	187062781	SZT2	XM_054491540.2	-	3	187062781	187063046	265	9
NC_072373.2	187155287	187155911	-2	1	-	NC_072373.2	187155698	187155882	187155393	187155535	MPL	XM_054491672.2	-	2	187155535	187155698	163	1
NC_072373.2	187164059	187164467	-2	1	-	NC_072373.2	187164365	187164443	187164061	187164193	MPL	XM_054491672.2	-	2	187164193	187164365	172	1
NC_072373.2	190383619	190383841	2	1	+	NC_072373.2	190383650	190383685	190383770	190383832	COL9A2	XM_054493171.2	+	2	190383685	190383770	85	2
NC_072373.2	190386286	190386661	2	1	+	NC_072373.2	190386341	190386394	190386509	190386556	COL9A2	XM_054493171.2	+	2	190386394	190386509	115	3
NC_072373.2	190393513	190393909	2	1	+	NC_072373.2	190393541	190393594	190393679	190393750	COL9A2	XM_054493171.2	+	2	190393594	190393679	85	3
NC_072373.2	192990474	192990921	1	1	+	NC_072373.2	192990501	192990562	192990707	192990832	EPHA10	XM_054453990.1	+	1	192990562	192990707	145	1
NC_072373.2	194411597	194412968	-2	1	-	NC_072373.2	194412858	194412952	194411610	194412719	SH3D21	XM_054495806.2	-	2	194412719	194412858	139	3
NC_072373.2	194411597	194412968	-2	1	-	NC_072373.2	194412858	194412952	194411599	194412719	SH3D21	XM_054495817.2	-	2	194412719	194412858	139	2
NC_072373.2	194551898	194552843	-2	1	-	NC_072373.2	194552398	194552488	194552087	194552280	MAP7D1	XM_054495870.2	-	2	194552280	194552398	118	12
NC_072373.2	194551898	194552843	-2	1	-	NC_072373.2	194552087	194552280	194551899	194551906	MAP7D1	XM_054495870.2	-	2	194551906	194552087	181	12
NC_072373.2	197864968	197865589	-3	1	-	NC_072373.2	197865199	197865304	197864969	197865063	HPCA	XM_054464225.2	-	3	197865063	197865199	136	2
NC_072373.2	198547178	198547814	-2	1	-	NC_072373.2	198547387	198547533	198547230	198547269	DCDC2B	XM_054464877.2	-	2	198547269	198547387	118	1
NC_072373.2	198967668	198968259	1	1	+	NC_072373.2	198967834	198967959	198968113	198968167	SPOCD1	XM_054465107.2	+	1	198967959	198968113	154	6
NC_072373.2	199026207	199026819	1	1	+	NC_072373.2	199026296	199026397	199026542	199026648	ADGRB2	XM_054465151.2	+	1	199026397	199026542	145	13
NC_072373.2	199027459	199028170	2	1	+	NC_072373.2	199027484	199027678	199027847	199027915	ADGRB2	XM_054465151.2	+	2	199027678	199027847	169	12
NC_072373.2	199027459	199028170	2	1	+	NC_072373.2	199027847	199027915	199027991	199028099	ADGRB2	XM_054465151.2	+	2	199027915	199027991	76	12
NC_072373.2	199027459	199028170	2	1	+	NC_072373.2	199027484	199027678	199027991	199028099	ADGRB2	XM_054465171.2	+	2	199027678	199027991	313	1
NC_072373.2	199183084	199183606	-3	1	-	NC_072373.2	199183431	199183581	199183127	199183316	TINAGL1	XM_054465366.1	-	3	199183316	199183431	115	4
NC_072373.2	202586225	202586783	-2	1	-	NC_072373.2	202586574	202586756	202586247	202586459	SESN2	XM_054498201.2	-	2	202586459	202586574	115	1
NC_072373.2	202620629	202620932	-2	1	-	NC_072373.2	202620813	202620899	202620631	202620722	ATP5IF1	XM_054498226.2	-	2	202620722	202620813	91	1
NC_072373.2	202900546	202901059	-3	1	-	NC_072373.2	202900879	202901059	202900661	202900794	SMPDL3B	XM_054498326.1	-	3	202900794	202900879	85	1
NC_072373.2	203500672	203501134	2	1	+	NC_072373.2	203500703	203500895	203500995	203501133	MAP3K6	XM_054498751.2	+	2	203500895	203500995	100	4
NC_072373.2	204507965	204511214	3	1	+	NC_072373.2	204507992	204508091	204508161	204511100	CRYBG2	XM_054499293.1	+	3	204508091	204508161	70	1
NC_072373.2	204672444	204672966	-1	1	-	NC_072373.2	204672751	204672852	204672446	204672516	CNKSR1	XM_054447983.2	-	1	204672516	204672751	235	4
NC_072373.2	204690373	204690826	2	1	+	NC_072373.2	204690446	204690529	204690641	204690738	C1H1orf232	XM_054463037.1	+	2	204690529	204690641	112	1
NC_072373.2	205049425	205049881	-3	1	-	NC_072373.2	205049765	205049877	205049579	205049680	SELENON	XM_054499764.2	-	3	205049680	205049765	85	2
NC_072373.2	207347481	207348198	1	1	+	NC_072373.2	207347498	207347565	207347659	207347829	ASAP3	XM_054500830.2	+	1	207347565	207347659	94	3
NC_072373.2	207347481	207348198	1	1	+	NC_072373.2	207347659	207347829	207347911	207348106	ASAP3	XM_054500830.2	+	1	207347829	207347911	82	3
NC_072373.2	207347481	207348198	1	1	+	NC_072373.2	207347498	207347565	207347659	207347766	ASAP3	XM_054500849.2	+	1	207347565	207347659	94	2
NC_072373.2	207347481	207348198	1	1	+	NC_072373.2	207347659	207347766	207347911	207348106	ASAP3	XM_054500849.2	+	1	207347766	207347911	145	2
NC_072373.2	208199597	208200125	-2	1	-	NC_072373.2	208199901	208200050	208199623	208199813	EPHA8	XM_054456392.2	-	2	208199813	208199901	88	2
NC_072373.2	209008015	209008633	2	1	+	NC_072373.2	209008139	209008274	209008392	209008543	HSPG2	XM_054502323.2	+	2	209008274	209008392	118	4
NC_072373.2	209024725	209025331	2	1	+	NC_072373.2	209024843	209024942	209025081	209025190	HSPG2	XM_054502323.2	+	2	209024942	209025081	139	4
NC_072373.2	209027795	209028482	3	1	+	NC_072373.2	209027979	209028150	209028253	209028375	HSPG2	XM_054502323.2	+	3	209028150	209028253	103	4
NC_072373.2	209031551	209032082	3	1	+	NC_072373.2	209031773	209031851	209032011	209032081	HSPG2	XM_054502323.2	+	3	209031851	209032011	160	2
NC_072373.2	209031551	209032082	3	1	+	NC_072373.2	209031773	209031851	209031975	209032081	HSPG2	XM_063658800.1	+	3	209031851	209031975	124	2
NC_072373.2	209502495	209503542	1	1	+	NC_072373.2	209502763	209502816	209503030	209503116	ECE1	XM_054502654.2	+	1	209502816	209503030	214	1
NC_072373.2	210127639	210128182	2	1	+	NC_072373.2	210127842	210127945	210128087	210128181	DDOST	XM_054503002.2	+	2	210127945	210128087	142	2
NC_072373.2	210130629	210131235	1	1	+	NC_072373.2	210130648	210130768	210130892	210130998	DDOST	XM_054503002.2	+	1	210130768	210130892	124	2
NC_072373.2	210130629	210131235	1	1	+	NC_072373.2	210130892	210130998	210131089	210131235	DDOST	XM_054503002.2	+	1	210130998	210131089	91	2
NC_072373.2	211509226	211509826	2	1	+	NC_072373.2	211509273	211509460	211509653	211509757	LOC129045240	XM_054503704.2	+	2	211509460	211509653	193	1
NC_072373.2	211530503	211531100	3	1	+	NC_072373.2	211530547	211530734	211530927	211531031	LOC129045242	XM_054503719.2	+	3	211530734	211530927	193	1
NC_072373.2	211545898	211546540	2	1	+	NC_072373.2	211545987	211546174	211546367	211546471	LOC129045249	XM_054503732.2	+	2	211546174	211546367	193	3
NC_072373.2	21154987	21155593	-3	1	-	NC_072373.2	21155386	21155508	21155032	21155202	OBSCN	XM_054467038.2	-	3	21155202	21155386	184	2
NC_072373.2	211617714	211618179	1	1	+	NC_072373.2	211617745	211617874	211617992	211618131	UBR4	XM_054503754.2	+	1	211617874	211617992	118	13
NC_072373.2	21162252	21162891	-1	1	-	NC_072373.2	21162736	21162813	21162254	21162426	OBSCN	XM_054467038.2	-	1	21162426	21162736	310	2
NC_072373.2	21163963	21165208	-3	1	-	NC_072373.2	21164972	21165084	21164590	21164758	OBSCN	XM_054467038.2	-	3	21164758	21164972	214	2
NC_072373.2	21163963	21165208	-3	1	-	NC_072373.2	21164590	21164758	21163983	21164183	OBSCN	XM_054467038.2	-	3	21164183	21164590	407	2
NC_072373.2	21194482	21195130	-3	1	-	NC_072373.2	21194848	21194970	21194591	21194730	OBSCN	XM_054467038.2	-	3	21194730	21194848	118	2
NC_072373.2	213841216	213841606	2	1	+	NC_072373.2	213841241	213841375	213841463	213841529	ATP13A2	XM_054436093.2	+	2	213841375	213841463	88	6
NC_072373.2	213841216	213841606	2	1	+	NC_072373.2	213841268	213841375	213841463	213841529	ATP13A2	XM_054436122.2	+	2	213841375	213841463	88	1
NC_072373.2	213845125	213845881	2	1	+	NC_072373.2	213845247	213845357	213845579	213845767	ATP13A2	XM_054436093.2	+	2	213845357	213845579	222	7
NC_072373.2	213851417	213852266	3	1	+	NC_072373.2	213851425	213851585	213851709	213851825	ATP13A2	XM_054436093.2	+	3	213851585	213851709	124	7
