clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TTC	codon_CTC	codon_TCC	codon_CCC	codon_AGA	codon_TGC	codon_GTC	codon_CCT	codon_CAG	codon_ACA	codon_GAG	codon_TCT	codon_CAC	codon_GGC	codon_GGA	codon_TAC	codon_CCA	codon_CAT	codon_CGA	codon_TCA	codon_GAC	codon_GCT	codon_GAT	codon_ACC	codon_CTG	codon_CTT	codon_AGG	codon_ATT	codon_CCG	codon_ATA	codon_ACG	codon_ATG	codon_GCC	codon_ACT	codon_AGC	codon_TTT	codon_GTT	codon_TTG	codon_AAG	codon_GGG	codon_AAC	codon_CGT	codon_CTA	codon_GAA	codon_CAA	codon_CGG	codon_GCA	codon_TGG	codon_CGC	codon_AGT	codon_ATC	codon_AAA	codon_GTA	codon_GGT	codon_TTA	codon_TGT	codon_TAT	codon_GCG	codon_GTG	codon_TCG	codon_AAT
NC_072418.2	1::NC_072418.2:61478466-61488516(+)	10050	False	0.592	2	204.0	183.0	245.0	354.0	90.0	142.0	3.0	269.0	184.0	302.0	4.0	45.0	232.0	3.0	101.0	12.0	105.0	8.0	12.0	94.0	105.0	57.0	40.0	81.0	94.0	91.0	79.0	68.0	4.0	14.0	14.0	22.0	7.0	4.0	2.0	6.0	3.0	4.0	1.0	14.0	3.0	1.0	3.0	4.0	2.0	1.0	3.0	8.0	1.0	2.0	2.0	3.0	2.0	2.0	3.0	1.0	4.0	1.0	1.0	1.0	
NC_072410.2	-2::NC_072410.2:120862920-120874362(-)	11442	False	0.4678	0	419.0		236.0	1.0		250.0		255.0	84.0	11.0		185.0	78.0	93.0		57.0		132.0		2.0	1.0	6.0			237.0	188.0	72.0	155.0		77.0	106.0	23.0	24.0	1.0		239.0	142.0	9.0	2.0		1.0	145.0					288.0	2.0		1.0	1.0			9.0	56.0	73.0	54.0	15.0	84.0		
NC_072410.2	-3::NC_072410.2:120862925-120874493(-)	11568	False	0.4686	0	401.0	1.0	239.0	4.0		258.0	1.0	262.0	103.0	10.0		183.0	63.0	74.0		76.0		139.0		4.0		11.0	1.0	1.0	236.0	210.0	86.0	107.0		53.0	126.0	27.0	15.0	3.0	5.0	239.0	164.0	9.0	1.0	1.0		121.0	2.0		1.0		306.0			1.0	1.0			1.0	78.0	97.0	56.0	13.0	64.0	1.0	1.0
NC_072410.2	-1::NC_072410.2:120862939-120874378(-)	11439	False	0.4676	0	421.0	2.0	236.0		1.0	253.0		251.0	72.0	10.0		163.0	64.0	78.0		54.0		180.0		1.0		9.0		2.0	236.0	214.0	102.0	114.0		57.0	124.0	24.0	18.0		1.0	238.0	157.0	7.0				139.0	1.0		1.0		283.0		1.0			1.0	2.0	6.0	53.0	81.0	76.0	21.0	59.0		
NC_072410.2	-1::NC_072410.2:122843980-122852263(-)	8283	False	0.5002	0				1.0				43.0																1337.0																	43.0		1337.0																		
NC_072410.2	3::NC_072410.2:122843981-122852264(+)	8283	False	0.5001	0																											1337.0										1337.0			43.0														1.0	43.0						
NC_072410.2	-3::NC_072410.2:122843993-122852018(-)	8025	False	0.5002	0				1.0				1337.0																																	1337.0																				
NC_072410.2	1::NC_072410.2:122843994-122852019(+)	8025	False	0.5001	0																																								1337.0														1.0	1337.0						
NC_072413.2	-2::NC_072413.2:0-7681(-)	7681	False	0.5055	1							11.0		5.0											6.0							632.0					2.0				1.0	598.0			640.0														6.0	635.0				24.0		
NC_072413.2	3::NC_072413.2:2-7652(+)	7650	False	0.505	1		22.0		2.0				639.0													6.0			632.0	11.0									1.0							635.0		599.0								2.0	1.0									
