clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_GAT	codon_AGC	codon_TTT	codon_CCT	codon_TGT	codon_CTT	codon_CAC	codon_ATT	codon_TTC	codon_CTA	codon_AGT	codon_TGG	codon_CCC	codon_TCT	codon_ACC	codon_ACA	codon_TTA	codon_CCA	codon_ATG	codon_GAC	codon_ACT	codon_CAA	codon_TCA	codon_GAG	codon_AAA	codon_GAA	codon_CGT	codon_TTG	codon_CAG	codon_GCT	codon_TCC	codon_TAC	codon_AGG	codon_GGG	codon_CTC	codon_CGC	codon_AAG	codon_AAC	codon_CTG	codon_CAT	codon_GGC	codon_TGC	codon_GCC	codon_AGA	codon_GCA	codon_GGA	codon_GTG	codon_GTT	codon_ATC	codon_GCG	codon_ACG	codon_CGA	codon_AAT	codon_TAT	codon_GTC	codon_GTA	codon_GGT	codon_TCG	codon_ATA	codon_CGG	codon_CCG
NC_072427.2	-3::NC_072427.2:129980579-129990821(-)	10242	False	0.515	2	86.0	99.0	48.0	107.0	32.0	47.0	58.0	23.0	37.0	24.0	78.0	32.0	79.0	117.0	59.0	63.0	38.0	109.0	43.0	75.0	78.0	68.0	69.0	144.0	66.0	132.0	13.0	53.0	153.0	81.0	73.0	20.0	100.0	53.0	50.0	8.0	80.0	41.0	93.0	45.0	63.0	38.0	74.0	55.0	61.0	55.0	56.0	47.0	32.0	6.0	8.0	8.0	68.0	21.0	31.0	36.0	46.0	6.0	18.0	6.0	5.0
NC_072427.2	-2::NC_072427.2:161694177-161704566(-)	10389	False	0.5002	0				245.0						1486.0			1.0		1487.0																							244.0																							
NC_072427.2	2::NC_072427.2:161694178-161704567(+)	10389	False	0.5001	0																	244.0																1486.0	245.0														1486.0								1.0	1.0				
NC_072426.2	-1::NC_072426.2:167239072-167250001(-)	10929	False	0.5	0				167.0						1654.0			1.0		1653.0																							168.0																							
NC_072426.2	3::NC_072426.2:167239073-167250002(+)	10929	False	0.5	0			1.0														167.0																1654.0	167.0														1653.0									1.0				
NC_072430.2	3::NC_072430.2:12256925-12271832(+)	14907	False	0.5922	2	92.0	121.0	35.0	72.0	12.0	34.0	46.0	42.0	88.0	16.0	43.0	16.0	279.0	97.0	42.0	64.0	14.0	102.0	176.0	307.0	65.0	35.0	44.0	237.0	160.0	118.0	4.0	25.0	206.0	63.0	120.0	4.0	39.0	108.0	129.0	11.0	344.0	10.0	223.0	20.0	179.0	6.0	202.0	30.0	84.0	84.0	327.0	25.0	54.0	19.0	13.0	6.0	7.0	2.0	83.0	17.0	39.0	47.0	19.0	19.0	44.0
NC_072430.2	-2::NC_072430.2:82645483-82662652(-)	17169	False	0.4276	2	209.0	64.0	73.0	153.0	44.0	103.0	20.0	199.0	66.0	36.0	113.0	97.0	38.0	99.0	114.0	185.0	53.0	211.0	56.0	90.0	167.0	58.0	84.0	114.0	281.0	336.0	49.0	43.0	61.0	135.0	42.0	58.0	30.0	34.0	45.0	18.0	147.0	83.0	69.0	38.0	92.0	32.0	81.0	131.0	116.0	161.0	103.0	210.0	83.0	8.0	12.0	32.0	145.0	131.0	100.0	118.0	126.0	5.0	89.0	23.0	10.0
NC_072430.2	-3::NC_072430.2:153280257-153291897(-)	11640	False	0.5001	0				421.0						1518.0			1.0		1518.0							1.0																421.0																							
NC_072430.2	2::NC_072430.2:153280258-153291898(+)	11640	False	0.5	0												1.0					421.0																1518.0	420.0														1518.0									2.0				
NC_072448.2	-3::NC_072448.2:7243394-7270601(-)	27207	False	0.4928	0	2.0	1.0	93.0	22.0	1753.0	98.0		2.0	88.0	1.0		6.0	3.0	2257.0	3.0	1.0		182.0		2.0	4.0	1.0	2.0		1.0	1.0	2.0	1.0	1.0	1.0	189.0	2.0		11.0	1147.0	2.0		1.0	1053.0	175.0	1.0	6.0	5.0	1.0	2.0		699.0	3.0	173.0		2.0	1.0			1056.0		7.0	2.0		1.0	2.0
