chr	start	end	length	zscore
NC_001643.1	3678	3887	209	-0.2920081469034778
NC_001643.1	4928	5320	392	-0.2914493893429372
NC_001643.1	6859	7002	143	-0.29220966602367276
NC_001643.1	7683	7783	100	-0.29234095878379984
NC_001643.1	8622	8624	2	-0.2926401841440893
NC_001643.1	9405	9476	71	-0.2924295050638855
NC_001643.1	9819	9887	68	-0.2924386650238944
NC_001643.1	11552	11754	202	-0.2920295201434985
NC_001643.1	13563	13569	6	-0.2926279708640775
NC_001643.1	14091	14164	73	-0.2924233984238796
NC_072398.2	15055	16381	1326	-0.288597588460178
NC_072398.2	17201	33509	16308	-0.24285274817591893
NC_072398.2	103704	171070	67366	-0.08695633546508588
NC_072398.2	191452	254309	62857	-0.10072375535840615
NC_072398.2	263530	265117	1587	-0.287800671939407
NC_072398.2	266473	288997	22524	-0.22387331103755592
NC_072398.2	302089	365978	63889	-0.09757272911535747
NC_072398.2	374844	393950	19106	-0.23430955880765322
NC_072398.2	399580	424612	25032	-0.2162155844701469
NC_072398.2	430020	457941	27921	-0.2073945429816124
NC_072398.2	458892	469609	10717	-0.2599238603124356
NC_072398.2	470608	490449	19841	-0.2320653686054819
NC_072398.2	491411	513882	22471	-0.2240351369977125
NC_072398.2	514845	536893	22048	-0.2253266913589621
NC_072398.2	537202	542072	4870	-0.2777766223697085
NC_072398.2	543016	579111	36095	-0.18243670527746514
NC_072398.2	580056	596108	16052	-0.2436343980966752
NC_072398.2	597070	616913	19843	-0.23205926196547602
NC_072398.2	617912	628582	10670	-0.26006736635257444
NC_072398.2	634174	664192	30018	-0.20099173093541753
NC_072398.2	665146	684569	19423	-0.23334165636671675
NC_072398.2	751309	756592	5283	-0.27651560120848845
NC_072398.2	757528	786521	28993	-0.20412138393844553
NC_072398.2	787457	811688	24231	-0.2186612937925132
NC_072398.2	812624	841063	28439	-0.20581292322008213
NC_072398.2	842023	880281	38258	-0.1758323741110753
NC_072398.2	881214	914986	33772	-0.18952956764432763
NC_072398.2	915922	936898	20976	-0.22859985040212896
NC_072398.2	937834	965825	27991	-0.20718081058140558
NC_072398.2	966761	971875	5114	-0.2770316122889877
NC_072398.2	1012530	1027404	14874	-0.2472312090601552
NC_072398.2	1028364	1049915	21551	-0.22684419140043033
NC_072398.2	1050851	1071994	21143	-0.22808994596163562
NC_072398.2	1072930	1088318	15388	-0.24566180257863676
NC_072398.2	1089254	1107074	17820	-0.23823612833145225
NC_072398.2	1108010	1119951	11941	-0.2561865966288197
NC_072398.2	1120887	1144786	23899	-0.21967499603349397
NC_072398.2	1145791	1161319	15528	-0.24523433777822318
NC_072398.2	1162255	1176271	14016	-0.24985095762268986
NC_072398.2	1177213	1189086	11873	-0.2563942223890206
NC_072398.2	1250036	1265587	15551	-0.24516411141815522
NC_072398.2	1266529	1274064	7535	-0.2696395245618357
NC_072398.2	1274844	1292202	17358	-0.23964676217281708
NC_072398.2	1293132	1331842	38710	-0.17445227346974004
NC_072398.2	1332872	1347472	14600	-0.24806781874096462
