chr	start	end	frame	filler	frame	chr	exon_1_start	exon_1_end	exon_2_start	exon_2_end	gene	transcript	exon_strand	exon_frame	intron_start	intron_end	intron_length	merged_txs
NC_073249.2	103242122	103242722	-2	1	-	NC_073249.2	103242470	103242603	103242249	103242286	PIAS3	XM_003806201.7	-	2	103242286	103242470	184	1
NC_073249.2	113385288	113386134	-1	1	-	NC_073249.2	113385635	113385811	113385324	113385496	LOC134730803	XM_063606285.1	-	1	113385496	113385635	139	1
NC_073249.2	113390318	113391164	-2	1	-	NC_073249.2	113390665	113390841	113390354	113390526	LOC134730803	XM_063606285.1	-	2	113390526	113390665	139	1
NC_073249.2	113853442	113854288	-3	1	-	NC_073249.2	113853789	113853965	113853478	113853650	LOC129394614	XM_063606287.1	-	3	113853650	113853789	139	1
NC_073249.2	113858472	113859318	-1	1	-	NC_073249.2	113858819	113858995	113858508	113858680	LOC129394614	XM_063606287.1	-	1	113858680	113858819	139	1
NC_073249.2	114325482	114325914	1	1	+	NC_073249.2	114325522	114325629	114325762	114325913	PPM1J	XM_008963061.5	+	1	114325629	114325762	133	1
NC_073249.2	117130146	117130506	-1	1	-	NC_073249.2	117130489	117130503	117130246	117130368	CSF1	XM_063599449.1	-	1	117130368	117130489	121	1
NC_073249.2	117374324	117374816	-2	1	-	NC_073249.2	117374580	117374675	117374379	117374489	LOC129398196	XM_055114800.2	-	2	117374489	117374580	91	1
NC_073249.2	117578767	117579613	2	1	+	NC_073249.2	117579091	117579267	117579406	117579578	LOC117974945	XM_063606467.1	+	2	117579267	117579406	139	1
NC_073249.2	117583797	117584637	1	1	+	NC_073249.2	117584115	117584291	117584430	117584602	LOC117974945	XM_063606467.1	+	1	117584291	117584430	139	1
NC_073249.2	117588821	117589661	3	1	+	NC_073249.2	117589139	117589315	117589454	117589626	LOC117974945	XM_063606467.1	+	3	117589315	117589454	139	1
NC_073249.2	117636069	117636621	-1	1	-	NC_073249.2	117636553	117636588	117636204	117636279	LOC129398196	XM_055114800.2	-	1	117636279	117636553	274	1
NC_073249.2	117645383	117645971	-2	1	-	NC_073249.2	117645747	117645842	117645546	117645656	GSTM4	NM_001367587.1	-	2	117645656	117645747	91	2
NC_073249.2	118030357	118031215	-3	1	-	NC_073249.2	118031002	118031196	118030693	118030863	CELSR2	XM_034932778.3	-	3	118030863	118031002	139	4
NC_073249.2	118030357	118031215	-3	1	-	NC_073249.2	118030693	118030863	118030359	118030611	CELSR2	XM_034932778.3	-	3	118030611	118030693	82	2
NC_073249.2	118030357	118031215	-3	1	-	NC_073249.2	118030693	118030863	118030359	118030593	CELSR2	XM_034932786.4	-	3	118030593	118030693	100	2
NC_073249.2	118032276	118032747	-1	1	-	NC_073249.2	118032517	118032643	118032307	118032429	CELSR2	XM_034932778.3	-	1	118032429	118032517	88	4
NC_073249.2	155806923	155807196	1	1	+	NC_073249.2	155806935	155806987	155807078	155807186	ZRANB2	XM_003830602.5	+	1	155806987	155807078	91	1
NC_073249.2	172026353	172027229	-2	1	-	NC_073249.2	172026867	172027031	172026546	172026668	CIMAP2	XM_003814987.4	-	2	172026668	172026867	199	2
NC_073249.2	172605142	172605829	2	1	+	NC_073249.2	172605344	172605422	172605693	172605721	SSBP3	XM_034965692.3	+	2	172605422	172605693	271	9
NC_073249.2	174497340	174497970	1	1	+	NC_073249.2	174497401	174497459	174497541	174497657	CC2D1B	XM_008967916.4	+	1	174497459	174497541	82	11
NC_073249.2	174499139	174499505	3	1	+	NC_073249.2	174499148	174499238	174499392	174499481	CC2D1B	XM_008967916.4	+	3	174499238	174499392	154	5
NC_073249.2	178595660	178596137	-2	1	-	NC_073249.2	178596024	178596098	178595742	178595906	SLC5A9	XM_063601241.1	-	2	178595906	178596024	118	1
NC_073249.2	180402254	180402845	-2	1	-	NC_073249.2	180402566	180402606	180402276	180402400	FAAH	XM_008965209.4	-	2	180402400	180402566	166	1
NC_073249.2	180612658	180613009	2	1	+	NC_073249.2	180612709	180612781	180612863	180612991	POMGNT1	XM_034964100.3	+	2	180612781	180612863	82	5
NC_073249.2	181187889	181188555	1	1	+	NC_073249.2	181188197	181188315	181188457	181188554	CCDC17	XM_003812760.7	+	1	181188315	181188457	142	3
NC_073249.2	181189028	181189547	3	1	+	NC_073249.2	181189079	181189289	181189359	181189469	CCDC17	XM_003812760.7	+	3	181189289	181189359	70	3
NC_073249.2	181467242	181467521	-2	1	-	NC_073249.2	181467372	181467514	181467244	181467284	TOE1	XM_003812776.7	-	2	181467284	181467372	88	2
NC_073249.2	181980302	181981328	3	1	+	NC_073249.2	181980391	181980533	181980618	181980798	PTCH2	XM_008965267.4	+	3	181980533	181980618	85	2
NC_073249.2	181993538	181994189	-2	1	-	NC_073249.2	181993809	181993934	181993539	181993670	BTBD19	XM_003812800.7	-	2	181993670	181993809	139	6
NC_073249.2	181993538	181994189	-2	1	-	NC_073249.2	181993809	181994170	181993539	181993670	BTBD19	XM_063608061.1	-	2	181993670	181993809	139	1
NC_073249.2	182021257	182022001	2	1	+	NC_073249.2	182021322	182021555	182021790	182021944	BEST4	XM_014344791.4	+	2	182021555	182021790	235	2
NC_073249.2	182023032	182023809	1	1	+	NC_073249.2	182023033	182023113	182023539	182023809	BEST4	XM_014344791.4	+	1	182023113	182023539	426	2
NC_073249.2	182045583	182046210	-1	1	-	NC_073249.2	182045896	182046001	182045689	182045802	KIF2C	XM_003812801.7	-	1	182045802	182045896	94	5
NC_073249.2	182047282	182048104	-3	1	-	NC_073249.2	182047868	182048072	182047649	182047759	KIF2C	XM_003812801.7	-	3	182047759	182047868	109	5
NC_073249.2	182817010	182817556	-3	1	-	NC_073249.2	182817264	182817439	182817012	182817128	CCDC24	XM_003812823.4	-	3	182817128	182817264	136	5
NC_073249.2	182817010	182817556	-3	1	-	NC_073249.2	182817225	182817331	182817012	182817128	CCDC24	XM_008965309.3	-	3	182817128	182817225	97	3
NC_073249.2	182817010	182817556	-3	1	-	NC_073249.2	182817264	182817331	182817012	182817128	CCDC24	XM_008965310.3	-	3	182817128	182817264	136	4
NC_073249.2	182817010	182817556	-3	1	-	NC_073249.2	182817225	182817439	182817012	182817128	CCDC24	XM_024930987.3	-	3	182817128	182817225	97	4
NC_073249.2	182817010	182817556	-3	1	-	NC_073249.2	182817225	182817498	182817012	182817128	CCDC24	XM_034963351.3	-	3	182817128	182817225	97	5
NC_073249.2	182817010	182817556	-3	1	-	NC_073249.2	182817264	182817498	182817012	182817128	CCDC24	XM_055094128.2	-	3	182817128	182817264	136	3
NC_073249.2	182842588	182842981	-3	1	-	NC_073249.2	182842901	182842959	182842664	182842753	IPO13	XM_003812825.5	-	3	182842753	182842901	148	1
NC_073249.2	183358031	183358361	3	1	+	NC_073249.2	183358032	183358110	183358198	183358247	HYI	XM_034962958.3	+	3	183358110	183358198	88	4
NC_073249.2	183359567	183360026	-2	1	-	NC_073249.2	183359874	183359942	183359568	183359708	SZT2	XM_003812838.5	-	2	183359708	183359874	166	3
NC_073249.2	183370530	183371418	-1	1	-	NC_073249.2	183370945	183371109	183370596	183370680	SZT2	XM_003812838.5	-	1	183370680	183370945	265	3
NC_073249.2	186502311	186502533	1	1	+	NC_073249.2	186502342	186502377	186502462	186502524	COL9A2	XM_003815424.5	+	1	186502377	186502462	85	2
NC_073249.2	186504965	186505358	3	1	+	NC_073249.2	186505020	186505073	186505185	186505232	COL9A2	XM_003815424.5	+	3	186505073	186505185	112	2
NC_073249.2	186512177	186512573	3	1	+	NC_073249.2	186512205	186512258	186512343	186512414	COL9A2	XM_003815424.5	+	3	186512258	186512343	85	2
NC_073249.2	189115440	189115887	1	1	+	NC_073249.2	189115467	189115528	189115673	189115798	EPHA10	XM_034961557.3	+	1	189115528	189115673	145	4
NC_073249.2	190523726	190525151	-2	1	-	NC_073249.2	190525041	190525135	190523728	190524902	SH3D21	XM_008965049.6	-	2	190524902	190525041	139	1
NC_073249.2	190523726	190525151	-2	1	-	NC_073249.2	190525041	190525135	190523739	190524902	SH3D21	XM_034961329.3	-	2	190524902	190525041	139	1
NC_073249.2	190665863	190666754	-2	1	-	NC_073249.2	190666562	190666607	190666363	190666453	MAP7D1	XM_034961309.4	-	2	190666453	190666562	109	7
NC_073249.2	190665863	190666754	-2	1	-	NC_073249.2	190666363	190666453	190666052	190666245	MAP7D1	XM_034961309.4	-	2	190666245	190666363	118	14
NC_073249.2	190665863	190666754	-2	1	-	NC_073249.2	190666052	190666245	190665864	190665871	MAP7D1	XM_034961309.4	-	2	190665871	190666052	181	14
NC_073249.2	190665863	190666754	-2	1	-	NC_073249.2	190666562	190666604	190666363	190666453	MAP7D1	XM_034961316.4	-	2	190666453	190666562	109	7
NC_073249.2	193928474	193929167	-2	1	-	NC_073249.2	193928705	193928810	193928475	193928569	HPCA	XM_003812536.4	-	2	193928569	193928705	136	3
NC_073249.2	194047381	194050213	-3	1	-	NC_073249.2	194050072	194050185	194047417	194049978	NHSL3	XM_003812964.6	-	3	194049978	194050072	94	4
NC_073249.2	194598197	194598542	-2	1	-	NC_073249.2	194598432	194598542	194598225	194598314	EIF3I	XM_003828143.6	-	2	194598314	194598432	118	1
NC_073249.2	194614222	194614861	-3	1	-	NC_073249.2	194614431	194614577	194614274	194614313	DCDC2B	XM_003828144.4	-	3	194614313	194614431	118	1
NC_073249.2	195029453	195030101	3	1	+	NC_073249.2	195029679	195029804	195029955	195030009	SPOCD1	XM_008953483.5	+	3	195029804	195029955	151	6
NC_073249.2	195088042	195088654	2	1	+	NC_073249.2	195088131	195088232	195088377	195088483	ADGRB2	XM_008953476.4	+	2	195088232	195088377	145	16
