"Chromosome","Frame","N","Min","Q1","Median","Mean","Q3","Max","SD","P95","P99","Q_1Kb","Q_5Kb","Q_10Kb"
"NC_073249.2","1",3745074,3,15,39,57.6282845145383,75,15531,67.1073796357407,177,300,"Q100","Q100","Q100"
"NC_073249.2","2",3747057,3,15,39,57.5967747488229,75,15243,66.6578704842763,177,300,"Q100","Q100","Q100"
"NC_073249.2","3",3746056,3,15,39,57.6119791054912,75,15702,66.64548437661,177,300,"Q100","Q100","Q100"
"NC_073249.2","-1",3747602,3,15,39,57.5858474299032,75,7722,65.8308410213217,177,300,"Q100","Q100","Q100"
"NC_073249.2","-2",3748650,3,15,39,57.5686612513839,75,9522,65.7668202465496,177,300,"Q100","Q100","Q100"
"NC_073249.2","-3",3746786,3,15,39,57.5988214966107,75,10095,65.9445490861991,177,300,"Q100","Q100","Q100"
"NC_073252.2","1",3395084,3,15,36,52.3692865920254,69,13542,60.1244849014973,159,267,"Q100","Q100","Q100"
"NC_073252.2","2",3395744,3,15,36,52.3606087502474,69,22824,60.7625458534912,159,267,"Q100","Q100","Q100"
"NC_073252.2","3",3393017,3,15,36,52.4049847082994,69,18180,60.3780016033954,159,267,"Q100","Q100","Q100"
"NC_073252.2","-1",3393989,3,15,36,52.3873775077056,69,16719,60.0605743035114,159,264,"Q100","Q100","Q100"
"NC_073252.2","-2",3396229,3,15,36,52.3528398703385,69,16644,59.6302244590431,159,264,"Q100","Q100","Q100"
"NC_073252.2","-3",3392118,3,15,36,52.4193306364932,69,16854,60.0549706199727,159,267,"Q100","Q100","Q100"
"NC_073253.2","1",3077559,3,15,36,54.1889854914236,72,16818,63.0878433834403,165,276,"Q100","Q100","Q100"
"NC_073253.2","2",3071936,3,15,36,54.2941565188858,72,16692,62.5694470162844,165,276,"Q100","Q100","Q100"
"NC_073253.2","3",3076606,3,15,36,54.2060033036404,72,19806,63.143273193217,165,276,"Q100","Q100","Q100"
"NC_073253.2","-1",3076374,3,15,36,54.2103307335194,72,8817,60.8849628076865,165,276,"Q100","Q100","Q100"
"NC_073253.2","-2",3076340,3,15,36,54.2106720973624,72,8382,60.9520045409102,165,276,"Q100","Q100","Q100"
"NC_073253.2","-3",3075438,3,15,36,54.2281538434526,72,10530,61.360931202571,165,276,"Q100","Q100","Q100"
"NC_073254.2","1",3268063,3,15,36,55.319675599889,75,25623,62.3183689051604,168,276,"Q100","Q100","Q100"
"NC_073254.2","2",3261487,3,15,36,55.4374798979729,75,25857,63.0403436487465,168,276,"Q100","Q100","Q100"
"NC_073254.2","3",3265402,3,15,36,55.3674637915945,75,25635,62.5001650629998,168,276,"Q100","Q100","Q100"
"NC_073254.2","-1",3326742,3,15,36,54.290231102983,72,7986,60.0620868918529,165,270,"Q100","Q100","Q100"
"NC_073254.2","-2",3326931,3,15,36,54.2872945065588,72,7635,60.0108298193985,165,270,"Q100","Q100","Q100"
"NC_073254.2","-3",3330721,3,15,36,54.2216408999733,72,7449,59.8723656501279,165,270,"Q100","Q100","Q100"
"NC_073255.2","1",3058260,3,18,42,61.0335788978047,84,57834,78.5600974423733,186,321,"Q100","Q100","Q100"
"NC_073255.2","2",3060443,3,18,42,60.9887947594514,84,10836,70.1307059522004,186,321,"Q100","Q100","Q100"
"NC_073255.2","3",3057121,3,18,42,61.0575943837355,84,24459,71.664039385637,186,321,"Q100","Q100","Q100"
"NC_073255.2","-1",3183659,3,15,39,58.5060538832834,78,12369,67.6948048281295,177,309,"Q100","Q100","Q100"
"NC_073255.2","-2",3177638,3,15,39,58.6233479081003,78,12708,67.9156278617629,177,312,"Q100","Q100","Q100"
"NC_073255.2","-3",3181117,3,15,39,58.5553322936566,78,12543,67.9211893012448,177,309,"Q100","Q100","Q100"
"NC_073256.2","1",2694010,3,15,39,57.262714689255,78,11115,64.8317415571232,174,288,"Q100","Q100","Q100"
"NC_073256.2","2",2695325,3,15,39,57.2335814790423,78,13434,65.1497724016891,174,288,"Q100","Q100","Q100"
"NC_073256.2","3",2692157,3,15,39,57.3041780252786,78,9078,65.1628204216593,174,288,"Q100","Q100","Q100"
"NC_073256.2","-1",2763178,3,15,36,55.7496469644735,75,21579,64.795705667352,168,279,"Q100","Q100","Q100"
"NC_073256.2","-2",2757951,3,15,36,55.8619979107678,75,21576,65.8395663672355,168,282,"Q100","Q100","Q100"
"NC_073256.2","-3",2761403,3,15,36,55.7887917844661,75,12786,63.5405344542397,168,282,"Q100","Q100","Q100"
"NC_073257.2","1",2363611,3,18,39,59.0452896013769,81,21381,67.1074831680407,177,297,"Q100","Q100","Q100"
"NC_073257.2","2",2364731,3,18,39,59.0160766700314,81,20439,66.5737502160071,177,294,"Q100","Q100","Q100"
"NC_073257.2","3",2364648,3,18,39,59.0177277971182,81,16992,66.5445637454315,177,297,"Q100","Q100","Q100"
"NC_073257.2","-1",2414804,3,15,39,57.7257147992135,78,11580,65.4968011491667,174,291,"Q100","Q100","Q100"
"NC_073257.2","-2",2414201,3,15,39,57.7404408332198,78,22122,66.0143931763087,174,291,"Q100","Q100","Q100"
"NC_073257.2","-3",2415477,3,15,39,57.7087275101357,78,22167,66.4257178947595,174,291,"Q100","Q100","Q100"
"NC_073258.2","1",2229334,3,15,39,57.7185688640644,78,13377,66.8911028787976,177,297,"Q100","Q100","Q100"
"NC_073258.2","2",2226965,3,15,39,57.7824240614469,78,14781,68.2134493259832,177,297,"Q100","Q100","Q100"
"NC_073258.2","3",2227747,3,15,39,57.7592706891761,78,12792,66.6276629550978,177,297,"Q100","Q100","Q100"
"NC_073258.2","-1",2234868,3,15,39,57.5719796426456,75,17508,67.1973222169746,177,303,"Q100","Q100","Q100"
"NC_073258.2","-2",2230186,3,15,39,57.6992430227793,75,14283,67.1611895300278,177,303,"Q100","Q100","Q100"
"NC_073258.2","-3",2231362,3,15,39,57.6680471389223,75,7035,66.3614245582513,177,303,"Q100","Q100","Q100"
"NC_073259.2","1",2346284,3,15,39,57.2760829464804,78,7854,64.7471653051842,177,288,"Q100","Q100","Q100"
"NC_073259.2","2",2348104,3,15,39,57.2287317767867,78,7881,64.5169123624168,177,288,"Q100","Q100","Q100"
"NC_073259.2","3",2347508,3,15,39,57.2443420853092,78,10041,64.3226659933795,177,288,"Q100","Q100","Q100"
"NC_073259.2","-1",2398492,3,15,36,55.9627420062272,75,11373,63.2153001071631,168,285,"Q100","Q100","Q100"
"NC_073259.2","-2",2395077,3,15,36,56.0474707076224,75,7644,62.9368743388851,168,285,"Q100","Q100","Q100"
