clade	species	start	end	gc_content	gc_stretch_count
NC_072418.2	1::NC_072418.2:61478466-61488516	0	60	0.5833	1
NC_072418.2	1::NC_072418.2:61478466-61488516	30	90	0.5333	0
NC_072418.2	1::NC_072418.2:61478466-61488516	60	120	0.5333	0
NC_072418.2	1::NC_072418.2:61478466-61488516	90	150	0.55	0
NC_072418.2	1::NC_072418.2:61478466-61488516	120	180	0.6	1
NC_072418.2	1::NC_072418.2:61478466-61488516	150	210	0.6167	1
NC_072418.2	1::NC_072418.2:61478466-61488516	180	240	0.6	1
NC_072418.2	1::NC_072418.2:61478466-61488516	210	270	0.6	1
NC_072418.2	1::NC_072418.2:61478466-61488516	240	300	0.6167	1
NC_072418.2	1::NC_072418.2:61478466-61488516	270	330	0.6	1
NC_072418.2	1::NC_072418.2:61478466-61488516	300	360	0.5833	0
NC_072418.2	1::NC_072418.2:61478466-61488516	330	390	0.5833	0
NC_072418.2	1::NC_072418.2:61478466-61488516	360	420	0.6	0
NC_072418.2	1::NC_072418.2:61478466-61488516	390	450	0.6	0
NC_072418.2	1::NC_072418.2:61478466-61488516	420	480	0.6	1
NC_072418.2	1::NC_072418.2:61478466-61488516	450	510	0.6	1
NC_072418.2	1::NC_072418.2:61478466-61488516	480	540	0.6	0
NC_072418.2	1::NC_072418.2:61478466-61488516	510	570	0.6167	0
NC_072418.2	1::NC_072418.2:61478466-61488516	540	600	0.5833	0
NC_072418.2	1::NC_072418.2:61478466-61488516	570	630	0.5833	0
NC_072418.2	1::NC_072418.2:61478466-61488516	600	660	0.6167	1
NC_072418.2	1::NC_072418.2:61478466-61488516	630	690	0.6333	1
NC_072418.2	1::NC_072418.2:61478466-61488516	660	720	0.6	1
NC_072418.2	1::NC_072418.2:61478466-61488516	690	750	0.5833	0
NC_072418.2	1::NC_072418.2:61478466-61488516	720	780	0.6	0
NC_072418.2	1::NC_072418.2:61478466-61488516	750	810	0.6	0
NC_072418.2	1::NC_072418.2:61478466-61488516	780	840	0.5833	0
NC_072418.2	1::NC_072418.2:61478466-61488516	810	870	0.5667	0
NC_072418.2	1::NC_072418.2:61478466-61488516	840	900	0.5667	0
NC_072418.2	1::NC_072418.2:61478466-61488516	870	930	0.5833	0
NC_072418.2	1::NC_072418.2:61478466-61488516	900	960	0.5667	0
NC_072418.2	1::NC_072418.2:61478466-61488516	930	990	0.55	0
