clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_GGG	codon_TTA	codon_GTT	codon_AGG	codon_GTA	codon_GGT	codon_CCT	codon_AAC	codon_ACC	codon_CTA	codon_CCC	codon_GGC	codon_AGA	codon_CGT	codon_GCT	codon_TGC	codon_AGC	codon_ATG	codon_TGG	codon_TTG	codon_CCG	codon_AGT	codon_TCC	codon_CTT	codon_CTG	codon_CGG	codon_CTC	codon_GCC	codon_AAG	codon_TCT	codon_TAT	codon_TCA	codon_ACT	codon_CAC	codon_GAG	codon_GTC	codon_ATT	codon_GCG	codon_TGT	codon_CAT	codon_CGC	codon_CAA	codon_GAC	codon_GGA	codon_CAG	codon_ATC	codon_TTC	codon_CCA	codon_GTG	codon_AAA	codon_AAT	codon_GAA	codon_TCG	codon_ATA	codon_CGA	codon_GCA	codon_ACG	codon_GAT	codon_ACA	codon_TAC	codon_TTT
NC_073273.2	-1::NC_073273.2:1501-7714(-)	6213	False	0.5002	0	291.0	290.0	744.0	744.0	1.0	1.0																																																							
NC_073273.2	3::NC_073273.2:1502-7715(+)	6213	False	0.5004	0							291.0	290.0	745.0	744.0	1.0																																																		
NC_073273.2	3::NC_073273.2:44798339-44803628(+)	5289	False	0.636	1	97.0	1.0	3.0	99.0		55.0	56.0		3.0	2.0	58.0	6.0	58.0	34.0	6.0	52.0	5.0	10.0	22.0	7.0	2.0	4.0	51.0	5.0	55.0	40.0	3.0	5.0	3.0	6.0	1.0	11.0	4.0	7.0	97.0	90.0	2.0	9.0	220.0	13.0	8.0	2.0	38.0	97.0	53.0	2.0	2.0	4.0	219.0	3.0	1.0	6.0	37.0	1.0	1.0	39.0	37.0	5.0	6.0		
NC_073273.2	1::NC_073273.2:44798661-44803713(+)	5052	False	0.6281	0	94.0	2.0	3.0	92.0	1.0	56.0	49.0	1.0		2.0	48.0	1.0	56.0	37.0	3.0	52.0		12.0	13.0	6.0		2.0	48.0	4.0	49.0	41.0	1.0	1.0	3.0	2.0	8.0	4.0	1.0	5.0	100.0	90.0	4.0	13.0	218.0	9.0	4.0	2.0	43.0	98.0	44.0	1.0	1.0	3.0	213.0	3.0	2.0	2.0	37.0	3.0		42.0	35.0	8.0	7.0	2.0	3.0
NC_073273.2	-3::NC_073273.2:45201305-45206543(-)	5238	False	0.4318	0				2.0	1.0	3.0	2.0	235.0		109.0			4.0	1.0		1.0	114.0	124.0	3.0		133.0	250.0	1.0	2.0	10.0	2.0	1.0		17.0		1.0	4.0	1.0	28.0	116.0	2.0			3.0	40.0		2.0	3.0	1.0	113.0	3.0		120.0		1.0	159.0	1.0	1.0	119.0	1.0	2.0	1.0		8.0	1.0	
NC_073273.2	2::NC_073273.2:45201367-45206383(+)	5016	False	0.4302	0			2.0		219.0	5.0	93.0		1.0	1.0	1.0	1.0	1.0		5.0	106.0	2.0	1.0					1.0	2.0	1.0			2.0		138.0	154.0	121.0		2.0		2.0		129.0	254.0	16.0	1.0		20.0				2.0		127.0					3.0		8.0	2.0	21.0		228.0	
NC_073273.2	-1::NC_073273.2:46147024-46156333(-)	9309	False	0.4818	0	204.0		33.0		203.0	1.0	205.0	2.0	87.0				1.0	2.0	1.0	35.0		22.0		23.0		204.0	141.0	35.0	389.0	16.0	1.0	14.0		31.0	1.0	206.0	3.0	87.0	2.0		1.0			121.0					4.0	104.0	102.0			1.0	205.0		183.0	153.0		208.0				1.0	71.0
NC_073273.2	3::NC_073273.2:46147025-46156310(+)	9285	False	0.4822	0			1.0	1.0	2.0	205.0		170.0		1.0			32.0	16.0		209.0	255.0	172.0	1.0	1.0		137.0		204.0		1.0			20.0	1.0		1.0			186.0		1.0	100.0		35.0	1.0		1.0			2.0	204.0	205.0	87.0	2.0	1.0	205.0		105.0		123.0		169.0	235.0	1.0	2.0
NC_073273.2	-3::NC_073273.2:46147097-46156280(-)	9183	False	0.4823	0			169.0				1.0		204.0						254.0	121.0		34.0	203.0					20.0			185.0		204.0	31.0	104.0		137.0	86.0		1.0	1.0		233.0	172.0	99.0	1.0				169.0	203.0	1.0		2.0	1.0	202.0				207.0	15.0	1.0			
NC_073273.2	2::NC_073273.2:46455307-46461184(+)	5877	False	0.512	0	4.0	2.0	16.0	5.0	1.0	4.0	385.0	2.0	1.0		93.0	7.0	2.0	15.0	5.0	16.0	4.0	1.0	6.0	13.0	1.0	1.0	386.0	403.0	4.0	3.0	12.0	2.0	6.0	29.0	2.0	5.0	2.0	5.0	5.0	1.0	3.0			2.0		1.0	2.0	4.0	5.0	1.0	423.0	2.0	3.0	13.0	1.0	7.0	7.0	2.0		2.0		1.0	4.0	1.0	26.0
