"Chromosome","Frame","N","Min","Q1","Median","Mean","Q3","Max","SD","P95","P99","Q_1Kb","Q_5Kb","Q_10Kb"
"NC_073224.2","1",3963532,3,15,39,58.3570398826098,78,12057,66.6748157136872,177,303,"Q100","Q100","Q100"
"NC_073224.2","2",3961064,3,15,39,58.3957613408923,78,9531,66.2534881786545,177,300,"Q100","Q100","Q100"
"NC_073224.2","3",3966578,3,15,39,58.3093981764635,78,7374,66.099161281417,177,303,"Q100","Q100","Q100"
"NC_073224.2","-1",3999847,3,15,39,57.8000926035421,78,8595,65.7415043728786,177,300,"Q100","Q100","Q100"
"NC_073224.2","-2",3999875,3,15,39,57.7990817213038,78,7485,65.7254791654122,177,297,"Q100","Q100","Q100"
"NC_073224.2","-3",4000660,3,15,39,57.7869471537196,78,7329,65.7981284071417,177,297,"Q100","Q100","Q100"
"NC_073227.2","1",3772057,3,15,36,53.9279629125434,72,6573,61.3630793758699,162,273,"Q100","Q100","Q100"
"NC_073227.2","2",3767250,3,15,36,54.0013781936426,72,4407,61.4907302759455,162,276,"Q100","Q100","Q100"
"NC_073227.2","3",3764594,3,15,36,54.0412413662668,72,6360,61.9593459116421,162,276,"Q100","Q100","Q100"
"NC_073227.2","-1",3864339,3,15,36,52.5678166434156,69,27780,69.8585729585053,156,267,"Q100","Q100","Q100"
"NC_073227.2","-2",3874552,3,15,36,52.4203933770924,69,19341,66.9119818942031,156,267,"Q100","Q100","Q100"
"NC_073227.2","-3",3872638,3,15,36,52.4478451122981,69,23961,65.9578536858097,156,267,"Q100","Q100","Q100"
"NC_073228.2","1",3128862,3,18,39,59.2758421432456,81,9543,65.718742216895,180,300,"Q100","Q100","Q100"
"NC_073228.2","2",3126383,3,18,39,59.3243431786829,81,9417,65.7236045214739,180,300,"Q100","Q100","Q100"
"NC_073228.2","3",3130054,3,18,39,59.2512742591661,81,10035,66.2267689598874,177,300,"Q100","Q100","Q100"
"NC_073228.2","-1",3109256,3,18,39,59.6693253948854,81,6765,67.167375710843,180,309,"Q100","Q100","Q100"
"NC_073228.2","-2",3110988,3,18,39,59.634871622777,81,7179,67.24858151516,180,309,"Q100","Q100","Q100"
"NC_073228.2","-3",3109404,3,18,39,59.6657021731496,81,7095,67.4427421792294,180,309,"Q100","Q100","Q100"
"NC_073229.2","1",3378653,3,15,39,55.867912153157,78,5535,60.4059527956287,168,273,"Q100","Q100","Q100"
"NC_073229.2","2",3377384,3,15,39,55.8903562639013,78,8277,60.6654367822307,168,273,"Q100","Q100","Q100"
"NC_073229.2","3",3376304,3,15,39,55.9088047166369,78,7869,60.4968483068666,168,273,"Q100","Q100","Q100"
"NC_073229.2","-1",3453786,3,15,36,54.5881959681347,75,13977,59.6416908973593,165,273,"Q100","Q100","Q100"
"NC_073229.2","-2",3451208,3,15,36,54.6315130817963,75,14142,59.8323294133584,165,273,"Q100","Q100","Q100"
"NC_073229.2","-3",3452234,3,15,36,54.6139511400444,75,13716,59.9825664299062,165,273,"Q100","Q100","Q100"
"NC_073230.2","1",2827980,3,15,39,57.2327350264146,78,11844,65.4475633846307,174,291,"Q100","Q100","Q100"
"NC_073230.2","2",2825426,3,15,39,57.2870480416051,78,7710,65.3690000233418,174,291,"Q100","Q100","Q100"
"NC_073230.2","3",2823914,3,15,39,57.3190911621246,78,7167,65.2450525763492,174,291,"Q100","Q100","Q100"
"NC_073230.2","-1",2851941,3,15,36,56.7262366227071,75,7968,64.7252896096023,174,291,"Q100","Q100","Q100"
"NC_073230.2","-2",2848840,3,15,39,56.7915628817343,75,43056,71.2341874469314,174,291,"Q100","Q100","Q100"
"NC_073230.2","-3",2851187,3,15,39,56.7423283706049,75,27357,68.1265085539178,174,291,"Q100","Q100","Q100"
"NC_073231.2","1",2682016,3,15,36,55.945308678248,75,4098,61.8756331788515,168,285,"Q100","Q100","Q100"
"NC_073231.2","2",2680117,3,15,39,55.9872923458192,75,5493,62.2587323067595,168,285,"Q100","Q100","Q100"
"NC_073231.2","3",2682963,3,15,36,55.924578162278,75,10209,62.5405714261327,168,285,"Q100","Q100","Q100"
"NC_073231.2","-1",2669349,3,15,36,56.2249687095993,78,5787,62.7409204068677,168,279,"Q100","Q100","Q100"
"NC_073231.2","-2",2665769,3,15,36,56.3044764943999,78,7371,62.7327341481395,168,279,"Q100","Q100","Q100"
"NC_073231.2","-3",2667040,3,15,36,56.2769463525107,78,16911,63.3780811482493,168,279,"Q100","Q100","Q100"
"NC_073232.2","1",2436219,3,18,39,58.7472103287923,81,9981,65.0082456956646,177,291,"Q100","Q100","Q100"
"NC_073232.2","2",2437094,3,18,39,58.723979460784,81,5376,64.6190483124209,177,291,"Q100","Q100","Q100"
"NC_073232.2","3",2434184,3,18,39,58.7988775704712,81,7914,64.9695019029354,177,291,"Q100","Q100","Q100"
"NC_073232.2","-1",2460994,3,15,39,58.1246837659905,78,5718,64.0237529906045,177,288,"Q100","Q100","Q100"
"NC_073232.2","-2",2461461,3,18,39,58.1131949683541,78,9342,63.8678210200588,177,288,"Q100","Q100","Q100"
"NC_073232.2","-3",2462306,3,15,39,58.09146547992,78,8175,64.1280933516805,177,288,"Q100","Q100","Q100"
"NC_073233.2","1",2412366,3,15,39,58.1371939415495,78,24453,67.836749605445,177,297,"Q100","Q100","Q100"
"NC_073233.2","2",2414488,3,15,39,58.0835829376663,78,24552,68.1945354358275,177,297,"Q100","Q100","Q100"
"NC_073233.2","3",2413955,3,15,39,58.0967752091485,78,24570,68.8788531382771,177,294,"Q100","Q100","Q100"
"NC_073233.2","-1",2429211,3,15,36,57.7147464752959,78,24564,69.7341110585923,177,297,"Q100","Q100","Q100"
"NC_073233.2","-2",2426100,3,15,39,57.7925188574255,78,24441,69.115105996351,177,294,"Q100","Q100","Q100"
"NC_073233.2","-3",2427431,3,15,39,57.7607561244789,78,24486,68.2328096759009,177,294,"Q100","Q100","Q100"
"NC_073234.2","1",2530559,3,18,39,57.7879966442197,81,7653,62.5643420216706,174,285,"Q100","Q100","Q100"
"NC_073234.2","2",2532929,3,18,39,57.7310872116826,81,8247,62.4392717276021,174,285,"Q100","Q100","Q100"
"NC_073234.2","3",2533799,3,18,39,57.7104170457088,81,8289,62.5822723668718,174,285,"Q100","Q100","Q100"
"NC_073234.2","-1",2597747,3,15,39,56.2152996423439,75,5256,61.236620240758,168,282,"Q100","Q100","Q100"
"NC_073234.2","-2",2601051,3,15,39,56.1388800142711,75,11787,61.7193852516099,165,282,"Q100","Q100","Q100"
"NC_073234.2","-3",2600138,3,15,39,56.160396486648,75,5376,61.4109208431824,165,282,"Q100","Q100","Q100"
"NC_073235.2","1",2547724,3,15,39,55.8106349039378,78,9459,60.3343001963419,165,273,"Q100","Q100","Q100"
"NC_073235.2","2",2546223,3,15,39,55.8452798517648,78,9408,60.8884700271606,168,273,"Q100","Q100","Q100"
"NC_073235.2","3",2549127,3,15,39,55.7778808195904,78,4953,59.8053193873919,165,273,"Q100","Q100","Q100"
