chr	start	end	length	zscore
NC_001646.1	3682	3891	209	-0.21868632524321907
NC_001646.1	4932	5331	399	-0.2182737876549915
NC_001646.1	6868	7013	145	-0.21882528527293782
NC_001646.1	7694	7810	116	-0.21888825153640415
NC_001646.1	8649	8651	2	-0.21913577408934068
NC_001646.1	9432	9503	71	-0.21898595780730012
NC_001646.1	9846	9914	68	-0.2189924715586932
NC_001646.1	11579	11780	201	-0.21870369524693392
NC_001646.1	13589	13595	6	-0.21912708908748324
NC_001646.1	14117	14190	73	-0.21898161530637142
NC_072373.2	63336	111933	48597	-0.11362385777398182
NC_072373.2	120076	121655	1579	-0.21571171210705195
NC_072373.2	123011	144365	21354	-0.17277523417442056
NC_072373.2	157306	225959	68653	-0.07007725846086653
NC_072373.2	230076	248342	18266	-0.17948005560835056
NC_072373.2	250223	260169	9946	-0.1975448594717889
NC_072373.2	261102	293391	32289	-0.14903261034669243
NC_072373.2	294340	304679	10339	-0.19669155803929717
NC_072373.2	305772	316622	10850	-0.19558204905201146
NC_072373.2	317570	352273	34703	-0.14379121172573808
NC_072373.2	353195	373404	20209	-0.1752613159561077
NC_072373.2	374358	389179	14821	-0.1869600134580555
NC_072373.2	390124	417069	26945	-0.1606357728282086
NC_072373.2	418017	434543	16526	-0.18325803141632926
NC_072373.2	435539	456308	20769	-0.17404541569606857
NC_072373.2	457256	472780	15524	-0.18543362438161354
NC_072373.2	473713	485406	11693	-0.19375168491055972
NC_072373.2	486378	496873	10495	-0.1963528429668577
NC_072373.2	497819	530624	32805	-0.14791224510708495
NC_072373.2	531578	550014	18436	-0.1791109430294101
NC_072373.2	550938	576097	25159	-0.16451362615754764
NC_072373.2	577057	600549	23492	-0.16813310068162837
NC_072373.2	601467	617310	15843	-0.1847409954834841
NC_072373.2	618246	640980	22734	-0.16977890853360988
NC_072373.2	641915	666129	24214	-0.16656545784636365
NC_072373.2	671871	727228	55357	-0.09894620463493818
NC_072373.2	728188	755460	27272	-0.1599257739263643
NC_072373.2	756391	798560	42169	-0.1275806557588594
NC_072373.2	799496	821641	22145	-0.1710577750571153
NC_072373.2	822586	843906	21320	-0.17284905669020867
NC_072373.2	844842	855478	10636	-0.19604669665138355
NC_072373.2	860635	875305	14670	-0.1872878722781732
NC_072373.2	876241	884940	8699	-0.2002524088008403
NC_072373.2	885876	899976	14100	-0.18852548504285588
NC_072373.2	900912	930063	29151	-0.1558459943038402
NC_072373.2	948093	954491	6398	-0.20524845611932246
NC_072373.2	955427	985904	30477	-0.1529669161881047
NC_072373.2	986867	1005095	18228	-0.17956256312599608
NC_072373.2	1006031	1032707	26676	-0.16121983920312025
NC_072373.2	1033643	1071774	38131	-0.1363481651339272
NC_072373.2	1122890	1138431	15541	-0.1853967131237195
NC_072373.2	1139396	1164735	25339	-0.16412280107396363
NC_072373.2	1165665	1214242	48577	-0.11366728278326893
NC_072373.2	1215184	1226514	11330	-0.1945398488291208
NC_072373.2	1227456	1239158	11702	-0.19373214365638053
NC_072373.2	1240082	1271916	31834	-0.15002052930797422
NC_072373.2	1272840	1310349	37509	-0.13769868292275636
NC_072373.2	1398072	1414656	16584	-0.18313209888939663
NC_072373.2	1415616	1460420	44804	-0.1218594107852825
NC_072373.2	1461320	1502098	40778	-0.130600865154778
NC_072373.2	1503058	1505578	2520	-0.21366856542009335
NC_072373.2	1537231	1632239	95008	-0.012853952472775525
NC_072373.2	1661404	1706033	44629	-0.12223937961654471
NC_072373.2	1706630	1751633	45003	-0.12142733194287574
