chr	start	end	length	zscore
NC_001644.1	3678	3889	211	-0.24820897632618427
NC_001644.1	4930	5321	391	-0.24773186235510616
NC_001644.1	6860	7003	143	-0.24838921938192488
NC_001644.1	7684	7784	100	-0.2485031966083491
NC_001644.1	8623	8625	2	-0.2487629586592694
NC_001644.1	9406	9477	71	-0.24858006497035612
NC_001644.1	9820	9888	68	-0.24858801686987408
NC_001644.1	11553	11755	202	-0.24823283202473817
NC_001644.1	13564	13570	6	-0.24875235612657878
NC_001644.1	14092	14165	73	-0.24857476370401083
NC_073249.2	39645	122417	82772	-0.02937005095852009
NC_073249.2	126915	186392	59477	-0.09111655071554504
NC_073249.2	195706	197290	1584	-0.24456965698012736
NC_073249.2	198646	221317	22671	-0.1886757552683272
NC_073249.2	234348	301136	66788	-0.07173777159025595
NC_073249.2	306680	336273	29593	-0.17032807244720136
NC_073249.2	337206	365163	27957	-0.1746645083176668
NC_073249.2	366111	376857	10746	-0.22028455585225176
NC_073249.2	377829	388879	11050	-0.21947876336776428
NC_073249.2	389827	425918	36091	-0.1531042580912817
NC_073249.2	426872	441153	14281	-0.21091456758691227
NC_073249.2	442098	466492	24394	-0.18410871431184067
NC_073249.2	467440	472295	4855	-0.2358994358723691
NC_073249.2	472604	495325	22721	-0.1885432236096944
NC_073249.2	496270	512226	15956	-0.20647475702271323
NC_073249.2	513179	532988	19809	-0.1962618674084691
NC_073249.2	533960	544545	10585	-0.2207113077930494
NC_073249.2	550135	580214	30079	-0.16903986472529045
NC_073249.2	581168	599897	18729	-0.19912455123493775
NC_073249.2	600821	624644	23823	-0.18562222585342733
NC_073249.2	625604	671795	46191	-0.1263328630474546
NC_073249.2	672731	701663	28932	-0.17208014097432706
NC_073249.2	702599	726825	24226	-0.1845540206848469
NC_073249.2	727761	755997	28236	-0.17392498166249573
NC_073249.2	756957	777753	20796	-0.19364569246705748
NC_073249.2	778713	811788	33075	-0.16109856774001263
NC_073249.2	812721	846494	33773	-0.15924842578549867
NC_073249.2	847430	868399	20969	-0.19318713292818795
NC_073249.2	869335	896500	27165	-0.17676380979041048
NC_073249.2	897434	920496	23062	-0.18763935769781864
NC_073249.2	921327	943060	21733	-0.19116204918427868
NC_073249.2	943996	958858	14862	-0.20937454971359906
NC_073249.2	959818	981346	21528	-0.1917054289846732
NC_073249.2	982282	1003465	21183	-0.19261989742923954
NC_073249.2	1004401	1019832	15431	-0.2078663394383577
NC_073249.2	1020768	1038584	17816	-0.2015445793215728
NC_073249.2	1039520	1051428	11908	-0.21720452010562533
NC_073249.2	1052364	1076484	24120	-0.18483498780114843
NC_073249.2	1077489	1093030	15541	-0.20757476978936554
NC_073249.2	1093966	1117626	23660	-0.18605427906057026
NC_073249.2	1118568	1130425	11857	-0.21733970239743078
NC_073249.2	1190418	1205904	15486	-0.20772055461386163
NC_073249.2	1206846	1214377	7531	-0.22880634150234128
NC_073249.2	1215157	1232503	17346	-0.20279037691272117
NC_073249.2	1233433	1272349	38916	-0.1456162193785281
NC_073249.2	1273381	1288038	14657	-0.20991792951399357
NC_073249.2	1291068	1324819	33751	-0.1593067397152971
NC_073249.2	1325758	1340308	14550	-0.21020154726346776
NC_073249.2	1341246	1351578	10332	-0.2213819179857314
NC_073249.2	1352502	1384967	32465	-0.1627154539753329
NC_073249.2	1385888	1437418	51530	-0.11218113253864345
NC_073249.2	1440638	1451477	10839	-0.22003804696719473
NC_073249.2	1452404	1468643	16239	-0.20572462783485154
NC_073249.2	1469594	1483539	13945	-0.21180518033292475
NC_073249.2	1532350	1564685	32335	-0.16306003628777818
NC_073249.2	1565567	1604626	39059	-0.14523717883483825
NC_073249.2	1605577	1608115	2538	-0.2420409529334134
NC_073249.2	1637624	1730225	92601	-0.003316977504482821
NC_073249.2	1759678	1803603	43925	-0.13233919781669345
NC_073249.2	1804674	1823202	18528	-0.19965732850264162
NC_073249.2	1823826	1850351	26525	-0.17846021502091042
NC_073249.2	1871009	1889242	18233	-0.20043926528857517
NC_073249.2	1922417	1947534	25117	-0.18219230652801027
NC_073249.2	1950281	1952130	1849	-0.2438672391893735
NC_073249.2	1955908	1977750	21842	-0.19087313016845914
NC_073249.2	2074044	2129598	55554	-0.10151498465187511
NC_073249.2	2221630	2222376	746	-0.24679088757881323
NC_073249.2	2324848	2334449	9601	-0.22331953083494305
NC_073249.2	2337802	2351545	13743	-0.21234060823380127
NC_073249.2	2394092	2460284	66192	-0.07331754896115901
NC_073249.2	2540790	2566149	25359	-0.18155085330022747
NC_073249.2	2591468	2624194	32726	-0.16202363871726963
NC_073249.2	3383287	3439877	56590	-0.09876892868500334
NC_073249.2	3992360	3992513	153	-0.24836271305019833
NC_073249.2	3993906	4026074	32168	-0.16350269202761178
NC_073249.2	4181814	4289230	107416	0.035952152948418
NC_073249.2	4299124	4310411	11287	-0.2188505633058448
NC_073249.2	4317886	4426236	108350	0.03842784433167884
NC_073249.2	4426821	4451438	24617	-0.18351762311433834
NC_073249.2	4504071	4517317	13246	-0.2136579729206114
NC_073249.2	4677600	4687296	9696	-0.22306772068354072
NC_073249.2	4729242	4749733	20491	-0.1944541355847176
NC_073249.2	4774124	5084786	310662	0.5746827427580893
NC_073249.2	5088727	5303261	214534	0.3198826771369992
NC_073249.2	5891447	5921486	30039	-0.1691458900521967
NC_073249.2	6019376	6629048	609672	1.3672485677140038
NC_073249.2	7062352	7091973	29621	-0.170253854718367
NC_073249.2	7095167	7146936	51769	-0.11154763121037863
NC_073249.2	7149780	7187154	37374	-0.14970349573076386
NC_073249.2	7188447	7258070	69623	-0.06422322654577578
NC_073249.2	7297132	7346316	49184	-0.11839951796169476
NC_073249.2	7494592	7506844	12252	-0.2162927022942316
NC_073249.2	7552542	7554801	2259	-0.24278047958858448
NC_073249.2	7614482	7627157	12675	-0.21517148446219805
NC_073249.2	7649009	7790533	141524	0.12635994920137386
NC_073249.2	8379577	8668272	288695	0.5164562838543517
NC_073249.2	8668776	8687583	18807	-0.19891780184747054
NC_073249.2	9078328	9156054	77726	-0.042745145947743014
NC_073249.2	9156612	9259694	103082	0.02446430877812626
NC_073249.2	9261464	10069870	808406	1.8940195006486507
NC_073249.2	10070332	10112490	42158	-0.13702286663277685
NC_073249.2	10112643	11060043	947400	2.262441607848819
NC_073249.2	11079784	11086260	6476	-0.2316027594994935
NC_073249.2	11091796	11233648	141852	0.1272293568820051
NC_073249.2	11234364	11270707	36343	-0.15243629853177235
NC_073249.2	11278910	11328902	49992	-0.1162578063581886
NC_073249.2	12115910	12147516	31606	-0.1649923478706445
NC_073249.2	12147756	12169551	21795	-0.19099770992757398
NC_073249.2	12170631	12256432	85801	-0.02134128307854462
NC_073249.2	12364652	12397396	32744	-0.16197592732016183
NC_073249.2	12500983	12582073	81090	-0.033828415954927735
NC_073249.2	12635217	12637953	2736	-0.2415161275652275
NC_073249.2	12660001	12704635	44634	-0.13045989889728024
NC_073249.2	12786966	12897462	110496	0.04411610312019893
NC_073249.2	12960996	12971362	10366	-0.2212917964578611
NC_073249.2	13036754	13114834	78080	-0.04180682180462274
NC_073249.2	13201201	13347919	146718	0.1401273379001499
NC_073249.2	13514864	13594436	79572	-0.03785207711101976
NC_073249.2	13626068	13673279	47211	-0.12362921721134534
NC_073249.2	13727942	13729382	1440	-0.24495134815698985
NC_073249.2	13805578	13849532	43954	-0.1322623294546864
NC_073249.2	13856752	13865100	8348	-0.2266407742002812
NC_073249.2	14024710	14032011	7301	-0.2294159871320522
NC_073249.2	14062554	14065544	2990	-0.24084286673937283
NC_073249.2	14082500	14591636	509136	1.1007645110678455
NC_073249.2	14593990	14669180	75190	-0.049467151673599004
NC_073249.2	14670929	14722113	51184	-0.11309825161638247
NC_073249.2	14809968	14817747	7779	-0.22814898447552254
NC_073249.2	14826366	14841606	15240	-0.20837261037433502
NC_073249.2	14843100	14876578	33478	-0.16003036257143222
NC_073249.2	15293814	15536661	242847	0.3949300541544127
NC_073249.2	15594158	15826963	232805	0.3683123958345996
NC_073249.2	15882693	15915680	32987	-0.16133182345920638
NC_073249.2	16223293	16229351	6058	-0.23271072416566377
NC_073249.2	16256822	16394729	137907	0.11677260901587659
NC_073249.2	16401074	16691477	290403	0.5209835653132484
NC_073249.2	16809588	17165381	355793	0.6943084684732339
NC_073249.2	17574960	17636682	61722	-0.085165879242932
NC_073249.2	17672725	17728079	55354	-0.10204511128640634
NC_073249.2	17728387	17782395	54008	-0.10561286353680151
NC_073249.2	17837736	17850777	13041	-0.2142013527210059
NC_073249.2	17865687	17866325	638	-0.2470771559614601
NC_073249.2	17868500	17925388	56888	-0.0979790399995518
NC_073249.2	17961565	17961802	237	-0.2481400598636952
NC_073249.2	17978704	17991997	13293	-0.21353339316149655
NC_073249.2	18044740	18165387	120647	0.07102268045583149
NC_073249.2	18185748	18209666	23918	-0.18537041570202498
NC_073249.2	18228087	18228345	258	-0.24808439656706943
NC_073249.2	18300369	18338361	37992	-0.14806540443006236
NC_073249.2	18366715	18411110	44395	-0.13109340022554505
NC_073249.2	18458902	18495520	36618	-0.1517073744092919
NC_073249.2	18503224	18512959	9735	-0.22296434598980713
NC_073249.2	18563694	18781721	218027	0.3291413388090871
NC_073249.2	18885249	18928939	43690	-0.13296209661226763
NC_073249.2	19141485	19552807	411322	0.841495477917657
NC_073249.2	19584349	19597400	13051	-0.21417484638927933
NC_073249.2	19617605	19653201	35596	-0.1544163215117465
NC_073249.2	19693625	19703615	9990	-0.22228843453077982
NC_073249.2	19770254	19779053	8799	-0.22544533863941327
NC_073249.2	19780655	19869879	89224	-0.01226816572854263
NC_073249.2	19887065	19909338	22273	-0.18973070727104435
NC_073249.2	19942188	20470016	527828	1.150310146331134
NC_073249.2	20478002	21113330	635328	1.43525321239167
NC_073249.2	21119883	21142028	22145	-0.19006998831714433
NC_073249.2	21142406	21148130	5724	-0.23359603564533094
NC_073249.2	21148508	21148820	312	-0.24794126237574599
NC_073249.2	21149210	21181240	32030	-0.1638684794054383
NC_073249.2	21181648	21191503	9855	-0.22264627000908838
NC_073249.2	21199040	21199998	958	-0.24622895334621012
NC_073249.2	21211666	21227227	15561	-0.20752175712591242
NC_073249.2	21393833	21431545	37712	-0.14880758171840608
NC_073249.2	21440860	21447582	6722	-0.2309507037390201
NC_073249.2	21448899	21457802	8903	-0.22516967278945704
NC_073249.2	21466346	21471674	5328	-0.23464568638170277
NC_073249.2	21471881	21498202	26321	-0.17900094418813225
NC_073249.2	21499701	21503233	3532	-0.2394062235597932
NC_073249.2	21505316	21508446	3130	-0.24047177809520098
NC_073249.2	21523162	21534241	11079	-0.21940189500575727
NC_073249.2	21536269	21547239	10970	-0.21969081402157678
NC_073249.2	21599188	21634816	35628	-0.1543315012502215
NC_073249.2	21636478	21658170	21692	-0.19127072514435756
NC_073249.2	21684837	21759668	74831	-0.05041872898258256
NC_073249.2	21789771	21825498	35727	-0.15406908856612855
NC_073249.2	21873778	21921312	47534	-0.12277306269657741
NC_073249.2	21980933	22219685	238752	0.38407571131238577
NC_073249.2	22545841	22553359	7518	-0.2288407997335858
NC_073249.2	22578807	22644834	66027	-0.07375490343464727
NC_073249.2	22658450	22801548	143098	0.13053204581513464
NC_073249.2	22904650	23131361	226711	0.3521594372804331
NC_073249.2	23177719	23228910	51191	-0.11307969718417388
NC_073249.2	23307077	23313748	6671	-0.23108588603082555
NC_073249.2	23315879	23352897	37018	-0.15064712114022946
NC_073249.2	23390873	23466268	75395	-0.04892377187320449
NC_073249.2	23473371	23538057	64686	-0.07730940251917917
NC_073249.2	23552168	23596177	44009	-0.13211654463019032
NC_073249.2	23599884	23613460	13576	-0.21278326397363487
NC_073249.2	23617119	23648775	31656	-0.1648598162120117
NC_073249.2	23651112	23660270	9158	-0.22449376133042973
NC_073249.2	23690842	23692540	1698	-0.24426748479844457
NC_073249.2	23709049	23748449	39400	-0.1443333129229625
NC_073249.2	23759839	23884334	124495	0.08122231690421235
NC_073249.2	24034327	24108083	73756	-0.053268159643187915
NC_073249.2	24128849	24132868	4019	-0.23811536520470966
NC_073249.2	24573418	24753227	179809	0.22783944021651448
NC_073249.2	25092566	25093555	989	-0.24614678371785778
NC_073249.2	25137794	25151460	13666	-0.2125447069880958
NC_073249.2	25170370	25198351	27981	-0.17460089312152305
NC_073249.2	25300670	25335476	34806	-0.15651032171814486
NC_073249.2	25344519	25352160	7641	-0.2285147718533491
NC_073249.2	25352388	25370080	17692	-0.20187325783498217
NC_073249.2	25408850	25522572	113722	0.05266704573518766
NC_073249.2	25587204	25593251	6047	-0.232739881130563
NC_073249.2	25655576	25702860	47284	-0.12343572098974145
NC_073249.2	25776155	25917316	141161	0.12539776935969968
NC_073249.2	25919185	25948244	29059	-0.17174351056139972
NC_073249.2	26090115	26199154	109039	0.04025413058763893
NC_073249.2	26204627	26312846	108219	0.038080611386060885
NC_073249.2	26503800	26571089	67289	-0.07040980437075522
NC_073249.2	26574608	26588522	13914	-0.2118873499612771
NC_073249.2	26607984	26608940	956	-0.24623425461255544
NC_073249.2	26651200	26655491	4291	-0.2373943929817472
NC_073249.2	26703273	26732481	29208	-0.17134856621867398
NC_073249.2	26762387	26773007	10620	-0.22061853563200642
NC_073249.2	26798394	26841394	43000	-0.13479103350140037
NC_073249.2	26842015	26873790	31775	-0.16454439086446562
NC_073249.2	26874387	26881233	6846	-0.23062202522561073
NC_073249.2	26881830	26888676	6846	-0.23062202522561073
NC_073249.2	26889273	27665835	776562	1.8096127378985882
NC_073249.2	27703131	28515108	811977	1.9034849117082058
NC_073249.2	28519975	28586779	66804	-0.07169536145949346
NC_073249.2	28613208	28618256	5048	-0.2353878636700465
NC_073249.2	28651574	28703362	51788	-0.11149726918009815
NC_073249.2	28709876	28737518	27642	-0.1754994577670535
NC_073249.2	28871069	29093804	222735	0.34162051978595226
NC_073249.2	29096216	29143881	47665	-0.12242582975095946
NC_073249.2	29262521	29265754	3233	-0.2401987628784174
NC_073249.2	29318880	29333336	14456	-0.21045070678169744
NC_073249.2	29355628	29368015	12387	-0.21593486681592303
NC_073249.2	29448324	29457766	9442	-0.22374098150939536
NC_073249.2	29500935	29791094	290159	0.5203368108191203
NC_073249.2	29793506	30193702	400196	0.8120045332386847
NC_073249.2	30231202	30965369	734167	1.6972391445438308
NC_073249.2	31059710	31075319	15609	-0.2073945267336249
NC_073249.2	31121333	31540247	418914	0.8616190849644625
NC_073249.2	31762851	31763258	407	-0.24768945222434366
NC_073249.2	31960868	32677471	716603	1.6506834234992984
NC_073249.2	32898156	32982566	84410	-0.025028313821709322
NC_073249.2	33778776	33783928	5152	-0.23511219782009024
NC_073249.2	33836931	34170558	333627	0.6355545335681377
NC_073249.2	34322186	34739485	417299	0.8573383123906229
NC_073249.2	34789285	34794165	4880	-0.2358331700430527
NC_073249.2	34797325	34919727	122402	0.07567454167384302
NC_073249.2	34920306	34938314	18008	-0.20103565775242282
NC_073249.2	35044324	35065449	21125	-0.1927736341532536
NC_073249.2	35120959	35366448	245489	0.40193302699657024
NC_073249.2	35405662	36137599	731937	1.6913282325688077
NC_073249.2	36348743	36392986	44243	-0.1314962964677888
NC_073249.2	36413574	36420034	6460	-0.231645169630256
NC_073249.2	36457077	36508357	51280	-0.11284379083180748
NC_073249.2	36545115	36565960	20845	-0.19351581144159732
NC_073249.2	36571909	36586967	15058	-0.20885502561175845
NC_073249.2	36661539	36700019	38480	-0.14677189544180616
NC_073249.2	36714551	36776240	61689	-0.08525335013762965
NC_073249.2	36778022	36783379	5357	-0.23456881801969573
NC_073249.2	36787903	36959913	172010	0.20716715210296918
NC_073249.2	36972973	36990915	17942	-0.2012105995418181
NC_073249.2	37041387	37045832	4445	-0.23698619547315813
NC_073249.2	37116641	37300933	184292	0.23972222872953197
NC_073249.2	37367242	37367695	453	-0.2475675230984015
NC_073249.2	37461544	37572493	110949	0.04531683994741217
NC_073249.2	37653964	37727640	73676	-0.05348021029700041
NC_073249.2	37744434	37824522	80088	-0.036484350393929194
NC_073249.2	37827738	37922116	94378	0.0013931976433271525
NC_073249.2	37924518	37966025	41507	-0.138748428828176
NC_073249.2	38016074	38035072	18998	-0.19841153091149322
NC_073249.2	38081030	38093957	12927	-0.2145035249026887
NC_073249.2	38148699	38200968	52269	-0.11022231462405055
NC_073249.2	38201625	38275008	73383	-0.05425684581658866
NC_073249.2	38736643	38741336	4693	-0.23632883844633942
NC_073249.2	39085620	39172191	86571	-0.01930029553559939
NC_073249.2	39176585	39180679	4094	-0.23791656771676045
NC_073249.2	39182353	39245805	63452	-0.08058028385423686
NC_073249.2	39469107	39549983	80876	-0.03439565145387615
NC_073249.2	39573392	39599997	26605	-0.17824816436709792
NC_073249.2	39612940	39617756	4816	-0.2360028105661027
NC_073249.2	39618563	39619244	681	-0.24696317873503587
NC_073249.2	39641130	39666727	25597	-0.18092000260513533
NC_073249.2	39696296	39725222	28926	-0.172096044773363
NC_073249.2	39725531	39750257	24726	-0.18322870409851882
NC_073249.2	39785889	39788290	2401	-0.2424040896780673
NC_073249.2	39806153	40134268	328115	0.6209442435204571
NC_073249.2	40134586	40227278	92692	-0.0030757698857711117
NC_073249.2	40227731	41130059	902328	2.142972269490861
NC_073249.2	41372268	41488540	116272	0.059426160325460844
NC_073249.2	41511857	41583447	71590	-0.05900943109516113
NC_073249.2	41647378	41674421	27043	-0.17708718703747453
NC_073249.2	41753462	41759161	5699	-0.23366230147464734
NC_073249.2	41883126	41893871	10745	-0.2202872064854244
NC_073249.2	41915604	42016207	100603	0.01789338914311167
NC_073249.2	42054128	42190951	136823	0.11389932265671733
NC_073249.2	42213473	42230224	16751	-0.2043675036504516
NC_073249.2	42261845	42274927	13082	-0.214092676760927
NC_073249.2	42285405	42295926	10521	-0.2208809483160994
NC_073249.2	42320252	42322740	2488	-0.2421734845920462
NC_073249.2	42353015	42403524	50509	-0.11488742900792537
