clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_AAC	codon_TAC	codon_CTA	codon_ACC	codon_TAT	codon_CAC	codon_CGC	codon_CAT	codon_CTG	codon_GAA	codon_GGG	codon_AAT	codon_ATC	codon_TGC	codon_GTC	codon_TGT	codon_ATG	codon_AAG	codon_ATA	codon_TCT	codon_ACA	codon_ACG	codon_CCA	codon_GTA	codon_TTA	codon_AGA	codon_TGG	codon_AAA	codon_GGA	codon_GCT	codon_CGT	codon_TTG	codon_TCG	codon_ACT	codon_TAA	codon_CCC	codon_GCC	codon_GCA	codon_CCG	codon_TGA	codon_CAA	codon_ATT	codon_AGT	codon_CAG	codon_CTC	codon_TCC	codon_TTC	codon_CGG	codon_GGT	codon_CTT	codon_CGA	codon_TCA	codon_GAG	codon_TTT	codon_GGC	codon_AGC	codon_GAT	codon_AGG	codon_GAC	codon_GTT	codon_GTG	codon_GCG	codon_TAG
NC_073228.2	3::NC_073228.2:3980-11498	7518	False	0.4969	0	48.0	50.0	2.0	1178.0	1176.0	4.0	1.0	1.0	5.0	2.0	3.0	1.0	2.0	4.0	2.0	1.0	1.0	1.0	1.0	2.0	4.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0																														
NC_073228.2	-3::NC_073228.2:4266-11361	7095	False	0.4996	0		1.0	1.0		2.0	1.0								2.0			1.0	2.0		1.0	1.0									1.0					1.0	1174.0	1174.0	1.0	1.0	1.0																								
NC_073228.2	2::NC_073228.2:4267-11338	7071	False	0.4998	0	1175.0	1174.0		1.0																1.0	2.0	1.0		1.0	1.0															1.0																								
NC_073228.2	-2::NC_073228.2:4270-11449	7179	False	0.4976	0	1175.0	1175.0	1.0			3.0	1.0		1.0	2.0	3.0		1.0	2.0			1.0	1.0	1.0	2.0	4.0	4.0		2.0	2.0			2.0	1.0	1.0		1.0	1.0			1.0		1.0		1.0	1.0	1.0	1.0																					
NC_073228.2	1::NC_073228.2:11802057-11808867	6810	False	0.6634	0	444.0		1.0	2.0			3.0	1.0	3.0	16.0	1.0		1.0		15.0	82.0	2.0		1.0		148.0		4.0	4.0		1.0	1.0	2.0	1.0	1.0	1.0	108.0					125.0	4.0		23.0		2.0	2.0	1.0	1.0	863.0	392.0	1.0	3.0	3.0	1.0	2.0	2.0	1.0	1.0									
NC_073228.2	-1::NC_073228.2:11802074-11808839	6765	False	0.6653	0	322.0				1.0		4.0			15.0	1.0		1.0		1.0	27.0		2.0			558.0	2.0	3.0	5.0	1.0			1.0				78.0			2.0	1.0	435.0	14.0		111.0						511.0	145.0	1.0	3.0	4.0	1.0	1.0				1.0	2.0	1.0						
NC_073228.2	-3::NC_073228.2:11802078-11808807	6729	False	0.6661	0	441.0		1.0				3.0	1.0	2.0	14.0	1.0				14.0	82.0	1.0		1.0		146.0		4.0	4.0				1.0	1.0	1.0	1.0	108.0					124.0	3.0		23.0			1.0		1.0	862.0	392.0	1.0	3.0	3.0	1.0	2.0												
NC_073228.2	2::NC_073228.2:11802079-11808826	6747	False	0.6659	0	121.0	2.0	1.0				4.0		1.0	2.0				2.0	13.0	112.0	1.0		1.0		404.0		3.0	4.0		1.0	1.0				1.0	23.0			1.0		316.0	15.0		79.0						587.0	541.0		4.0	4.0				1.0	1.0			1.0	1.0	1.0				
NC_073228.2	-2::NC_073228.2:11802082-11808874	6792	False	0.6646	0	121.0	3.0	1.0				4.0		2.0	3.0	1.0		1.0	2.0	14.0	112.0	1.0		1.0		404.0		3.0	4.0			1.0			1.0	1.0	23.0			1.0		316.0	15.0		80.0	1.0			1.0		588.0	542.0	1.0	4.0	4.0				1.0	2.0			2.0	1.0	1.0	1.0			
NC_073228.2	3::NC_073228.2:11802083-11808896	6813	False	0.6637	0	322.0		1.0		2.0		4.0			15.0	1.0				2.0	28.0		4.0			557.0	3.0	3.0	5.0	1.0			1.0	1.0			78.0	1.0		2.0		435.0	14.0		111.0			2.0	1.0		512.0	146.0	1.0	3.0	4.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0			1.0			
