chr	start	end	length	zscore
NC_072373.2	10254902	11294320	1039418	2.037696698569267
NC_072373.2	40008376	41223692	1215316	2.419615312748483
NC_072373.2	49494243	50806201	1311958	2.6294493001247337
NC_072373.2	53313737	56402355	3088618	6.4870231501266975
NC_072373.2	57520785	59245978	1725193	3.526685985762707
NC_072373.2	59605299	62795379	3190080	6.707322564741142
NC_072373.2	85571752	86791487	1219735	2.42921006855047
NC_072373.2	101060800	106482045	5421245	11.551740607045035
NC_072373.2	122651244	123856842	1205598	2.3985151007358754
NC_072373.2	123858706	125694482	1835776	3.766789375862539
NC_072373.2	133499530	134835848	1336318	2.6823409614364353
NC_072373.2	141379360	142731756	1352396	2.717250326402344
NC_072373.2	146278171	148146885	1868714	3.838306023657483
NC_072373.2	148301652	150987779	2686127	5.613114379477761
NC_072373.2	156158499	157963973	1805474	3.7009961442916364
NC_072373.2	160697564	161789400	1091836	2.151509305409857
NC_072373.2	171831231	173043828	1212597	2.4137116827359
NC_072373.2	173842968	175206752	1363784	2.7419765266904257
NC_072373.2	200095710	201504264	1408554	2.8391834099796243
NC_072373.2	225357596	226466798	1109202	2.189215240973856
NC_072376.2	10391593	12338622	1947029	4.008347503773489
NC_072376.2	12620236	14007165	1386929	2.792230118687935
NC_072376.2	17067062	18904708	1837646	3.770849614230884
NC_072376.2	26136693	29625894	3489201	7.356789174889644
NC_072376.2	30382758	35416511	5033753	10.710398422110968
NC_072376.2	42457680	43634701	1177021	2.3364672762159864
NC_072376.2	44186484	45539943	1353459	2.719558365645954
NC_072376.2	49707625	51569835	1862210	3.824184210637314
NC_072376.2	52967961	55227935	2259974	4.687829480341242
NC_072376.2	55822450	60156291	4333841	9.190714167102932
NC_072376.2	61327380	64067322	2739942	5.729960223217056
NC_072376.2	68790025	79975174	11185149	24.066619843545954
NC_072376.2	108338254	109423982	1085728	2.138247307573573
NC_072376.2	123445851	124640081	1194230	2.3738323254570814
NC_072376.2	128028618	130019521	1990903	4.1036089466466255
NC_072376.2	138126629	140276697	2150068	4.4491960268057795
NC_072376.2	141779786	145906309	4126523	8.740574863333665
NC_072376.2	147778780	150458750	2679970	5.5997459903687234
NC_072376.2	172429718	174458065	2028347	4.1849092490339554
NC_072376.2	175180035	176216534	1036499	2.031358818463813
NC_072376.2	183303543	185080245	1776702	3.6385249259311983
NC_072376.2	191378819	195712437	4333618	9.190229978249382
