clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_GGG	codon_GTT	codon_AGG	codon_GGT	codon_TAG	codon_TTA	codon_GTA	codon_ACC	codon_TAA	codon_CCC	codon_CCT	codon_AAC	codon_CTA	codon_AGC	codon_TTT	codon_GCC	codon_CCG	codon_AAG	codon_CGT	codon_TAC	codon_CAA	codon_TGG	codon_TTG	codon_GCA	codon_TGA	codon_AGA	codon_TCT	codon_CGA	codon_GAC	codon_CAC	codon_AGT	codon_GGA	codon_CAG	codon_GAG	codon_AAT	codon_ATG	codon_GCG	codon_ACG	codon_TGC	codon_GGC	codon_ACA	codon_GAT	codon_GCT	codon_TCG	codon_AAA	codon_ATC	codon_GTC	codon_CTG	codon_CGG	codon_TTC	codon_TGT	codon_GAA	codon_CCA	codon_CGC	codon_GTG	codon_TCA	codon_TCC	codon_ACT	codon_TAT	codon_ATA	codon_CTC	codon_CTT	codon_ATT	codon_CAT
NC_072427.2	-2::NC_072427.2:161694177-161704566	10389	False	0.5002	0	1.0	244.0	245.0	1487.0	1486.0																																																											
NC_072427.2	2::NC_072427.2:161694178-161704567	10389	False	0.5001	0	245.0	1486.0	1486.0	1.0		244.0	1.0																																																									
NC_072427.2	-1::NC_072427.2:161694184-161703109	8925	False	0.5003	0	2.0	1486.0	1486.0				1.0																																																									
NC_072427.2	3::NC_072427.2:161694185-161703104	8919	False	0.5002	0	1487.0					1486.0																																																										
NC_072434.2	-2::NC_072434.2:1669-9376	7707	False	0.5001	0								1.0	1062.0	1062.0	222.0	222.0																																																				
NC_072434.2	3::NC_072434.2:1670-9377	7707	False	0.5002	1								222.0		1.0	1062.0	1062.0	222.0																																																			
NC_072426.2	-1::NC_072426.2:0-8665	8665	False	0.5001	0								1444.0					1444.0																																																			
NC_072426.2	-3::NC_072426.2:0-8720	8720	False	0.501	0								1444.0		7.0	2.0	8.0	1444.0	1.0																																																		
NC_072426.2	1::NC_072426.2:0-8721	8721	False	0.5011	0								1444.0		8.0	2.0	8.0	1444.0	1.0																																																		
NC_072426.2	3::NC_072426.2:2-8666	8664	False	0.5001	0										1.0	1443.0	1444.0																																																				
NC_072426.2	-1::NC_072426.2:167239072-167250001	10929	False	0.5	0	1.0	168.0	167.0	1653.0	1654.0																																																											
NC_072426.2	3::NC_072426.2:167239073-167250002	10929	False	0.5	0	167.0	1653.0	1654.0	1.0		167.0									1.0																																																	
NC_072426.2	-3::NC_072426.2:167239211-167249138	9927	False	0.5001	0	1.0	1653.0	1654.0												1.0																																																	
NC_072426.2	1::NC_072426.2:167239212-167249139	9927	False	0.4999	0	1653.0			2.0		1654.0																																																										
NC_072430.2	-1::NC_072430.2:674-10388	9714	False	0.5	0								2.0	1612.0	1598.0	7.0	6.0				12.0	1.0																																															
NC_072430.2	1::NC_072430.2:675-10389	9714	False	0.5001	0								6.0		1.0	1611.0	1600.0	7.0					12.0	1.0																																													
