chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_072423.2	100226592	100227222	1	1	+	NC_072423.2	100226593	100227015	OSBPL5	XM_055271577.2	+	1	2	1	207	3	4	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	80	101	2
NC_072423.2	100446538	100447123	2	1	+	NC_072423.2	100446767	100447123	CDKN1C	XM_055271736.2	+	2	2	229	0	2	3	4	2	2	middle	last	0.500	0.500	alternative	alternative	135	133	2
NC_072423.2	100917509	100918727	3	1	+	NC_072423.2	100917753	100918316	TRPM5	XM_055271817.2	+	3	2	244	411	9	10	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	350	140	1
NC_072423.2	101415142	101415472	-1	1	-	NC_072423.2	101415176	101415466	TNNT3	XM_055272022.2	-	1	2	6	34	3	4	18	4	18	middle	middle	0.222	1.000	alternative	constitutive	116	77	4
NC_072423.2	101415142	101415472	-1	1	-	NC_072423.2	101415176	101415433	TNNT3	XM_055272055.1	-	1	2	39	34	1	2	18	14	18	first	middle	0.778	1.000	alternative	constitutive	83	77	14
NC_072423.2	101439777	101440224	-2	1	-	NC_072423.2	101439778	101440101	LSP1	XM_055272183.2	-	2	2	123	1	9	10	3	3	3	middle	last	1.000	1.000	constitutive	constitutive	77	86	3
NC_072423.2	101442962	101443415	-3	1	-	NC_072423.2	101443024	101443415	LSP1	XM_055272183.2	-	3	2	0	62	5	6	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	92	43	3
NC_072423.2	101490000	101490825	-2	1	-	NC_072423.2	101490469	101490804	SYT8	XM_055294575.2	-	2	2	21	469	7	8	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	105	133	4
NC_072423.2	101683498	101684725	2	1	+	NC_072423.2	101683547	101684573	LOC129488847	XM_055291375.1	+	2	2	49	152	2	3	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	562	184	1
NC_072423.2	101692719	101693475	-2	1	-	NC_072423.2	101692720	101693247	LOC129488854	XM_063638964.1	-	2	2	228	1	3	4	1	1	1	middle	last	1.000	1.000	constitutive	constitutive	72	409	1
NC_072423.2	101830743	101831262	1	1	+	NC_072423.2	101830770	101831261	MOB2	XM_055272261.2	+	1	2	27	1	3	4	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	160	93	4
NC_072423.2	101854415	101855078	-3	1	-	NC_072423.2	101854526	101854865	BRSK2	XM_055272307.2	-	3	2	213	111	17	18	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	180	89	5
NC_072423.2	101868353	101868794	-3	1	-	NC_072423.2	101868414	101868711	BRSK2	XM_055272307.2	-	3	2	83	61	6	7	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	33	68	5
NC_072423.2	102043265	102043685	-3	1	-	NC_072423.2	102043329	102043658	MUC5B	XM_063636159.1	-	3	2	27	64	48	49	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	86	122	1
NC_072423.2	102051116	102061079	-3	1	-	NC_072423.2	102051122	102061027	MUC5B	XM_063636159.1	-	3	4	52	6	31	34	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	1970	2400	1
NC_072423.2	107730739	107731252	2	1	+	NC_072423.2	107730851	107731154	TKT	XM_055274364.2	+	2	2	112	98	12	13	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	83	93	2
NC_072423.2	108141349	108141967	2	1	+	NC_072423.2	108141380	108141941	ITIH4	XM_055274098.2	+	2	2	31	26	7	8	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	116	168	4
NC_072423.2	108163674	108164169	-2	1	-	NC_072423.2	108163676	108164148	ITIH3	XM_055274183.2	-	2	2	21	2	12	13	6	5	5	middle	middle	0.833	0.833	alternative	alternative	185	139	4
NC_072423.2	108163674	108164169	-2	1	-	NC_072423.2	108163786	108164148	ITIH3	XM_055274197.2	-	2	2	21	112	12	13	6	5	1	middle	middle	0.833	0.167	alternative	unique	185	29	1
NC_072423.2	108163674	108164169	-2	1	-	NC_072423.2	108163676	108163815	ITIH3	XM_063645918.1	-	2	1	354	2	12	12	6	5	5	middle	middle	0.833	0.833	alternative	alternative	139	139	1
NC_072423.2	108441424	108441775	2	1	+	NC_072423.2	108441530	108441774	NT5DC2	XM_055274386.2	+	2	2	106	1	7	8	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	60	102	5
NC_072423.2	108445818	108446235	-2	1	-	NC_072423.2	108445825	108446154	STAB1	XM_055273887.2	-	2	2	81	7	65	66	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	149	104	1
NC_072423.2	108448866	108449505	-2	1	-	NC_072423.2	108449032	108449376	STAB1	XM_055273887.2	-	2	2	129	166	52	53	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	86	149	1
NC_072423.2	108453065	108453539	-3	1	-	NC_072423.2	108453128	108453536	STAB1	XM_055273887.2	-	3	2	3	63	38	39	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	195	95	1
NC_072423.2	108463501	108464170	-1	1	-	NC_072423.2	108463580	108464149	STAB1	XM_055273887.2	-	1	2	21	79	15	17	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	113	80	1
NC_072423.2	108464551	108465139	-1	1	-	NC_072423.2	108464675	108465079	STAB1	XM_055273887.2	-	1	2	60	124	12	13	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	137	140	1
NC_072423.2	108517786	108518167	2	1	+	NC_072423.2	108517918	108518167	TNNC1	XM_055274602.2	+	2	2	132	0	5	6	1	1	1	middle	last	1.000	1.000	constitutive	constitutive	136	28	1
NC_072423.2	108560995	108561280	2	1	+	NC_072423.2	108561090	108561279	BAP1	XM_055274684.2	+	2	2	95	1	2	3	8	8	8	middle	middle	1.000	1.000	constitutive	constitutive	29	54	8
NC_072423.2	108578112	108578769	-2	1	-	NC_072423.2	108578151	108578701	DNAH1	XM_055274669.2	-	2	2	68	39	64	65	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	225	195	1
NC_072423.2	108617910	108618927	-2	1	-	NC_072423.2	108618046	108618576	DNAH1	XM_055274669.2	-	2	2	351	136	19	20	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	198	253	1
NC_072423.2	108742605	108743160	1	1	+	NC_072423.2	108742678	108743088	TWF2	XM_055274857.2	+	1	2	73	72	7	8	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	150	121	1
NC_072423.2	108981793	108982309	-1	1	-	NC_072423.2	108981794	108982100	ACY1	XM_055274914.2	-	1	2	209	1	13	14	4	4	4	middle	last	1.000	1.000	constitutive	constitutive	60	161	4
NC_072423.2	109010551	109011547	2	1	+	NC_072423.2	109010681	109011430	PCBP4	XM_055275116.2	+	2	2	130	117	4	6	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	116	128	4
NC_072423.2	109034695	109035193	2	1	+	NC_072423.2	109034850	109035148	RRP9	XM_055275176.2	+	2	2	155	45	7	8	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	124	92	1
NC_072423.2	109037561	109037867	3	1	+	NC_072423.2	109037595	109037867	RRP9	XM_055275176.2	+	3	2	34	0	14	15	1	1	1	middle	last	1.000	1.000	constitutive	constitutive	73	90	1
NC_072423.2	109594515	109595211	-2	1	-	NC_072423.2	109594654	109595060	DOCK3	XM_055275626.2	-	2	2	151	139	42	43	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	166	86	7
