clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_GTG	codon_CTG	codon_AAT	codon_GCA	codon_TTT	codon_GCT	codon_CCA	codon_CCC	codon_TCG	codon_ATC	codon_CAT	codon_CTC	codon_AGT	codon_TTG	codon_TCT	codon_CAC	codon_TCC	codon_ACC	codon_ACT	codon_ACA	codon_GTC	codon_GTT	codon_AGC	codon_ACG	codon_AAC	codon_GCC	codon_TTC	codon_CCT	codon_CTA	codon_TCA	codon_CTT	codon_CGA	codon_CAA	codon_CCG	codon_TAC	codon_CAG	codon_GAT	codon_TGC	codon_TGT	codon_TAT	codon_CGC	codon_AAA	codon_GAC	codon_GAA	codon_ATA	codon_AGG	codon_GGT	codon_ATG	codon_TGG	codon_ATT	codon_GTA	codon_AGA	codon_GGG	codon_GGC	codon_TTA	codon_GGA	codon_AAG	codon_GAG	codon_CGG	codon_GCG	codon_CGT
NC_060945.1	-2::NC_060945.1:41607447-41617941(-)	10494	False	0.5876	0	1.0	1.0	4.0	9.0	8.0	3.0	941.0	96.0	4.0	121.0	108.0	121.0	3.0	3.0	3.0	604.0	95.0	541.0	124.0	10.0	4.0	1.0	7.0	2.0	12.0	8.0	66.0	124.0	91.0	241.0	59.0	2.0	2.0	1.0	48.0	6.0	1.0	4.0	4.0	6.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0														
NC_060945.1	-3::NC_060945.1:41607470-41617934(-)	10464	False	0.5879	0	1.0	8.0	1.0	8.0	4.0	1.0	558.0	106.0	3.0	109.0	164.0	70.0		1.0		1019.0	142.0	539.0	113.0	12.0	2.0	3.0	4.0	1.0	2.0	5.0	62.0	74.0	62.0	167.0	113.0	3.0	9.0	1.0	91.0	9.0	1.0	1.0			4.0	1.0	1.0		2.0			3.0	1.0	5.0	1.0	1.0									
NC_060945.1	-1::NC_060945.1:41607535-41617975(-)	10440	False	0.5884	0	1.0	5.0		5.0	3.0	1.0	555.0	160.0	1.0	163.0	114.0	60.0	2.0	2.0	1.0	607.0	85.0	911.0	197.0	3.0			9.0	2.0	7.0	5.0	119.0	73.0	49.0	156.0	71.0	1.0	9.0	2.0	61.0	9.0	2.0	5.0	5.0	4.0	4.0	3.0	1.0	1.0						2.0			1.0	1.0	2.0						
NC_060931.1	3::NC_060931.1:159805334-159822644(+)	17310	False	0.5444	1	124.0	19.0		3.0	1.0	10.0		1.0			3.0		381.0		1.0	1.0	1.0			1.0		25.0		1.0			1.0	1.0		1.0	2.0				4.0	2.0	539.0	2.0	16.0	349.0		4.0	4.0	5.0			3418.0	29.0	6.0		5.0	367.0	6.0	3.0	14.0	379.0	12.0	28.0	1.0		
NC_060931.1	1::NC_060931.1:159806178-159822525(+)	16347	False	0.5438	0	2675.0	7.0											1.0	6.0								365.0	1.0	6.0											1.0									1.0			4.0	884.0	3.0		743.0		1.0		3.0		4.0	742.0		2.0	
NC_060931.1	-2::NC_060931.1:159806198-159822557(-)	16359	False	0.5438	0					2.0		3.0			536.0	1.0	2.0			367.0	4.0	376.0	3391.0	378.0	14.0	3.0		7.0		9.0	2.0	3.0							1.0	1.0	1.0			1.0						348.0						3.0										
NC_060931.1	-1::NC_060931.1:159806340-159822717(-)	16377	False	0.5434	0	2.0	2.0	2.0	2.0		2.0	6.0	1.0			880.0	737.0	2.0			2656.0				3.0		1.0	2.0		363.0	2.0	1.0	3.0	1.0	2.0	4.0		5.0		743.0	5.0	2.0	2.0	1.0	1.0	1.0	3.0		1.0				1.0	1.0	1.0		1.0	3.0	2.0	1.0	2.0	1.0	2.0			6.0
NC_060938.1	3::NC_060938.1:99472982-99484097(+)	11115	False	0.6759	1	1.0	219.0		108.0				2.0		111.0	1.0	1.0				217.0		110.0	109.0	3.0	215.0		217.0			217.0		217.0		109.0			216.0	106.0		218.0					109.0		108.0						108.0		109.0	110.0	218.0	110.0		110.0		217.0		109.0	
NC_060947.1	1::NC_060947.1:7722645-7734708(+)	12063	False	0.6604	1	2.0	2.0	2.0	1.0	2.0		181.0	616.0		3.0	1.0	670.0		1.0	123.0	464.0	575.0	197.0	5.0	256.0	2.0		1.0	2.0	1.0	1.0	145.0	608.0	1.0	14.0	122.0		1.0	1.0		1.0			2.0	2.0	1.0		1.0	1.0		1.0		1.0	2.0	2.0		3.0		2.0		2.0					
NC_060947.1	2::NC_060947.1:7722679-7734679(+)	12000	False	0.6609	1	1.0			1.0			214.0	587.0				608.0			145.0	450.0	662.0	227.0	3.0	235.0	1.0			1.0	2.0		123.0	587.0		12.0	122.0		2.0					1.0			1.0		1.0	1.0					2.0	3.0		1.0			3.0			2.0	1.0		1.0
NC_060944.1	1::NC_060944.1:1893108-1907463(+)	14355	False	0.6485	1	203.0	215.0	1.0	3.0	2.0	3.0	336.0	1160.0	1.0	409.0	284.0	6.0	1.0	2.0	4.0	52.0	617.0	62.0	2.0	4.0	202.0		3.0		3.0	3.0	6.0	213.0		4.0	6.0			130.0	1.0	6.0		5.0	405.0	135.0			2.0	1.0	2.0	1.0	2.0	2.0	2.0		138.0	2.0	2.0	3.0	2.0		1.0	3.0			133.0
