chr	start	end	length	zscore
NC_071985.2	5988538	6548103	559565	3.7252641381759526
NC_071985.2	9190150	10191033	1000883	6.743750646809424
NC_071985.2	10312264	11345541	1033277	6.965316166368274
NC_071985.2	14211154	14665650	454496	3.006622797973173
NC_071985.2	16915767	17271702	355935	2.3324942811725355
NC_071985.2	19256095	19679032	422937	2.79076843507394
NC_071985.2	20081812	20599460	517648	3.4385640738631684
NC_071985.2	20607437	21115793	508356	3.375009501789919
NC_071985.2	26926539	27662404	735865	4.931104759841239
NC_071985.2	27699677	28072483	372806	2.447887004531101
NC_071985.2	28074729	28532689	457960	3.0303155484748663
NC_071985.2	29509106	30214123	705017	4.720113429738399
NC_071985.2	30251706	30981865	730159	4.892077382715759
NC_071985.2	31142834	31574995	432161	2.8538579069641306
NC_071985.2	32000169	32719264	719095	4.816402847048687
NC_071985.2	33875060	34210021	334961	2.1890382335332403
NC_071985.2	35441635	36146517	704882	4.719190069080856
NC_071985.2	39916271	41300696	1384425	9.367066152848832
NC_071985.2	49689789	50650829	961040	6.471236138079929
NC_071985.2	51381950	51694685	312735	2.0370188707588066
NC_071985.2	53360763	56452951	3092188	21.047667386978016
NC_071985.2	57578507	59303110	1724603	11.693784536268309
NC_071985.2	59668722	62838295	3169573	21.576958235007332
NC_071985.2	64083464	64523851	440387	2.9101213496970777
NC_071985.2	65342207	65732592	390385	2.5681222415603355
NC_071985.2	72021440	72660482	639042	4.268863656542895
NC_071985.2	73406706	73761817	355111	2.3268583613072367
NC_071985.2	74024292	74584060	559768	3.7266525990165538
NC_071985.2	77007282	77403580	396298	2.608565438360715
NC_071985.2	79552912	79942132	389220	2.560153981071169
NC_071985.2	81010662	81399466	388804	2.557308662304222
NC_071985.2	83561912	84017994	456082	3.0174705757721583
NC_071985.2	84985408	85366654	381246	2.5056141448989684
NC_071985.2	85652811	86881154	1228343	8.299510759140599
NC_071985.2	93000341	93451838	451497	2.9861105119585716
NC_071985.2	101331079	109462010	8130931	55.51120108823504
NC_071985.2	110637421	110981229	343808	2.249549135290885
NC_071985.2	113805939	114510986	705047	4.720318620995631
NC_071985.2	120319325	120743207	423882	2.79723195967674
NC_071985.2	125661681	126873356	1211675	8.185506496622637
NC_071985.2	126875181	128718541	1843360	12.506047807437366
NC_071985.2	128719200	129040110	320910	2.0929334883544604
NC_071985.2	129398333	129831536	433203	2.860984883298647
NC_071985.2	130072854	130872229	799375	5.3654946514008675
NC_071985.2	131062003	131631545	569542	3.7935039106226602
NC_071985.2	133280374	133618501	338127	2.210692750879765
NC_071985.2	134284358	134891749	607391	4.052380040454818
NC_071985.2	136429497	137724230	1294733	8.753599011394476
NC_071985.2	142273135	142977386	704251	4.714874212970415
NC_071985.2	144379316	145609263	1229947	8.310481651693925
NC_071985.2	149118387	150987978	1869591	12.685460203052239
NC_071985.2	151142785	153949087	2806302	19.092290461479422
NC_071985.2	154477680	154850015	372335	2.4446655017925623
NC_071985.2	157897813	158248038	350225	2.293439545212758
NC_071985.2	158993490	160797665	1804175	12.23803382694982
NC_071985.2	160805531	161162385	356854	2.3387799733524015
NC_071985.2	161701763	162024698	322935	2.106783898217604
NC_071985.2	162244076	162667514	423438	2.7941951290697102
NC_071985.2	163530246	164065045	534799	3.5558719156225633
NC_071985.2	164065151	164623425	558274	3.7164340744064126
NC_071985.2	165070819	165413048	342229	2.2387492354519205
NC_071985.2	169804746	170268812	464066	3.072078809030103
NC_071985.2	172062416	173061044	998628	6.728327103974171
NC_071985.2	173819732	174356095	536363	3.566569219832912
NC_071985.2	174864907	175856475	991568	6.680038761438964
NC_071985.2	176655875	178008499	1352624	9.149556580474595
NC_071985.2	183606365	184066421	460056	3.0446515776467917
NC_071985.2	185506746	185846392	339646	2.2210822682042664
NC_071985.2	191307679	191890006	582327	3.88094958474626
NC_071985.2	194805807	195481398	675591	4.518848165228344
NC_071985.2	196082304	196505168	422864	2.790269136348009
NC_071985.2	196736458	197062208	325750	2.1260376778545167
NC_071985.2	198790748	199332342	541594	3.602347735385556
NC_071985.2	202905149	204309251	1404102	9.501651098467141
NC_071985.2	211103630	211452380	348750	2.28335097506553
NC_071985.2	218833690	219160047	326357	2.1301893809591728
NC_071985.2	219160628	219575401	414773	2.7349290542726044
NC_071985.2	228365251	229471947	1106696	7.467480730191552
NC_071985.2	229593161	230349332	756171	5.0699918821528405
NC_071988.2	8027527	8346249	318722	2.077968205993691
NC_071988.2	9091823	9454836	363013	2.380905738462081
NC_071988.2	9622830	10380709	757879	5.081674104397902
NC_071988.2	10381630	12318518	1936888	13.145752070983088
NC_071988.2	12610658	13991566	1380908	9.343010897792695
NC_071988.2	14055785	14436461	380676	2.501715511011565
NC_071988.2	15937507	16530954	593447	3.957007144093498
NC_071988.2	17059916	18897497	1837581	12.466521131585955
NC_071988.2	18899890	19360748	460858	3.0501370239234538
NC_071988.2	20383779	21043916	660137	4.413147308919692
NC_071988.2	21043977	21486046	442069	2.921625739519205
NC_071988.2	21928165	22906220	978055	6.587613779473207
NC_071988.2	25040481	25429737	389256	2.560400210579847
NC_071988.2	26141745	27544079	1402334	9.489558493707616
NC_071988.2	27556989	29940113	2383124	16.197876266385418
NC_071988.2	30359399	35386692	5027293	34.2832216478266
NC_071988.2	35664718	36568809	904091	6.081721574476886
NC_071988.2	37530034	38024447	494413	3.279643445137173
NC_071988.2	42418395	43595682	1177287	7.950302598166448
NC_071988.2	44148596	45504144	1355548	9.169555888346117
NC_071988.2	45872304	46223604	351300	2.300792231930229
NC_071988.2	49638794	51492242	1853448	12.57504678753583
NC_071988.2	51847178	52758089	910911	6.1283683869542385
NC_071988.2	52893683	55164661	2270978	15.430830308601667
NC_071988.2	55760749	60103820	4343071	29.603342567639043
NC_071988.2	61855366	62442521	587155	3.913971697743424
NC_071988.2	62444039	63091006	646967	4.323068346994951
NC_071988.2	63957213	64314975	357762	2.3449904287379497
NC_071988.2	64395163	64756393	361230	2.3687105380739406
NC_071988.2	65037425	65487687	450262	2.9776634718691977
NC_071988.2	66476018	66968700	492682	3.267803909594901
NC_071988.2	67329329	87582589	20253260	138.4243986911343
NC_071988.2	87890260	88487293	597033	3.981534339041267
NC_071988.2	92963775	93283228	319453	2.0829680329615714
NC_071988.2	93717937	94219989	502052	3.3318919789369525
NC_071988.2	96240282	96664007	423725	2.7961581254305607
NC_071988.2	98365085	98827599	462514	3.0614635813226467
NC_071988.2	100163263	100545043	381780	2.5092665492776933
NC_071988.2	100634078	101127343	493265	3.2717914596937714
NC_071988.2	103301818	103624356	322538	2.10406853391357
NC_071988.2	104907765	105589053	681288	4.557813984976654
NC_071988.2	106226157	106962365	736208	4.933450779882255
NC_071988.2	107570287	108023193	452906	2.9957476613398897
NC_071988.2	110663910	111151921	488011	3.2358556308439166
NC_071988.2	111384412	111729365	344953	2.2573806016085642
NC_071988.2	112712860	113024087	311227	2.026704590228624
NC_071988.2	113024570	113730518	705948	4.726481198421157
NC_071988.2	114009352	114517922	508570	3.3764731994248387
NC_071988.2	115279131	115649620	370489	2.4320393997642347
NC_071988.2	116115225	116499573	384348	2.5268309208967317
NC_071988.2	117293885	118386870	1092985	7.3737014859280645
NC_071988.2	118387119	118935256	548137	3.647099948587802
NC_071988.2	122035419	122570155	534736	3.5554410139823767
NC_071988.2	122899480	123340401	440921	2.913773754075803
NC_071988.2	124778911	125161636	382725	2.5157300738804937
NC_071988.2	125279792	126110017	830225	5.576499660920856
NC_071988.2	126129500	126872042	742542	4.976773493992454
NC_071988.2	128033400	128608279	574879	3.8300074352841893
NC_071988.2	128715742	129284822	569080	3.790343965261291
NC_071988.2	129868535	130258633	390098	2.566159245199485
NC_071988.2	132392755	133585773	1193018	8.057898053750206
NC_071988.2	133586214	133908603	322389	2.1030494173359857
NC_071988.2	135755267	136423391	668124	4.4677760613033595
NC_071988.2	136976157	138980771	2004614	13.608978173892352
NC_071988.2	138981878	139979983	998105	6.724749936389764
NC_071988.2	141151387	141585376	433989	2.866360894238119
NC_071988.2	141592214	142212158	619944	4.138238902189159
NC_071988.2	144942673	145276245	333572	2.1795378783234103
NC_071988.2	145277136	146213405	936269	6.3018097169836675
NC_071988.2	146254349	146868712	614363	4.100066488635478
NC_071988.2	147050120	149195456	2145336	14.571475643897923
NC_071988.2	149849356	150384741	535385	3.5598799848471567
NC_071988.2	150680456	154826157	4145701	28.253389286311318
NC_071988.2	154884468	155914187	1029719	6.940980483260589
NC_071988.2	155915297	156691887	776590	5.2096518915333485
NC_071988.2	156692133	159373685	2681552	18.239036816824036
NC_071988.2	159384741	160029688	644947	4.309252135674679
NC_071988.2	160119498	160921861	802363	5.38593170062115
NC_071988.2	163173125	163688164	515039	3.42071927419258
NC_071988.2	164394342	165167581	773239	5.186732028100561
NC_071988.2	165904942	166418227	513285	3.4087224253530968
NC_071988.2	166975383	167316648	341265	2.2321557563862067
NC_071988.2	168755639	169304092	548453	3.64926129649731
NC_071988.2	170261829	171187783	925954	6.231258123038816
NC_071988.2	171601906	171931558	329652	2.152726220711794
NC_071988.2	173629825	174195667	565842	3.7681969888974103
NC_071988.2	175796608	176159980	363372	2.383361193840288
NC_071988.2	176767790	177157772	389982	2.5653658390048557
NC_071988.2	177320586	177641873	321287	2.095512058487006
NC_071988.2	177903435	178752053	848618	5.702302420729646
NC_071988.2	179353568	180125919	772351	5.180658366886501
NC_071988.2	181343986	183371028	2027042	13.762379157798813
NC_071988.2	184083843	185124007	1040164	7.012421239320111
NC_071988.2	185991008	186673594	682586	4.5666919267062145
NC_071988.2	187538267	187934198	395931	2.606055265313913
NC_071988.2	188165998	188825100	659102	4.406068210545196
NC_071988.2	189334207	190223101	888894	5.977778523271853
NC_071988.2	192266992	193930880	1663888	11.278511630174107
NC_071988.2	194603242	195074193	470951	3.119170202564791
NC_071988.2	195893998	196505683	611685	4.081749749073257
NC_071988.2	197254120	197907355	653235	4.365939640339239
NC_071988.2	198606996	198975479	368483	2.418318944364005
NC_071988.2	199096765	199630944	534179	3.5516312963064403
NC_071988.2	199771537	200281345	509808	3.384940758639936
NC_071988.2	200310976	204627291	4316315	29.420339325022614
NC_071988.2	207974820	208362185	387365	2.547466321665672
NC_071988.2	209037220	210343862	1306642	8.835053100806908
NC_071988.2	210537316	211172094	634778	4.239699139181688
NC_071988.2	211308566	212358816	1050250	7.081406540001428
NC_071989.2	1844257	2735544	891287	5.994145945890373
NC_071989.2	2749771	3591258	841487	5.653528458885658
NC_071989.2	3608978	4149575	540597	3.5955285459368875
NC_071989.2	4151512	5148983	997471	6.720413561153599
NC_071989.2	5504340	6401318	896978	6.033070727387237
NC_071989.2	6786916	7414041	627125	4.187354849461867
NC_071989.2	7917240	9121666	1204426	8.13592544916687
NC_071989.2	9715540	10343132	627592	4.190548993366108
NC_071989.2	12259729	14055871	1796142	12.183090447971729
NC_071989.2	15308236	15911205	602969	4.022134849138857
NC_071989.2	17341258	17682761	341503	2.233783607026912
NC_071989.2	18001579	19826908	1825329	12.382721022132506
NC_071989.2	20193301	20684811	491510	3.2597877711457137
NC_071989.2	20686299	22101270	1414971	9.575991890962205
NC_071989.2	22445108	23913251	1468143	9.93967287527977
NC_071989.2	23932034	24883000	950966	6.402332913901505
NC_071989.2	24992800	26918987	1926187	13.072560349528521
NC_071989.2	26943754	27295125	351371	2.301277851239011
NC_071989.2	27406589	31818785	4412196	30.076137422843882
NC_071989.2	33342607	34012974	670367	4.483117527635721
NC_071989.2	35305809	35837473	531664	3.5344294292418446
NC_071989.2	36545773	36856184	310411	2.02112338803192
NC_071989.2	38093688	38510898	417210	2.7515974240683976
NC_071989.2	39645483	40943359	1297876	8.77509621544379
NC_071989.2	44215383	44841232	625849	4.178627381320943
NC_071989.2	44931621	45362552	430931	2.8454450654176284
NC_071989.2	45368760	45840608	471848	3.1253054211560207
NC_071989.2	46257489	59436048	13178559	90.03550560017553
NC_071989.2	59893083	60430187	537104	3.5716374438865364
NC_071989.2	60448192	61857522	1409330	9.53740909489406
NC_071989.2	62187653	62556169	368516	2.4185446547469596
NC_071989.2	65292134	65937797	645663	4.314149367013944
NC_071989.2	66601987	67591970	989983	6.669197823348553
NC_071989.2	69302433	69715100	412667	2.7205246280149353
NC_071989.2	70652324	71224780	572456	3.813434821408438
NC_071989.2	71787127	73138101	1350974	9.138271061326849
NC_071989.2	75365162	75766092	400930	2.640246968477298
NC_071989.2	76385359	77324417	939058	6.320885664197647
NC_071989.2	77461914	78275428	813514	5.4622012909341935
NC_071989.2	79173699	79575305	401606	2.644870611473587
NC_071989.2	79932838	80286006	353168	2.313568807547193
NC_071989.2	81420703	82127225	706522	4.7304071911428585
NC_071989.2	83248052	83646695	398643	2.6246045549676635
NC_071989.2	89919392	90648809	729417	4.88700231895356
NC_071989.2	91970008	94257288	2287280	15.542331237781402
NC_071989.2	94258661	94916881	658220	4.4000355875825825
NC_071989.2	95057910	95926227	868317	5.837037839936592
NC_071989.2	96648261	98142770	1494509	10.120008631552187
NC_071989.2	99118387	101326213	2207826	14.998889032711672
NC_071989.2	103750439	104177611	427172	2.8197346008864894
NC_071989.2	104974827	106575482	1600655	10.846016337889585
NC_071989.2	106781071	108374220	1593149	10.794677485330201
NC_071989.2	108734400	110108276	1373876	9.294914067097572
NC_071989.2	110392985	110759782	366797	2.40678719570758
NC_071989.2	111452947	115368739	3915792	26.68087872768146
NC_071989.2	116367786	116776797	409011	2.6955186534669586
NC_071989.2	117382288	117696759	314471	2.048892604843951
NC_071989.2	117893154	118467995	574841	3.8297475263583625
NC_071989.2	118816244	119136973	320729	2.091695501102495
NC_071989.2	119821014	120217189	396175	2.6077241542060645
NC_071989.2	121647921	122433287	785366	5.2696771739822115
NC_071989.2	122572319	123234163	661844	4.424822691456178
NC_071989.2	125164140	127037272	1873132	12.70967961111416
NC_071989.2	127850435	128693550	843115	5.664663504444768
NC_071989.2	128910388	130108964	1198576	8.095913154006677
NC_071989.2	131966210	132926128	959918	6.463561985059461
NC_071989.2	133037655	134702793	1665138	11.287061265892097
NC_071989.2	136878542	137311431	432889	2.8588372148062877
NC_071989.2	137457619	137815716	358097	2.3472817311103706
NC_071989.2	138562426	139535867	973441	6.5560553641109625
NC_071989.2	144754949	145353806	598857	3.9940099674809577
NC_071989.2	151770639	152191317	420678	2.7753175334043885
NC_071989.2	152203783	152549401	345618	2.2619290078105347
NC_071989.2	152869714	154198399	1328685	8.985820796912229
NC_071989.2	160604497	161084765	480268	3.1828957673524
NC_071989.2	161097717	162148584	1050867	7.085626640191828
NC_071989.2	163695536	165012166	1316630	8.903368110047934
NC_071989.2	166580711	167451594	870883	5.854588532138481
NC_071989.2	168078225	168696828	618603	4.1290668529909
NC_071989.2	169460239	170082690	622451	4.155386051585159
NC_071989.2	170955629	172266378	1310749	8.863143783921936
NC_071989.2	172344360	173457259	1112899	7.509907442478505
NC_071989.2	173457652	174247938	790286	5.303328540168219
NC_071989.2	174248286	176163644	1915358	12.99849314537643
NC_071989.2	177758896	178066403	307507	2.001260874331886
NC_071989.2	180321068	180651255	330187	2.1563854647990937
NC_071989.2	182971387	183355192	383805	2.523116959140837
NC_071989.2	183603381	184369904	766523	5.140796545314945
NC_071990.2	517037	1182866	665829	4.45207893012513
NC_071990.2	2106931	2530193	423262	2.7929913403606172
NC_071990.2	4022509	4610320	587811	3.918458546568225
NC_071990.2	6538751	7071626	532875	3.5427123163254333
NC_071990.2	7985173	8300337	315164	2.0536325228860046
NC_071990.2	8321208	9608603	1287395	8.703409229875588
NC_071990.2	9857759	10324318	466559	3.089130202506062
NC_071990.2	12228780	12646225	417445	2.7532047555833796
NC_071990.2	14064692	15178909	1114217	7.518922178379553
NC_071990.2	15601668	16003521	401853	2.6465600194914614
NC_071990.2	16269235	17054601	785366	5.2696771739822115
NC_071990.2	18443727	19832810	1389083	9.398925515388349
NC_071990.2	21250427	21611837	361410	2.369941685617331
NC_071990.2	21799249	22318294	519045	3.4481191467415937
NC_071990.2	22752699	24203895	1451196	9.82376033406955
NC_071990.2	27361923	27674837	312914	2.038243178593623
NC_071990.2	40184855	40641469	456614	3.021109300733735
NC_071990.2	40901373	41271006	369633	2.4261846092245554
NC_071990.2	44698096	45082669	384573	2.52836985532597
NC_071990.2	48505800	49848300	1342500	9.080311370867452
NC_071990.2	50463267	51168527	705260	4.721775478921976
NC_071990.2	51309145	52067168	758023	5.0826590224326145
NC_071990.2	54918316	55427871	509555	3.3832103123706148
NC_071990.2	58197581	62056317	3858736	26.290632315260957
NC_071990.2	62679929	63655645	975716	6.571615701117704
NC_071990.2	65955527	69181271	3225744	21.961151505339497
NC_071990.2	71545292	71861653	316361	2.0618196540495517
NC_071990.2	71991976	72463389	471413	3.12233014792616
NC_071990.2	73185958	73567507	381549	2.507686576597009
NC_071990.2	74399384	75693583	1294199	8.749946607015751
NC_071990.2	76686925	78110203	1423278	9.632809350089678
NC_071990.2	78568584	79543628	975044	6.567019416955713
NC_071990.2	81051111	82445881	1394770	9.437822938050916
NC_071990.2	82448582	82864579	415997	2.74330085756766
NC_071990.2	83067082	83580546	513464	3.4099467331879127
NC_071990.2	84964011	85475917	511906	3.3992904672290103
NC_071990.2	85503447	86165788	662341	4.428222026617651
NC_071990.2	86464617	87622025	1157408	7.814336031416112
NC_071990.2	88429723	88775622	345899	2.263850965919939
NC_071990.2	88872892	89275011	402119	2.6483793819722496
NC_071990.2	90792690	91241546	448856	2.9680468416136025
NC_071990.2	91311323	93081840	1770517	12.007822915752937
NC_071990.2	93081916	93500631	418715	2.7618911854728574
NC_071990.2	93640655	94047736	407081	2.682318015918382
NC_071990.2	94565072	96405609	1840537	12.486739310131856
NC_071990.2	96425284	96858156	432872	2.858720939760523
NC_071990.2	97048540	97379030	330490	2.1584578964971346
NC_071990.2	98168771	99755816	1587045	10.752927904192113
NC_071990.2	99850891	100203703	352812	2.3111338712947096
NC_071990.2	100538301	100849456	311155	2.0262121312112678
NC_071990.2	100878238	101291935	413697	2.727569527846559
NC_071990.2	101819580	102317048	497468	3.3005387548319405
NC_071990.2	102987230	105794800	2807570	19.10096321195175
NC_071990.2	106450521	106907365	456844	3.022682433705845
NC_071990.2	112855062	113199259	344197	2.252209781926324
NC_071990.2	113564432	115052563	1488131	10.076384970264716
NC_071990.2	115285532	117180912	1895380	12.86184944747723
NC_071990.2	118164450	118478553	314103	2.046375592088575
NC_071990.2	121145301	122415070	1269769	8.582852526543357
NC_071990.2	122823991	123785766	961775	6.476263323882107
NC_071990.2	125204567	125688283	483716	3.2064790825169034
NC_071990.2	126713009	127158632	445623	2.9459340637925937
NC_071990.2	127445255	127763453	318198	2.0743841987007094
NC_071990.2	127856754	128246939	390185	2.5667542998454573
NC_071990.2	129974433	130354122	379689	2.49496471864864
NC_071990.2	131949725	132353808	404083	2.6618125696123554
NC_071990.2	133467545	133815856	348311	2.280348343001372
NC_071990.2	134331216	134790102	458886	3.0366491186147533
NC_071990.2	135030885	135393082	362197	2.3753245362653774
NC_071990.2	135836038	136437652	601614	4.012867044020556
NC_071990.2	137016189	137373156	356967	2.339552860421308
NC_071990.2	139071987	139399759	327772	2.1398675685919373
NC_071990.2	140913974	143265673	2351699	15.982938424435153
NC_071990.2	143266749	143619514	352765	2.3108124049917134
NC_071990.2	146419371	147228908	809537	5.434999769933837
NC_071990.2	148400402	148792817	392415	2.582006849966351
NC_071990.2	149150314	149529050	378736	2.4884464763772445
NC_071990.2	154698831	155732390	1033559	6.9672449641862535
NC_071990.2	157156780	158474615	1317835	8.911609958880076
NC_071990.2	160990790	161398212	407422	2.68465035654225
NC_071990.2	163912360	164387631	475271	3.1487177436061637
NC_071990.2	165523826	167256779	1732953	11.750896102864482
NC_071990.2	167637475	167968746	331271	2.1637997088937344
NC_071990.2	169406439	169802106	395667	2.6042495822502736
NC_071990.2	170660727	171208416	547689	3.6440357591464747
NC_071990.2	171788505	172271954	483449	3.2046528803275405
NC_071991.2	3023063	3358095	335032	2.1895238528420222
NC_071991.2	3371666	3679348	307682	2.0024578233324046
NC_071991.2	4329507	4735229	405722	2.6730228519657837
NC_071991.2	15381068	17677108	2296040	15.602247084893076
NC_071991.2	18866426	19213409	346983	2.2712652100145796
NC_071991.2	22845020	23315423	470403	3.115422042266024
NC_071991.2	23355673	24833209	1477536	10.003918257919032
NC_071991.2	24843653	25290775	447122	2.956186786945607
NC_071991.2	25305526	26091633	786107	5.274745398035836
NC_071991.2	28236644	28723110	486466	3.225288281096481
NC_071991.2	30636952	31927218	1290266	8.723046033192666
NC_071991.2	32170104	33826132	1656028	11.224751520779387
NC_071991.2	35344563	36251923	907360	6.104080581806573
NC_071991.2	37876389	39259019	1382630	9.354788875957798
NC_071991.2	39475491	39871572	396081	2.6070812216000716
NC_071991.2	42082949	42812783	729834	4.889854477429082
NC_071991.2	43343933	44174502	830569	5.578852520670448
NC_071991.2	49265317	49662474	397157	2.614440748026117
NC_071991.2	50264863	50757675	492812	3.268693071709572
NC_071991.2	51005181	51317372	312191	2.0332980692943377
NC_071991.2	59037764	59500608	462844	3.0637206851521963
NC_071991.2	59500947	59962475	461528	3.0547196286682965
NC_071991.2	60576928	60906302	329374	2.150824781728113
NC_071991.2	60912721	61354359	441638	2.918677825123642
NC_071991.2	62460724	62774631	313907	2.045035009207994
NC_071991.2	63703982	64347350	643368	4.298452235835715
NC_071991.2	65007264	65385933	378669	2.48798821590276
NC_071991.2	65464462	66025581	561119	3.7358930453005574
NC_071991.2	66672731	67011786	339055	2.2170400004368007
NC_071991.2	67389650	67838109	448459	2.965331477309569
NC_071991.2	67882158	68302174	420016	2.770789646328141
NC_071991.2	70004361	70368027	363666	2.385372068161159
NC_071991.2	71303407	72523875	1220468	8.245648054117263
NC_071991.2	73016236	73434959	418723	2.7619459031414526
NC_071991.2	74378478	76662488	2284010	15.519965390743142
NC_071991.2	76663247	76980293	317046	2.0665048544230102
NC_071991.2	78571523	79117371	545848	3.631443855661019
NC_071991.2	79290699	79598612	307913	2.004037796013089
NC_071991.2	81944231	82330818	386587	2.542145028394795
NC_071991.2	82498653	82839821	341168	2.2314923046544908
NC_071991.2	84482002	85081303	599301	3.997046798087988
NC_071991.2	86177684	87120553	942869	6.346951793574655
NC_071991.2	87244255	87676740	432485	2.8560739725422333
NC_071991.2	87711735	88190399	478664	3.1719248747990756
NC_071991.2	89725971	91380461	1654490	11.214232048991972
NC_071991.2	91625799	92311414	685615	4.5874094039780475
NC_071991.2	92528713	92849649	320936	2.0931113207773944
NC_071991.2	93760103	94089292	329189	2.1495594356418506
NC_071991.2	94839301	95620355	781054	5.240184350609433
NC_071991.2	96400249	97088124	687875	4.602867145356173
NC_071991.2	97088425	97547937	459512	3.0409307761823223
NC_071991.2	97548054	97943971	395917	2.6059595093938714
NC_071991.2	101022757	101436357	413600	2.726906076114843
NC_071991.2	103308571	103621290	312719	2.0369094354216166
NC_071991.2	105589168	107019413	1430245	9.680461599727467
NC_071991.2	107020040	107717787	697747	4.67038874840257
NC_071991.2	110211007	110973840	762833	5.115558020675439
NC_071991.2	111016477	111520662	504185	3.3464810773261306
NC_071991.2	112115327	113059793	944466	6.357874808167958
NC_071991.2	115384344	117547465	2163121	14.693119860893482
NC_071991.2	117548580	118013569	464989	3.078391860044267
NC_071991.2	118668286	119175679	507393	3.3684228624327797
NC_071991.2	121340087	121785263	445176	2.9428767140598406
NC_071991.2	122213143	123849582	1636439	11.090768469515625
NC_071991.2	128029759	128461989	432230	2.854329846855763
NC_071991.2	128880208	129269171	388963	2.5583961759675504
NC_071991.2	133355549	134107488	751939	5.041046235466014
NC_071991.2	142293060	143418526	1125466	7.595862060132887
NC_071991.2	143709856	144365077	655221	4.379523301567981
NC_071991.2	150658065	151283897	625832	4.178511106275178
NC_071991.2	151283963	151619488	335525	2.1928958291691973
NC_071991.2	153413254	153810089	396835	2.6122383618651632
NC_071991.2	153833367	154276393	443026	2.928171340624898
NC_071992.2	1920837	2962051	1041214	7.019602933323223
NC_071992.2	4076590	4447182	370592	2.4327438897473974
NC_071992.2	4671763	5024357	352594	2.309642814825492
NC_071992.2	5024442	6446437	1421995	9.624034003988735
NC_071992.2	9401497	9876357	474860	3.1459066233820887
NC_071992.2	13015633	13430878	415245	2.7381573967197173
NC_071992.2	13882627	14199162	316535	2.063009763341496
NC_071992.2	15239718	15782780	543062	3.612388427572763
NC_071992.2	16024100	17284443	1260343	8.518381433521139
NC_071992.2	17925506	18744716	819210	5.50116027097393
NC_071992.2	21331512	21647391	315879	2.058522914516695
NC_071992.2	22082259	23510690	1428431	9.66805436837352
NC_071992.2	25697057	26143054	445997	2.948492114799416
NC_071992.2	26349885	26762489	412604	2.7200937263747487
NC_071992.2	28708328	29081606	373278	2.451115346978214
NC_071992.2	31194825	31900055	705230	4.721570287664744
NC_071992.2	33025830	33502001	476171	3.1548734813231167
