clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_ACC	codon_AAT	codon_CAA	codon_AGT	codon_ACG	codon_GCA	codon_TGC	codon_GTA	codon_CCC	codon_AGG	codon_TAC	codon_GGA	codon_ATT	codon_CGA	codon_GGT	codon_AAA	codon_CAG	codon_AAC	codon_CTC	codon_TGA	codon_GTT	codon_GAT	codon_AGA	codon_GTG	codon_ACT	codon_GAA	codon_TAT	codon_ATG	codon_GGC	codon_CAT	codon_AAG	codon_CCG	codon_CTG	codon_GAG	codon_TCT	codon_AGC	codon_TTT	codon_ATA	codon_CCA	codon_ATC	codon_CGG	codon_GCG	codon_ACA	codon_TTC	codon_CGC	codon_TCA	codon_TTG	codon_CTT	codon_CGT	codon_TGG	codon_GAC	codon_CTA	codon_TAA	codon_TAG	codon_TGT	codon_GGG	codon_TTA	codon_CCT	codon_GCC	codon_TCC	codon_GTC	codon_GCT	codon_TCG	codon_CAC
NC_073273.2	-1::NC_073273.2:46147024-46156333	9309	False	0.4818	0	1.0	1.0	23.0	3.0	2.0	35.0	208.0	1.0	204.0	205.0	203.0	141.0	205.0	183.0	87.0	71.0	389.0	33.0	2.0	206.0	2.0	104.0	31.0	87.0	204.0	102.0	153.0	121.0	14.0	22.0	35.0	16.0	4.0	1.0	1.0	1.0	1.0	1.0																										
NC_073273.2	3::NC_073273.2:46147025-46156310	9285	False	0.4822	0		1.0		137.0		123.0	209.0	2.0		1.0	1.0		1.0		205.0	2.0		170.0			1.0	169.0	32.0	87.0		205.0		172.0		35.0	20.0			186.0	1.0	255.0	2.0	105.0	205.0	2.0	1.0	100.0	235.0	204.0	1.0	1.0	1.0	204.0	16.0	1.0	1.0	1.0												
NC_073273.2	-3::NC_073273.2:46147097-46156280	9183	False	0.4823	0		1.0		137.0		121.0	207.0			1.0			1.0		204.0			169.0				169.0	31.0	86.0		203.0		172.0		34.0	20.0			185.0		254.0	2.0	104.0	203.0	1.0		99.0	233.0	202.0			1.0	204.0	15.0	1.0	1.0													
NC_073273.2	-1::NC_073273.2:46944949-46953997	9048	False	0.4992	1								1.0		259.0	1.0				1239.0			1.0		1.0	262.0	1.0	1.0				2.0			1.0											1.0		2.0	1.0									1.0	1239.0	1.0	2.0								
NC_073273.2	3::NC_073273.2:46944998-46953998	9000	False	0.5	1										1239.0					1.0						1239.0																1.0										1.0									260.0	259.0							
NC_073249.2	-3::NC_073249.2:0-8107	8107	False	0.5009	0	1190.0		2.0						161.0																																											1195.0	154.0											
NC_073249.2	3::NC_073249.2:2-8108	8106	False	0.5009	0	161.0																	1190.0																					2.0													154.0						1195.0						
NC_073249.2	3::NC_073249.2:227246636-227262338	15702	False	0.626	1	391.0	4.0	24.0	3.0	5.0	9.0	9.0	1.0	487.0	3.0	12.0		4.0		1.0	20.0	5.0	14.0	481.0		1.0	2.0	3.0	4.0	10.0		6.0	3.0	4.0	310.0	2.0	11.0	8.0	4.0	8.0	1.0	6.0	14.0	673.0	284.0	2.0		333.0	12.0	12.0	9.0	1.0	9.0	2.0	2.0	7.0	10.0			3.0	1.0		501.0	7.0	789.0	4.0	7.0	4.0	692.0
NC_073249.2	1::NC_073249.2:227246718-227262249	15531	False	0.6284	1	387.0	3.0	20.0	1.0	5.0	8.0	5.0		485.0	2.0	7.0		1.0	1.0	4.0	21.0	6.0	17.0	497.0		1.0		2.0	1.0	7.0		15.0	1.0	3.0	283.0		5.0	10.0		9.0	3.0		18.0	670.0	298.0	2.0	1.0	323.0	10.0	14.0	4.0	2.0	9.0	2.0	4.0	2.0	5.0				1.0		509.0	9.0	761.0	3.0	7.0	2.0	711.0
NC_073249.2	2::NC_073249.2:227247043-227262286	15243	False	0.6274	1	373.0	5.0	17.0	1.0	3.0	4.0	7.0		487.0		4.0		6.0	2.0		12.0	2.0	21.0	499.0				3.0		3.0	1.0	17.0	1.0		277.0		4.0	6.0		10.0	1.0		7.0	659.0	287.0			353.0	7.0	5.0	4.0		6.0	1.0		3.0	9.0			2.0			478.0	6.0	785.0	1.0	3.0	1.0	698.0
NC_073249.2	1::NC_073249.2:227694354-227703972	9618	False	0.4988	0		3.0		1.0			1.0		1.0	4.0					3.0		1.0		1.0		2.0		1.0	1.0	2.0					1.0			3.0	1.0	4.0		7.0							1.0		1.0	5.0	1.0		1.0	1.0					1577.0	1577.0	2.0			1.0	2.0		
NC_073249.2	-2::NC_073249.2:227694449-227703971	9522	False	0.5004	0	1.0		1.0				1.0			1577.0		1.0			2.0		1.0				1577.0			2.0											1.0															1.0				3.0	1.0						2.0	2.0		1.0
NC_073249.2	-3::NC_073249.2:227694502-227704597	10095	False	0.5001	0										34.0					1646.0						35.0																										1.0							1647.0		2.0								
NC_073249.2	3::NC_073249.2:227694503-227704598	10095	False	0.5	0										1647.0					2.0						1646.0																1.0													1.0						34.0	34.0							
NC_073259.2	-2::NC_073259.2:138824039-138831683	7644	False	0.4626	1		6.0		109.0	2.0	1.0	2.0	6.0		9.0	1.0	395.0	2.0	1.0	12.0	1.0	1.0			55.0		25.0	288.0	9.0		3.0	344.0	27.0	2.0	121.0			2.0	61.0	1.0		2.0	20.0	1.0		1.0	1.0	8.0				3.0	1.0	113.0	81.0	5.0		1.0	6.0	486.0	328.0						3.0		2.0
NC_073259.2	-1::NC_073259.2:138824259-138831759	7500	False	0.4669	1		2.0	1.0	58.0	2.0	2.0		337.0	1.0	6.0	1.0	8.0	2.0	1.0	335.0	2.0	3.0			8.0	3.0	561.0	7.0	266.0	1.0	2.0	6.0	401.0	6.0	3.0	1.0		4.0	55.0		1.0	1.0	69.0	1.0	2.0			4.0	2.0			2.0		1.0	9.0	122.0		1.0	5.0	11.0	71.0					112.0	1.0		
NC_073259.2	3::NC_073259.2:139659914-139669955	10041	False	0.5487	0	1.0		1.0	1.0	1.0	91.0	224.0	54.0	3.0		52.0		1.0				1.0		257.0		2.0			120.0	137.0	2.0	9.0	3.0		1.0		2.0	584.0	4.0	567.0	3.0	5.0	1.0	3.0	2.0		44.0	4.0	2.0	34.0		1.0	1.0	2.0			6.0			478.0			91.0	78.0	3.0	312.0	57.0		102.0
NC_073259.2	1::NC_073259.2:140308506-140316360	7854	False	0.5554	1	224.0	2.0	77.0	1.0	6.0	32.0	8.0	26.0	294.0	3.0	87.0	3.0	3.0	4.0		10.0	14.0	75.0	11.0		2.0	1.0	11.0	5.0	35.0	5.0	25.0	7.0	2.0	88.0	5.0	17.0	17.0	3.0	4.0	2.0	1.0	80.0	207.0	6.0	1.0	1.0	492.0	2.0	23.0	10.0	1.0	1.0	2.0		13.0	16.0			21.0	2.0	2.0	23.0	5.0	17.0	2.0	3.0	1.0	577.0
NC_073259.2	2::NC_073259.2:141803005-141810886	7881	False	0.5006	0				1.0		1.0				612.0					2.0				1.0		612.0		1.0					2.0	2.0										1.0							1.0				1.0	1.0	2.0			2.0	692.0	691.0				1.0			1.0
NC_073259.2	-1::NC_073259.2:141803025-141810885	7860	False	0.5006	0		1.0					1.0		1.0	694.0					612.0				1.0		691.0			1.0	1.0								1.0	1.0	1.0															1.0				612.0		1.0								
NC_073256.2	-1::NC_073256.2:47-11114	11067	False	0.5062	0	1.0		8.0					1.0	511.0					1.0		2.0		1330.0								14.0	1.0					48.0			1.0								1.0		2.0					1.0			488.0					1279.0						
NC_073256.2	1::NC_073256.2:48-11163	11115	False	0.5057	0	1330.0	1.0	1.0			1.0		1.0	8.0		1.0	1.0		47.0		1.0		512.0				1.0				1.0	1.0	1.0		1.0		12.0	1.0		2.0			2.0	6.0	2.0		3.0			1.0							1279.0			1.0			487.0						
NC_073256.2	-2::NC_073256.2:160452769-160474345	21576	False	0.7128	1		2.0		341.0		55.0	62.0	4.0	252.0	588.0		646.0	1.0		41.0	3.0	40.0	1.0	4.0	374.0	1.0	3.0	2.0	752.0	1.0			1.0	70.0	2.0	4.0	313.0	12.0	955.0	6.0	1.0	1.0				9.0	34.0		2.0	30.0		1.0		285.0	8.0			2.0	1.0	360.0	1339.0		2.0	71.0	207.0	273.0	5.0	25.0	
NC_073256.2	-1::NC_073256.2:160452803-160474382	21579	False	0.7131	1				271.0		59.0	75.0	3.0	205.0	726.0	1.0	577.0	3.0		34.0	4.0	56.0		7.0	296.0	2.0		4.0	732.0	1.0			3.0	45.0			326.0	8.0	1022.0	7.0				2.0		7.0	39.0	1.0		21.0		2.0		344.0	14.0				3.0	382.0	1289.0			60.0	248.0	289.0	2.0	23.0	
NC_073256.2	-3::NC_073256.2:160452855-160461573	8718	False	0.715	1	1.0			137.0		16.0	32.0		100.0	282.0	1.0	250.0			19.0		24.0		4.0	154.0			1.0	319.0					30.0			112.0	1.0	349.0	2.0						4.0	9.0			10.0				140.0	4.0					123.0	547.0		1.0	27.0	96.0	98.0	2.0	11.0	
NC_073256.2	-3::NC_073256.2:160461576-160474362	12786	False	0.7131	1				188.0		23.0	44.0	1.0	137.0	468.0		346.0			26.0		35.0		3.0	205.0	1.0	1.0	2.0	479.0		3.0			36.0			155.0	1.0	522.0	2.0	1.0	1.0				1.0	18.0		1.0	12.0		2.0		221.0	7.0	1.0		1.0	1.0	175.0	780.0		3.0	41.0	164.0	131.0	5.0	18.0	
NC_073256.2	3::NC_073256.2:162461573-162469805	8232	False	0.6348	0	21.0			1.0	3.0	3.0	128.0	34.0	20.0	1.0	31.0	3.0			14.0		2.0		5.0		52.0			210.0	12.0		26.0	6.0	134.0			9.0	430.0	2.0	17.0	3.0	3.0		1.0	21.0	5.0	4.0		2.0	3.0		55.0	7.0	8.0	157.0	1.0	14.0			393.0	146.0		231.0	120.0	116.0	124.0	165.0	1.0	
NC_073256.2	-2::NC_073256.2:162784594-162793672	9078	False	0.5003	0				1.0						261.0					1251.0						260.0																													1.0				1250.0		1.0					1.0			
NC_073256.2	3::NC_073256.2:162784595-162793673	9078	False	0.5002	0								1.0		1250.0					1.0						1251.0																									1.0										262.0	260.0							
NC_073254.2	3::NC_073254.2:15616277-15624254	7977	False	0.7433	2	138.0		67.0	1.0	1.0	139.0	82.0	1.0	340.0	5.0	1.0	3.0			1.0	1.0	72.0		204.0		1.0		67.0	2.0	7.0	1.0		2.0	2.0	3.0	72.0	135.0	77.0	1.0	5.0	71.0	2.0		70.0	2.0		3.0	2.0	3.0	264.0	5.0	10.0	14.0	1.0	3.0	71.0	2.0				3.0	1.0	143.0	138.0	75.0	1.0	143.0	128.0	73.0
NC_073254.2	2::NC_073254.2:15616363-15624085	7722	False	0.7479	1	136.0		69.0		1.0	139.0	79.0		335.0	2.0		1.0				2.0	70.0		202.0			1.0	68.0		4.0				3.0	1.0	67.0	132.0	74.0	1.0	1.0	70.0	1.0		68.0		1.0		1.0	1.0	263.0	2.0	8.0	10.0	1.0		72.0				1.0			138.0	133.0	71.0	2.0	140.0	131.0	72.0
