chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_060925.1	1059696	1060245	1	1	+	NC_060925.1	1059791	1060158	MIB2	NM_001170686.4	+	1	2	95	87	5	6	29	29	4	middle	middle	1.000	0.138	constitutive	alternative	142	95	4
NC_060925.1	1059696	1060245	1	1	+	NC_060925.1	1059791	1060158	MIB2	NM_001170687.4	+	1	2	95	87	5	6	29	29	21	middle	middle	1.000	0.724	constitutive	alternative	142	107	21
NC_060925.1	1059696	1060245	1	1	+	NC_060925.1	1059791	1059933	MIB2	XM_054334516.1	+	1	1	95	312	4	4	29	29	29	middle	middle	1.000	1.000	constitutive	constitutive	142	142	4
NC_060925.1	1063725	1064214	1	1	+	NC_060925.1	1063890	1064209	MIB2	NM_001170686.4	+	1	2	165	5	16	17	29	28	28	middle	middle	0.966	0.966	alternative	alternative	181	65	28
NC_060925.1	1064111	1065032	3	1	+	NC_060925.1	1064797	1065032	MIB2	NM_001170686.4	+	3	1	686	0	18	18	29	28	28	last	last	0.966	0.966	alternative	alternative	235	235	28
NC_060925.1	1064111	1065032	3	1	+	NC_060925.1	1064144	1064209	MIB2	NM_001170689.2	+	3	1	33	823	15	15	29	1	1	middle	middle	0.034	0.034	unique	unique	65	65	1
NC_060925.1	1066611	1068417	1	1	+	NC_060925.1	1066723	1067417	MMP23B	NM_006983.2	+	1	2	112	1000	1	2	3	3	3	first	middle	1.000	1.000	constitutive	constitutive	155	130	3
NC_060925.1	1068350	1068830	3	1	+	NC_060925.1	1068493	1068603	MMP23B	NM_006983.2	+	3	1	143	227	6	6	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	110	110	1
NC_060925.1	1068350	1068830	3	1	+	NC_060925.1	1068493	1068829	MMP23B	XM_054339291.1	+	3	2	143	1	6	7	3	3	1	middle	middle	1.000	0.333	constitutive	unique	110	123	1
NC_060925.1	1068350	1068830	3	1	+	NC_060925.1	1068493	1068830	MMP23B	XM_054339292.1	+	3	2	143	0	6	7	3	3	1	middle	last	1.000	0.333	constitutive	unique	110	124	1
NC_060925.1	109302947	109303934	3	1	+	NC_060925.1	109303236	109303835	CELSR2	NM_001408.3	+	3	2	289	99	24	25	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	174	112	1
NC_060925.1	109304077	109304548	2	1	+	NC_060925.1	109304182	109304518	CELSR2	NM_001408.3	+	2	2	105	30	27	28	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	126	122	1
NC_060925.1	109305609	109306467	1	1	+	NC_060925.1	109305629	109306466	CELSR2	NM_001408.3	+	1	3	20	1	31	33	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	194	234	1
NC_060925.1	109662545	109663664	3	1	+	NC_060925.1	109662954	109663514	AMPD2	NM_001257361.2	+	3	2	409	150	15	16	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	173	110	5
NC_060925.1	109687129	109687717	2	1	+	NC_060925.1	109687259	109687555	GSTM4	NM_000850.5	+	2	2	130	162	6	7	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	95	110	4
NC_060925.1	109696528	109697080	2	1	+	NC_060925.1	109696562	109696946	GSTM2	XM_047443675.1	+	2	2	34	134	1	2	1	1	1	first	middle	1.000	1.000	constitutive	constitutive	35	75	1
NC_060925.1	109699637	109700129	3	1	+	NC_060925.1	109699779	109700075	GSTM2	XM_047443675.1	+	3	2	142	54	6	7	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	95	110	1
NC_060925.1	11202454	11202973	2	1	+	NC_060925.1	11202793	11202928	FBXO44	NM_001014765.2	+	2	1	339	45	4	4	22	9	9	middle	middle	0.409	0.409	alternative	alternative	135	135	9
NC_060925.1	11202454	11202973	2	1	+	NC_060925.1	11202590	11202685	FBXO44	NM_001330355.2	+	2	1	136	288	3	3	22	7	7	middle	middle	0.318	0.318	alternative	alternative	95	95	7
NC_060925.1	11224363	11224858	-3	1	-	NC_060925.1	11224409	11224657	MAD2L2	NM_001127325.2	-	3	2	201	46	1	2	3	3	3	first	middle	1.000	1.000	constitutive	constitutive	39	118	3
NC_060925.1	112710818	112711247	3	1	+	NC_060925.1	112710864	112711055	MOV10	NM_001130079.3	+	3	1	46	192	15	15	13	13	13	middle	middle	1.000	1.000	constitutive	constitutive	191	191	12
NC_060925.1	112710818	112711247	3	1	+	NC_060925.1	112710864	112711247	MOV10	XM_054336675.1	+	3	2	46	0	15	16	13	13	1	middle	last	1.000	0.077	constitutive	unique	191	32	1
NC_060925.1	112723007	112723439	-2	1	-	NC_060925.1	112723009	112723400	PPM1J	NM_005167.7	-	2	2	39	2	8	9	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	107	151	1
NC_060925.1	1352306	1353089	-2	1	-	NC_060925.1	1352307	1352853	TMEM52	NM_178545.4	-	2	2	236	1	4	5	3	3	3	middle	last	1.000	1.000	constitutive	constitutive	178	277	3
NC_060925.1	1353465	1353777	-1	1	-	NC_060925.1	1353467	1353678	TMEM52	NM_178545.4	-	1	2	99	2	1	2	3	1	1	first	middle	0.333	0.333	unique	unique	77	49	1
NC_060925.1	1353465	1353777	-1	1	-	NC_060925.1	1353467	1353678	TMEM52	XM_054336258.1	-	1	2	99	2	1	2	3	2	2	first	middle	0.667	0.667	alternative	alternative	74	43	2
NC_060925.1	1361052	1361556	-1	1	-	NC_060925.1	1361169	1361545	CFAP74	NM_001304360.2	-	1	2	11	117	28	29	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	134	109	1
NC_060925.1	144962290	144963262	2	1	+	NC_060925.1	144962444	144962999	NUDT17	NM_001012758.3	+	2	2	154	263	1	2	4	4	3	first	middle	1.000	0.750	constitutive	alternative	191	183	3
NC_060925.1	144962290	144963262	2	1	+	NC_060925.1	144962444	144962635	NUDT17	XM_054334929.1	+	2	1	154	627	1	1	4	4	4	first	first	1.000	1.000	constitutive	constitutive	191	191	1
NC_060925.1	144966908	144967508	-2	1	-	NC_060925.1	144967035	144967389	PIAS3	NM_006099.3	-	2	2	119	127	12	13	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	133	37	1
NC_060925.1	145739552	145739849	-2	1	-	NC_060925.1	145739574	145739783	NBPF9	NM_001037675.4	-	2	2	66	22	1	4	20	20	20	first	middle	1.000	1.000	constitutive	constitutive	172	13	20
NC_060925.1	149048027	149048594	-2	1	-	NC_060925.1	149048028	149048497	SF3B4	NM_005850.5	-	2	2	97	1	5	6	2	2	2	middle	last	1.000	1.000	constitutive	constitutive	173	184	2
NC_060925.1	149391778	149392429	-3	1	-	NC_060925.1	149391992	149392395	APH1A	NM_001077628.3	-	3	2	34	214	4	5	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	122	127	5
NC_060925.1	149634634	149635138	2	1	+	NC_060925.1	149634675	149635022	ECM1	NM_001202858.2	+	2	2	41	116	4	5	3	1	3	middle	middle	0.333	1.000	unique	constitutive	167	80	1
NC_060925.1	149634634	149635138	2	1	+	NC_060925.1	149634762	149635022	ECM1	NM_004425.4	+	2	2	128	116	4	5	3	2	3	middle	middle	0.667	1.000	alternative	constitutive	80	80	2
NC_060925.1	149680645	149681488	2	1	+	NC_060925.1	149680653	149681369	ADAMTSL4	NM_001288607.2	+	2	3	8	119	9	11	20	20	1	middle	middle	1.000	0.050	constitutive	unique	172	73	1
NC_060925.1	149680645	149681488	2	1	+	NC_060925.1	149680653	149681369	ADAMTSL4	NM_001288608.2	+	2	3	8	119	9	11	20	20	19	middle	middle	1.000	0.950	constitutive	alternative	172	185	19
NC_060925.1	150551518	150552187	-3	1	-	NC_060925.1	150551530	150552120	POGZ	NM_001194937.2	-	3	2	67	12	5	6	17	16	6	middle	middle	0.941	0.353	alternative	alternative	290	191	6
NC_060925.1	150551518	150552187	-3	1	-	NC_060925.1	150551530	150552120	POGZ	NM_001410860.1	-	3	2	67	12	6	7	17	16	10	middle	middle	0.941	0.588	alternative	alternative	290	218	10
NC_060925.1	150659302	150659602	2	1	+	NC_060925.1	150659303	150659601	CGN	NM_020770.3	+	2	2	1	1	16	17	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	83	118	2
NC_060925.1	150829154	150829826	-2	1	-	NC_060925.1	150829208	150829747	CELF3	NM_001172648.4	-	2	2	79	54	10	11	5	4	5	middle	middle	0.800	1.000	alternative	constitutive	137	143	4
NC_060925.1	150829154	150829826	-2	1	-	NC_060925.1	150829208	150829744	CELF3	NM_001291106.2	-	2	2	82	54	10	11	5	1	5	middle	middle	0.200	1.000	unique	constitutive	134	143	1
NC_060925.1	151336645	151357084	-3	1	-	NC_060925.1	151336646	151356961	LOC124905679	NM_001422216.1	-	3	4	123	1	1	4	1	1	1	first	last	1.000	1.000	constitutive	constitutive	3762	8788	1
NC_060925.1	151438278	151451310	-1	1	-	NC_060925.1	151438279	151451295	FLG	NM_002016.2	-	1	2	15	1	2	3	1	1	1	middle	last	1.000	1.000	constitutive	constitutive	11549	479	1
NC_060925.1	15182809	15183610	2	1	+	NC_060925.1	15182831	15183466	SLC25A34	NM_207348.3	+	2	2	22	144	3	4	4	4	3	middle	middle	1.000	0.750	constitutive	alternative	152	134	3
NC_060925.1	15182809	15183610	2	1	+	NC_060925.1	15182831	15182983	SLC25A34	XM_054336151.1	+	2	1	22	627	3	3	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	152	152	1
NC_060925.1	152826444	152826852	1	1	+	NC_060925.1	152826453	152826786	NPR1	NM_000906.4	+	1	2	9	66	17	18	3	2	2	middle	middle	0.667	0.667	alternative	alternative	123	68	2
NC_060925.1	152909582	152909966	3	1	+	NC_060925.1	152909594	152909965	INTS3	NM_001324475.2	+	3	2	12	1	27	28	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	100	72	2
NC_060925.1	152910080	152910521	3	1	+	NC_060925.1	152910179	152910521	INTS3	NM_001324475.2	+	3	2	99	0	29	30	2	2	2	middle	last	1.000	1.000	constitutive	constitutive	156	74	2
