clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_AAC	codon_TAC	codon_CTA	codon_ACC	codon_TAT	codon_CAC	codon_CGC	codon_CAT	codon_CTG	codon_GAA	codon_GGG	codon_AAT	codon_ATC	codon_TGC	codon_GTC	codon_TGT	codon_ATG	codon_AAG	codon_ATA	codon_TCT	codon_ACA	codon_ACG	codon_CCA	codon_GTA	codon_TTA	codon_AGA	codon_TGG	codon_AAA	codon_GGA	codon_GCT	codon_CGT	codon_TTG	codon_TCG	codon_CGG	codon_TCC	codon_GTT	codon_GAT	codon_GGC	codon_GGT	codon_AGT	codon_CCG	codon_TTT	codon_CAA	codon_TTC	codon_CTT	codon_ATT	codon_CAG	codon_GTG	codon_TCA	codon_AGG	codon_GCC	codon_CTC	codon_CCC	codon_CGA	codon_GAG	codon_GAC	codon_GCA	codon_GCG	codon_AGC	codon_ACT
NC_073228.2	3::NC_073228.2:3980-11498(+)	7518	False	0.4969	0	48.0	50.0	2.0	1178.0	1176.0	4.0	1.0	1.0	5.0	2.0	3.0	1.0	2.0	4.0	2.0	1.0	1.0	1.0	1.0	2.0	4.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0																											
NC_073228.2	-3::NC_073228.2:4266-11361(-)	7095	False	0.4996	0						1.0			2.0			1174.0			1.0					1.0		1.0			1.0	1174.0	1.0								1.0	1.0	1.0	2.0	1.0	2.0	1.0																				
NC_073228.2	2::NC_073228.2:4267-11338(+)	7071	False	0.4998	0	1175.0	1174.0		1.0																1.0	2.0	1.0		1.0	1.0																	1.0																			
NC_073228.2	-2::NC_073228.2:4270-11449(-)	7179	False	0.4976	0			2.0			2.0			1.0				1.0				4.0	1.0		3.0		1.0	1.0	2.0	1.0	1.0	4.0	2.0					1.0		1.0	1.0	1175.0	2.0	1.0				1.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	1175.0										
NC_073228.2	1::NC_073228.2:11802057-11808867(+)	6810	False	0.6634	0	444.0		1.0	2.0			3.0	1.0	3.0	16.0	1.0		1.0		15.0	82.0	2.0		1.0		148.0		4.0	4.0		1.0	1.0	2.0	1.0	1.0	1.0	108.0			3.0	392.0				3.0	1.0	23.0	1.0	2.0	1.0	1.0	2.0	1.0		2.0		4.0	863.0	125.0	2.0	1.0					
NC_073228.2	-1::NC_073228.2:11802074-11808839(-)	6765	False	0.6653	0			1.0		4.0				2.0		1.0	435.0		1.0			2.0		1.0				78.0	1.0		1.0	558.0	5.0		145.0	2.0	3.0		1.0	111.0				14.0	1.0	2.0	3.0			1.0		1.0	15.0	4.0		322.0	1.0				511.0	27.0	1.0			
NC_073228.2	-3::NC_073228.2:11802078-11808807(-)	6729	False	0.6661	0					3.0					1.0	1.0	124.0	1.0					2.0	1.0			1.0	108.0	1.0	1.0		146.0	4.0		392.0		4.0		2.0	23.0	1.0			3.0			3.0	1.0		1.0	1.0		14.0	3.0		441.0					862.0	82.0	14.0	1.0	1.0	
NC_073228.2	2::NC_073228.2:11802079-11808826(+)	6747	False	0.6659	0	121.0	2.0	1.0				4.0		1.0	2.0				2.0	13.0	112.0	1.0		1.0		404.0		3.0	4.0		1.0	1.0				1.0	23.0			4.0	541.0		1.0		4.0		79.0	1.0								1.0	15.0	587.0	316.0		1.0	1.0				1.0
NC_073228.2	-2::NC_073228.2:11802082-11808874(-)	6792	False	0.6646	0	1.0	1.0			4.0						1.0	316.0		2.0		1.0		2.0			1.0	1.0	23.0		1.0		404.0	4.0	2.0	542.0		3.0			80.0	1.0	3.0	2.0	15.0		1.0	4.0			1.0	1.0	1.0	3.0	4.0	1.0	121.0		1.0			588.0	112.0	14.0		1.0	1.0
NC_073228.2	3::NC_073228.2:11802083-11808896(+)	6813	False	0.6637	0	322.0		1.0		2.0		4.0			15.0	1.0				2.0	28.0		4.0			557.0	3.0	3.0	5.0	1.0			1.0	1.0			78.0	1.0		3.0	146.0	1.0	1.0	1.0	4.0	1.0	111.0	1.0		1.0	1.0	2.0			1.0		14.0	512.0	435.0	2.0	1.0				2.0	2.0
NC_073228.2	3::NC_073228.2:158858669-158868704(+)	10035	False	0.2357	0			213.0			561.0	187.0		298.0				7.0		87.0		217.0	107.0		559.0		397.0	1.0		117.0	107.0							96.0											2.0			205.0		96.0									88.0			
NC_073228.2	1::NC_073228.2:158859195-158868738(+)	9543	False	0.2378	0			201.0			535.0	181.0		286.0				3.0		88.0		196.0	99.0		531.0		383.0	1.0		108.0	101.0						1.0	94.0											2.0			192.0		92.0									87.0			
NC_073228.2	2::NC_073228.2:158859259-158868676(+)	9417	False	0.2391	0			197.0			528.0	182.0		282.0				2.0		88.0		195.0	103.0		515.0		379.0			105.0	98.0						1.0	93.0											2.0			192.0		89.0									88.0			
NC_073235.2	-1::NC_073235.2:4143-10227(-)	6084	False	0.5002	0												526.0													1.0	526.0											486.0			2.0											487.0										
NC_073235.2	2::NC_073235.2:4144-10228(+)	6084	False	0.5003	0	527.0	526.0		487.0	487.0																																																	1.0							
NC_073245.2	-1::NC_073245.2:1907-8270(-)	6363	False	0.5034	0												387.0													1.0	366.0											693.0			1.0											673.0										
NC_073245.2	1::NC_073245.2:1908-8271(+)	6363	False	0.5035	0	366.0	366.0		672.0	694.0																			21.0																						1.0								1.0							
NC_073234.2	-3::NC_073234.2:2880-8256(-)	5376	False	0.5011	0												21.0														22.0											867.0			8.0											874.0										
NC_073234.2	2::NC_073234.2:2881-8257(+)	5376	False	0.5013	0	22.0	22.0		874.0	867.0																																																	7.0							
NC_073234.2	-1::NC_073234.2:3011-8267(-)	5256	False	0.5013	0												873.0													7.0	867.0											1.0			2.0											2.0										
NC_073234.2	1::NC_073234.2:3012-8268(+)	5256	False	0.5015	0	874.0	867.0		2.0	8.0																																																	1.0							
NC_073234.2	2::NC_073234.2:146051227-146059474(+)	8247	False	0.5236	0	140.0	2.0	10.0	1.0	461.0	5.0	482.0		315.0	2.0		1.0		304.0	2.0	3.0	3.0	1.0	1.0	2.0	4.0	9.0	1.0	349.0	3.0	4.0			2.0	1.0	1.0	2.0				1.0	3.0	2.0					9.0	4.0	3.0	4.0	7.0	3.0	1.0	451.0		1.0	137.0	1.0	1.0	2.0	1.0			2.0	5.0
NC_073234.2	1::NC_073234.2:146051436-146059089(+)	7653	False	0.5329	0	136.0	2.0	1.0	1.0	470.0	1.0	449.0		280.0					299.0			2.0			1.0		1.0	1.0	337.0																2.0							1.0			432.0			135.0								
NC_073234.2	3::NC_073234.2:146051453-146059319(+)	7866	False	0.5283	0	137.0	1.0	2.0	3.0	476.0	2.0	474.0		306.0					302.0				2.0			2.0	3.0		316.0	2.0	4.0		1.0	1.0				1.0		1.0	2.0						2.0	5.0	1.0	1.0	1.0	3.0			429.0			136.0				1.0				5.0
NC_073237.2	-3::NC_073237.2:125847164-125852939(-)	5775	False	0.6519	2	139.0	7.0	2.0	6.0	325.0	4.0	278.0	4.0	39.0	12.0	6.0	7.0	2.0	47.0	8.0	8.0	3.0	2.0	6.0	1.0	15.0	7.0	6.0	347.0	1.0	2.0	9.0	8.0	3.0	6.0	4.0	5.0	1.0	3.0	1.0	181.0	2.0	3.0	6.0	5.0	2.0	5.0	4.0	12.0	16.0	14.0	3.0	10.0	5.0	13.0	15.0	13.0	121.0	135.0	2.0	16.0	2.0	7.0		4.0	5.0
NC_073246.2	-2::NC_073246.2:59499021-59507247(-)	8226	False	0.5006	1	1038.0	1037.0		331.0	332.0																																							1.0										3.0							
NC_073246.2	2::NC_073246.2:59499022-59507248(+)	8226	False	0.5005	1												1039.0													1.0	1037.0		1.0									331.0			2.0											331.0										
NC_073246.2	-3::NC_073246.2:59501273-59507312(-)	6039	False	0.5004	1	11.0	11.0		995.0	994.0																																																	2.0							
NC_073246.2	1::NC_073246.2:59501274-59507314(+)	6040	False	0.5003	1												12.0														11.0											994.0			1.0											995.0										
NC_073244.2	3::NC_073244.2:128-6071(+)	5943	False	0.5033	0	58.0	57.0	1.0	913.0	932.0					12.0																																				1.0							6.0	1.0							
NC_073244.2	-3::NC_073244.2:133-6070(-)	5937	False	0.5033	0												58.0				12.0									1.0	57.0											913.0												6.0		932.0										
NC_073244.2	2::NC_073244.2:607-6064(+)	5457	False	0.5036	0	909.0	890.0	1.0				6.0																																															1.0			12.0				
NC_073244.2	-1::NC_073244.2:612-5787(-)	5175	False	0.5003	0												863.0														862.0																																			
