chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_071985.2	100399571	100400219	3	1	+	NC_071985.2	100399606	100400006	APH1A	XM_009244839.4	+	3	2	35	213	4	5	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	122	127	2
NC_071985.2	100744921	100745575	2	1	+	NC_071985.2	100745106	100745575	SF3B4	XM_024250558.3	+	2	2	185	0	5	6	1	1	1	middle	last	1.000	1.000	constitutive	constitutive	173	184	1
NC_071985.2	111716	112169	3	1	+	NC_071985.2	112016	112147	ZNF692	XM_024246294.3	+	3	1	300	22	5	5	6	4	4	middle	middle	0.667	0.667	alternative	alternative	131	131	4
NC_071985.2	111716	112169	3	1	+	NC_071985.2	111891	112147	ZNF692	XM_054560493.2	+	3	2	175	22	1	2	6	1	1	first	middle	0.167	0.167	unique	unique	33	93	1
NC_071985.2	111820246	111820846	2	1	+	NC_071985.2	111820366	111820720	PIAS3	XM_002810321.5	+	2	2	120	126	12	13	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	133	37	1
NC_071985.2	120022786	120023437	2	1	+	NC_071985.2	120022813	120023436	PPM1J	XM_002810421.6	+	2	3	27	1	7	9	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	63	151	1
NC_071985.2	162026944	162027238	2	1	+	NC_071985.2	162026977	162027228	ZRANB2	NM_001134156.1	+	2	2	33	10	2	3	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	52	108	1
NC_071985.2	178971272	178971734	3	1	+	NC_071985.2	178971381	178971626	SSBP3	XM_024246597.3	+	3	2	109	108	8	9	13	13	13	middle	middle	1.000	1.000	constitutive	constitutive	66	76	13
NC_071985.2	178992494	178993373	3	1	+	NC_071985.2	178992564	178993133	SSBP3	XM_024246597.3	+	3	2	70	240	15	17	13	13	13	middle	middle	1.000	1.000	constitutive	constitutive	78	101	13
NC_071985.2	187116604	187116910	2	1	+	NC_071985.2	187116605	187116874	POMGNT1	NM_001133834.1	+	2	2	1	36	4	5	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	65	113	3
NC_071985.2	187117705	187118317	2	1	+	NC_071985.2	187117727	187118135	POMGNT1	NM_001133834.1	+	2	2	22	182	6	7	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	117	98	3
NC_071985.2	187684898	187685393	3	1	+	NC_071985.2	187685035	187685392	GPBP1L1	XM_024256443.2	+	3	2	137	1	17	18	9	7	7	middle	middle	0.778	0.778	alternative	alternative	118	97	7
NC_071985.2	188474806	188476039	2	1	+	NC_071985.2	188474932	188475719	PTCH2	XM_009251044.4	+	2	2	126	320	14	15	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	348	312	1
NC_071985.2	188475723	188476725	1	1	+	NC_071985.2	188475812	188476219	PTCH2	XM_009251044.4	+	1	2	89	506	16	17	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	142	180	1
NC_071985.2	188476117	188476972	2	1	+	NC_071985.2	188476353	188476882	PTCH2	XM_009251044.4	+	2	2	236	90	18	19	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	280	137	1
NC_071985.2	188515133	188515940	3	1	+	NC_071985.2	188515261	188515883	BEST4	XM_002810909.5	+	3	2	128	57	3	4	5	3	5	middle	middle	0.600	1.000	alternative	constitutive	233	154	3
NC_071985.2	188515133	188515940	3	1	+	NC_071985.2	188515729	188515883	BEST4	XM_063719202.1	+	3	1	596	57	3	3	5	5	5	middle	middle	1.000	1.000	constitutive	constitutive	154	154	2
NC_071985.2	188516971	188517748	2	1	+	NC_071985.2	188516972	188517748	BEST4	XM_002810909.5	+	2	2	1	0	7	9	5	5	5	middle	last	1.000	1.000	constitutive	constitutive	80	270	5
NC_071985.2	188948058	188948625	1	1	+	NC_071985.2	188948449	188948583	ERI3	XM_024247570.3	+	1	1	391	42	1	1	20	8	8	first	first	0.400	0.400	alternative	alternative	134	134	8
NC_071985.2	188948058	188948625	1	1	+	NC_071985.2	188948074	188948215	ERI3	XM_054535968.1	+	1	1	16	410	1	1	20	3	3	first	first	0.150	0.150	alternative	alternative	141	141	3
NC_071985.2	189865675	189866005	2	1	+	NC_071985.2	189865676	189865891	HYI	XM_002810939.6	+	2	2	1	114	4	5	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	78	49	1
NC_071985.2	1909850	1910459	3	1	+	NC_071985.2	1909951	1910313	LINC02897	XM_054549871.2	+	3	2	101	146	3	5	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	112	96	1
NC_071985.2	1910050	1910374	2	1	+	NC_071985.2	1910066	1910374	LINC02897	XM_054549871.2	+	2	2	16	0	4	6	1	1	1	middle	last	1.000	1.000	constitutive	constitutive	149	58	1
NC_071985.2	193197553	193197775	2	1	+	NC_071985.2	193197584	193197766	COL9A2	XM_024251520.3	+	2	2	31	9	3	4	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	35	62	1
NC_071985.2	193200221	193200596	3	1	+	NC_071985.2	193200276	193200491	COL9A2	XM_024251520.3	+	3	2	55	105	9	10	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	53	47	1
NC_071985.2	193207439	193207835	3	1	+	NC_071985.2	193207467	193207676	COL9A2	XM_024251520.3	+	3	2	28	159	23	24	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	53	71	1
NC_071985.2	195808329	195808776	1	1	+	NC_071985.2	195808356	195808687	EPHA10	XM_024232733.3	+	1	2	27	89	9	10	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	61	125	2
NC_071985.2	201779229	201779820	1	1	+	NC_071985.2	201779395	201779728	SPOCD1	XM_024239068.3	+	1	2	166	92	4	5	9	9	9	middle	middle	1.000	1.000	constitutive	constitutive	125	54	9
NC_071985.2	201837778	201838390	2	1	+	NC_071985.2	201837867	201838219	ADGRB2	NM_001132773.1	+	2	2	89	171	7	8	15	15	15	middle	middle	1.000	1.000	constitutive	constitutive	101	106	15
NC_071985.2	201839028	201839739	1	1	+	NC_071985.2	201839053	201839668	ADGRB2	NM_001132773.1	+	1	3	25	71	9	11	15	15	15	middle	middle	1.000	1.000	constitutive	constitutive	194	108	15
NC_071985.2	206302908	206303370	1	1	+	NC_071985.2	206302939	206303369	MAP3K6	XM_002811204.5	+	1	2	31	1	20	21	6	6	6	middle	middle	1.000	1.000	constitutive	constitutive	192	138	6
NC_071985.2	207473760	207474222	-3	1	-	NC_071985.2	207473893	207474109	CNKSR1	XM_054539763.2	-	3	2	113	133	10	11	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	70	73	2
NC_071985.2	207491968	207492421	2	1	+	NC_071985.2	207492041	207492333	C1H1orf232	XM_024245124.2	+	2	2	73	88	2	3	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	83	97	1
NC_071985.2	210136521	210137238	1	1	+	NC_071985.2	210136538	210137146	ASAP3	XM_024234130.3	+	1	3	17	92	20	22	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	67	195	2
NC_071985.2	211567887	211569588	1	1	+	NC_071985.2	211568083	211569074	LOC134759804	XM_063714477.1	+	1	2	196	514	1	2	1	1	1	first	middle	1.000	1.000	constitutive	constitutive	383	421	1
NC_071985.2	211750123	211750741	2	1	+	NC_071985.2	211750247	211750651	HSPG2	XM_024250648.3	+	2	2	124	90	60	61	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	135	151	7
NC_071985.2	211766852	211767458	3	1	+	NC_071985.2	211766970	211767317	HSPG2	XM_024250648.3	+	3	2	118	141	83	84	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	99	109	7
NC_071985.2	211769922	211770609	1	1	+	NC_071985.2	211770106	211770502	HSPG2	XM_024250648.3	+	1	2	184	107	89	90	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	171	122	7
NC_071985.2	211773697	211774228	2	1	+	NC_071985.2	211773919	211774227	HSPG2	XM_024250648.3	+	2	2	222	1	93	94	7	7	3	middle	middle	1.000	0.429	constitutive	alternative	78	70	3
NC_071985.2	211773697	211774228	2	1	+	NC_071985.2	211773919	211774227	HSPG2	XM_054546725.2	+	2	2	222	1	93	94	7	7	4	middle	middle	1.000	0.571	constitutive	alternative	78	106	4
NC_071985.2	212874818	212875361	3	1	+	NC_071985.2	212875021	212875360	DDOST	XM_024250887.3	+	3	2	203	1	4	5	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	103	94	1
NC_071985.2	212877809	212878415	3	1	+	NC_071985.2	212877828	212878415	DDOST	XM_024250887.3	+	3	3	19	0	9	11	1	1	1	middle	last	1.000	1.000	constitutive	constitutive	120	146	1
NC_071985.2	214248935	214249535	3	1	+	NC_071985.2	214248982	214249466	LOC100939526	XM_024251104.3	+	3	2	47	69	2	3	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	187	104	1
NC_071985.2	214270231	214270828	2	1	+	NC_071985.2	214270275	214270759	LOC100456442	XM_024251126.3	+	2	2	44	69	2	3	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	187	104	1
NC_071985.2	214285612	214286254	2	1	+	NC_071985.2	214285701	214286185	LOC100456086	XM_002811379.5	+	2	2	89	69	2	3	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	187	104	1
NC_071985.2	214357025	214357490	3	1	+	NC_071985.2	214357056	214357442	UBR4	XM_024251135.3	+	3	2	31	48	4	5	16	16	16	middle	middle	1.000	1.000	constitutive	constitutive	129	139	16
NC_071985.2	214681875	214682640	1	1	+	NC_071985.2	214681949	214682358	ALDH4A1	NM_001132369.2	+	1	2	74	282	6	7	8	8	8	middle	middle	1.000	1.000	constitutive	constitutive	196	47	8
NC_071985.2	21509508	21509928	1	1	+	NC_071985.2	21509532	21509910	C1H1orf35	XM_002809353.6	+	1	2	24	18	3	5	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	45	72	1
NC_071985.2	216580215	216580605	1	1	+	NC_071985.2	216580240	216580528	ATP13A2	XM_024251445.3	+	1	2	25	77	9	10	15	12	15	middle	middle	0.800	1.000	alternative	constitutive	134	66	12
NC_071985.2	216580215	216580605	1	1	+	NC_071985.2	216580267	216580528	ATP13A2	XM_054556183.2	+	1	2	52	77	9	10	15	3	15	middle	middle	0.200	1.000	alternative	constitutive	107	66	3
NC_071985.2	216584124	216584880	1	1	+	NC_071985.2	216584246	216584766	ATP13A2	XM_024251445.3	+	1	2	122	114	13	15	15	15	15	middle	middle	1.000	1.000	constitutive	constitutive	110	188	15
NC_071985.2	216590418	216591267	1	1	+	NC_071985.2	216590426	216590826	ATP13A2	XM_024251445.3	+	1	2	8	441	21	22	15	15	11	middle	middle	1.000	0.733	constitutive	alternative	160	116	11
NC_071985.2	216590418	216591267	1	1	+	NC_071985.2	216590426	216590586	ATP13A2	XM_054556190.2	+	1	1	8	681	21	21	15	15	15	middle	middle	1.000	1.000	constitutive	constitutive	160	160	4
NC_071985.2	217786008	217786989	1	1	+	NC_071985.2	217786102	217786641	ZBTB17	XM_002811433.4	+	1	2	94	348	6	7	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	142	300	7
NC_071985.2	217788482	217788980	3	1	+	NC_071985.2	217788511	217788980	ZBTB17	XM_002811433.4	+	3	2	29	0	13	14	7	4	7	middle	last	0.571	1.000	alternative	constitutive	110	280	4
NC_071985.2	217788482	217788980	3	1	+	NC_071985.2	217788532	217788980	ZBTB17	XM_002811434.4	+	3	2	50	0	13	14	7	3	7	middle	last	0.429	1.000	alternative	constitutive	89	280	3
NC_071985.2	222536164	222536695	2	1	+	NC_071985.2	222536366	222536614	MAD2L2	XM_003775811.5	+	2	2	202	81	1	2	5	5	5	first	middle	1.000	1.000	constitutive	constitutive	39	118	5
NC_071985.2	225201153	225201723	1	1	+	NC_071985.2	225201154	225201652	SLC2A5	NM_001131310.1	+	1	2	1	71	9	10	10	10	10	middle	middle	1.000	1.000	constitutive	constitutive	101	75	10
NC_071985.2	227752520	227753162	3	1	+	NC_071985.2	227752731	227753051	PLEKHG5	XM_024253883.3	+	3	2	211	111	12	13	9	9	9	middle	middle	1.000	1.000	constitutive	constitutive	50	149	9
NC_071985.2	227753282	227754119	3	1	+	NC_071985.2	227753442	227753807	PLEKHG5	XM_024253883.3	+	3	2	160	312	14	15	9	9	9	middle	middle	1.000	1.000	constitutive	constitutive	110	149	9
