chr	start	end	length	zscore
NC_060925.1	112877	354074	241197	0.28741153581874385
NC_060925.1	372892	373438	546	-0.21820254332004033
NC_060925.1	388025	389483	1458	-0.2162864073381638
NC_060925.1	393903	395242	1339	-0.21653642946737794
NC_060925.1	403281	404883	1602	-0.2159838595515517
NC_060925.1	411006	429216	18210	-0.18109001482895787
NC_060925.1	430128	443704	13576	-0.19082617068423846
NC_060925.1	444606	450299	5693	-0.2073885609749542
NC_060925.1	485461	501913	16452	-0.1847836190571804
NC_060925.1	502660	511508	8848	-0.20075982301133524
NC_060925.1	520157	602916	82759	-0.04547086845379475
NC_060925.1	626225	632050	5825	-0.20711122550389313
NC_060925.1	635028	640014	4986	-0.2088739865661677
NC_060925.1	642584	645971	3387	-0.21223352761333938
NC_060925.1	657250	660735	3485	-0.2120276270363395
NC_060925.1	661722	670992	9270	-0.19987318991445815
NC_060925.1	675623	684203	8580	-0.20132289805864106
NC_060925.1	696999	709668	12669	-0.1927318015346354
NC_060925.1	723133	725092	1959	-0.21523379316390925
NC_060925.1	739364	740194	830	-0.21760585185199982
NC_060925.1	743208	743412	204	-0.21892109431324402
NC_060925.1	756193	758495	2302	-0.2145131411444096
NC_060925.1	759345	762930	3585	-0.21181752440674778
NC_060925.1	766046	767729	1683	-0.21581367642158242
NC_060925.1	780691	783849	3158	-0.21271466263510444
NC_060925.1	791820	804352	12532	-0.19301964213717607
NC_060925.1	805305	819168	13863	-0.19022317613731018
NC_060925.1	831236	834015	2779	-0.2135109516012571
NC_060925.1	839147	851032	11885	-0.19437900615063453
NC_060925.1	852935	858056	5121	-0.20859034801621887
NC_060925.1	861668	867592	5924	-0.20690322390059732
NC_060925.1	869507	870108	601	-0.21808698687376488
NC_060925.1	874144	885055	10911	-0.19642540576285794
NC_060925.1	902900	906255	3355	-0.21230076045480875
NC_060925.1	943852	946772	2920	-0.21321470689353275
NC_060925.1	968573	969865	1292	-0.21663517770328605
NC_060925.1	974850	976572	1722	-0.21573173639604162
NC_060925.1	1009063	1033843	24780	-0.16728627206478147
NC_060925.1	1034521	1049964	15443	-0.18690355458976093
NC_060925.1	1065032	1066722	1690	-0.215798969237511
NC_060925.1	1069123	1070253	1130	-0.21697554396322466
NC_060925.1	1091936	1100224	8288	-0.2019363977370489
NC_060925.1	1111139	1137341	26202	-0.16429861267198714
NC_060925.1	1157204	1187324	30120	-0.1560667916445833
NC_060925.1	1199805	1221711	21906	-0.1733246216392477
NC_060925.1	1259840	1349702	89862	-0.03054727867389446
NC_060925.1	1351612	1352306	694	-0.21789159142824457
NC_060925.1	1353678	1356706	3028	-0.21298779605357368
NC_060925.1	1426100	1454975	28875	-0.15868256938300032
NC_060925.1	1465831	1484138	18307	-0.1808862152782539
NC_060925.1	1619981	1620255	274	-0.21877402247252983
NC_060925.1	1641370	1664175	22805	-0.17143579899921807
NC_060925.1	1742727	1757317	14590	-0.18869573002017834
NC_060925.1	1830802	1835101	4299	-0.21031739163146285
NC_060925.1	1842711	1845358	2647	-0.21378828707231817
NC_060925.1	1852092	1867251	15159	-0.18750024605780144
NC_060925.1	1946299	1949938	3639	-0.21170406898676825
NC_060925.1	1968231	1971115	2884	-0.21329034384018578
NC_060925.1	1971808	1998308	26500	-0.1636725068358038
NC_060925.1	2004914	2028440	23526	-0.16992095903986174
NC_060925.1	2031121	2032637	1516	-0.2161645478130006
NC_060925.1	2071135	2082614	11479	-0.19523202282677693
NC_060925.1	2300597	2523306	222709	0.24856776165982558
NC_060925.1	2524437	2570992	46555	-0.12153642447118318
NC_060925.1	2938611	2964265	25654	-0.1654499750821498
NC_060925.1	2987604	2997543	9939	-0.19846760332248953
NC_060925.1	3134506	3135167	661	-0.21796092529600986
NC_060925.1	3138696	3141050	2354	-0.21440388777702193
NC_060925.1	3159880	3192213	32333	-0.15141722045171843
NC_060925.1	3244675	3264082	19407	-0.1785750863527449
NC_060925.1	3283116	3286966	3850	-0.2112607524383297
NC_060925.1	3287511	3292683	5172	-0.2084831956751271
NC_060925.1	3308073	3327002	18929	-0.17957937692219336
NC_060925.1	3367565	3369201	1636	-0.21591242465749053
NC_060925.1	3395642	3401866	6224	-0.20627291601182213
NC_060925.1	3412090	4169149	757059	1.3712511628832127
NC_060925.1	4288417	5387497	1099080	2.0898462776391296
NC_060925.1	5512115	5566242	54127	-0.1056274533584977
NC_060925.1	5624255	5631970	7715	-0.2031402858046095
NC_060925.1	5705669	5712320	6651	-0.20537577778346547
NC_060925.1	5725219	5732179	6960	-0.20472656065802702
NC_060925.1	5745048	5750726	5678	-0.20742007636939297
NC_060925.1	5761555	5770009	8454	-0.20158762737192665
NC_060925.1	5771148	5774984	3836	-0.21129016680647256
NC_060925.1	5780549	5790243	9694	-0.19898235476498924
NC_060925.1	5919040	5944516	25476	-0.16582395776282308
NC_060925.1	5945461	5950596	5135	-0.20856093364807604
NC_060925.1	5986824	5987078	254	-0.21881604299844817
NC_060925.1	5991749	5993207	1458	-0.2162864073381638
NC_060925.1	6022160	6051505	29345	-0.1576950870239192
NC_060925.1	6080160	6081031	871	-0.21751970977386723
NC_060925.1	6105245	6106273	1028	-0.21718984864540822
NC_060925.1	6114873	6119031	4158	-0.2106136363391872
NC_060925.1	6128481	6139730	11249	-0.1957152588748379
NC_060925.1	6147298	6150882	3584	-0.2118196254330437
NC_060925.1	6159749	6161341	1592	-0.21600486981451086
NC_060925.1	6227466	6313370	85904	-0.03886314075313497
NC_060925.1	7297565	7302429	4864	-0.2091303117742696
NC_060925.1	7310688	7315923	5235	-0.2083508310184843
NC_060925.1	7373799	7378815	5016	-0.2088109557772902
NC_060925.1	7384474	7451712	67238	-0.07808089759272652
NC_060925.1	7470856	7493729	22873	-0.1712929292110957
NC_060925.1	7515990	7544141	28151	-0.1602037124212444
NC_060925.1	7546548	7856514	309966	0.4318970131626778
NC_060925.1	7876514	7887931	11417	-0.1953622864571238
NC_060925.1	8189865	8394826	204961	0.21127874695988608
NC_060925.1	8408378	8479562	71184	-0.06979024782903702
NC_060925.1	8508371	8526344	17973	-0.18158795806109027
NC_060925.1	8559985	8571239	11254	-0.19570475374335833
NC_060925.1	8603425	8638471	35046	-0.1457171361108949
NC_060925.1	8663271	8774639	111368	0.014637392846102102
NC_060925.1	8799484	8890749	91265	-0.02759953878072255
NC_060925.1	8902430	9076027	173597	0.14538215821473718
NC_060925.1	9118837	9125274	6437	-0.20582539741079175
NC_060925.1	9149494	9150959	1465	-0.21627170015409236
NC_060925.1	9158545	9253235	94690	-0.020403523717205937
NC_060925.1	9269826	9273293	3467	-0.21206544550966602
NC_060925.1	9366651	9393631	26980	-0.1626640142137635
NC_060925.1	9429563	9465171	35608	-0.1445363593325894
NC_060925.1	9485640	9515135	29495	-0.1573799330795316
NC_060925.1	9558883	9576724	17841	-0.18186529353215133
NC_060925.1	9723002	9775926	52924	-0.10815498799248616
NC_060925.1	9920187	9942726	22539	-0.17199467199393206
NC_060925.1	9963362	9974132	10770	-0.19672165047058227
NC_060925.1	9995208	10005106	9898	-0.19855374540062212
NC_060925.1	10016066	10018574	2508	-0.21408032972745067
NC_060925.1	10173581	10182539	8958	-0.20052871011878434
NC_060925.1	10237936	10486986	249050	0.3039108953205821
NC_060925.1	10523262	10554985	31723	-0.15269884649222795
NC_060925.1	10563924	10568166	4242	-0.21043715013033015
NC_060925.1	10588769	10596431	7662	-0.20325164019829312
NC_060925.1	10601507	10608285	6778	-0.20510894744388397
NC_060925.1	10641402	10649058	7656	-0.20326424635606863
NC_060925.1	10801000	10815124	14124	-0.1896748082740758
NC_060925.1	10836493	11043930	207437	0.2164808880685772
NC_060925.1	11081011	11192732	111721	0.015379055128560894
NC_060925.1	11198392	11199894	1502	-0.21619396218114342
NC_060925.1	11205361	11212717	7356	-0.2038945542448438
NC_060925.1	11217916	11218845	929	-0.217397850248704
NC_060925.1	11224657	11230770	6113	-0.20650612993066894
NC_060925.1	11263767	11280303	16536	-0.18460713284832336
NC_060925.1	11294283	11307807	13524	-0.19093542405162614
NC_060925.1	11333538	11334624	1086	-0.217067989120245
NC_060925.1	11347598	11350346	2748	-0.21357608341643053
NC_060925.1	11384301	11390097	5796	-0.20717215526647473
NC_060925.1	11391769	11401753	9984	-0.19837305713917325
NC_060925.1	11402929	11464433	61504	-0.09012818237351608
NC_060925.1	11470354	11478899	8545	-0.20139643397899817
NC_060925.1	11518924	11533297	14373	-0.1891516527263924
NC_060925.1	11555698	11565850	10152	-0.19802008472145916
NC_060925.1	11575949	11607737	31788	-0.15256227978299333
NC_060925.1	11686663	11711214	24551	-0.16776740708654653
NC_060925.1	11751145	11778402	27257	-0.16208202992979442
NC_060925.1	12053164	12112463	59299	-0.09476094535601363
NC_060925.1	12161487	12188693	27206	-0.16218918227088622
NC_060925.1	12210883	12260327	49444	-0.11546655950227822
NC_060925.1	12270109	12290528	20419	-0.17644884774127664
NC_060925.1	12305030	12319141	14111	-0.1897021216159227
NC_060925.1	12321870	12337515	15645	-0.18647914727798565
NC_060925.1	12340281	12368955	28674	-0.15910487566847967
NC_060925.1	12372802	12391421	18619	-0.18023069507392772
NC_060925.1	12392300	12403015	10715	-0.19683720691685772
NC_060925.1	12405782	12423502	17720	-0.18211951771395732
NC_060925.1	12427350	12436885	9535	-0.1993164179460401
NC_060925.1	12439814	12461611	21797	-0.17355363350550268
NC_060925.1	12464329	12482599	18270	-0.18096395325120285
NC_060925.1	12486440	12519593	33153	-0.14969437888906628
NC_060925.1	12522365	12546121	23756	-0.16943772299180077
NC_060925.1	12548885	12566466	17581	-0.18241156036908984
NC_060925.1	12570315	12580140	9825	-0.19870712032022408
NC_060925.1	12581019	12592507	11488	-0.19521311359011367
NC_060925.1	12596368	12629258	32890	-0.1502469488048925
NC_060925.1	12630137	12668183	38046	-0.13941405722314312
NC_060925.1	12672731	12700501	27770	-0.1610042034399889
NC_060925.1	12704341	12722607	18266	-0.1809723573563865
NC_060925.1	12725325	12747191	21866	-0.17340866269108438
NC_060925.1	12750121	12759644	9523	-0.1993416302615911
NC_060925.1	12763498	12783737	20239	-0.17682703247454176
NC_060925.1	12786521	12810343	23822	-0.16929905525627023
NC_060925.1	12813174	12830933	17759	-0.18203757768841655
NC_060925.1	12833775	12857619	23844	-0.16925283267776003
NC_060925.1	12862525	12917757	55232	-0.10330581930150913
NC_060925.1	12955507	13025765	70258	-0.0717357981790564
NC_060925.1	13057851	13157708	99857	-0.009547520846201462
NC_060925.1	13265291	13335815	70524	-0.0711769251843424
NC_060925.1	14558710	14659171	100461	-0.008278500963467437
NC_060925.1	14663824	14681079	17255	-0.18309649494155886
NC_060925.1	14842164	14854720	12556	-0.19296921750607404
NC_060925.1	14873467	14883179	9712	-0.19894453629166273
NC_060925.1	14891490	14901471	9981	-0.198379360218061
NC_060925.1	14916705	14920825	4120	-0.21069347533843205
NC_060925.1	14936009	14937645	1636	-0.21591242465749053
NC_060925.1	14968898	14973803	4905	-0.209044169696137
NC_060925.1	15012870	15018349	5479	-0.2078381806022805
NC_060925.1	15029679	15062383	32704	-0.15063773969593314
NC_060925.1	15101360	15104599	3239	-0.21254447950513516
NC_060925.1	15106450	15126330	19880	-0.17758130091477606
NC_060925.1	15178669	15181223	2554	-0.21398368251783847
NC_060925.1	15184141	15187296	3155	-0.2127209657139922
NC_060925.1	15192369	15209722	17353	-0.18289059436455896
NC_060925.1	15229397	15252144	22747	-0.17155765852438126
NC_060925.1	15252417	15289333	36916	-0.14178821693752963
NC_060925.1	15380704	15383251	2547	-0.2139983897019099
NC_060925.1	15389775	15445619	55844	-0.10201999120840777
NC_060925.1	15447659	15456893	9234	-0.19994882686111118
NC_060925.1	15460780	15463930	3150	-0.21273147084547178
NC_060925.1	15474965	15485804	10839	-0.196576679656164
NC_060925.1	15498294	15499820	1526	-0.21614353755004143
NC_060925.1	15514822	15566625	51803	-0.11051023847020941
NC_060925.1	15597328	15639937	42609	-0.1298270742348727
NC_060925.1	15650384	15673385	23001	-0.1710239978452183
NC_060925.1	15678076	15692007	13931	-0.19008030634918782
NC_060925.1	15756895	15808792	51897	-0.11031274199839318
NC_060925.1	15836670	15840300	3630	-0.2117229782234315
NC_060925.1	15873049	15882442	9393	-0.19961476368006034
NC_060925.1	15900679	15980763	80084	-0.05109111379537341
NC_060925.1	15981270	16005625	24355	-0.16817920824054633
NC_060925.1	16054082	16092535	38453	-0.1385589395207048
NC_060925.1	16093561	16133238	39677	-0.13598728333450208
NC_060925.1	16133745	16158428	24683	-0.16749007161548546
NC_060925.1	16219449	16307815	88366	-0.03369041401258668
NC_060925.1	16308322	16388592	80270	-0.0507003229043328
NC_060925.1	16389099	16608269	219170	0.24113222959857442
NC_060925.1	16654413	16732465	78052	-0.05536039922867728
NC_060925.1	16782870	16785349	2479	-0.21414125949003227
NC_060925.1	16788700	16796410	7710	-0.2031507909360891
NC_060925.1	16822159	16829312	7153	-0.204321062582915
NC_060925.1	16864456	16879481	15025	-0.18778178358145434
NC_060925.1	16929825	17016503	86678	-0.03723694640009501
NC_060925.1	17055475	17060373	4898	-0.2090588768802084
NC_060925.1	17094307	17122280	27973	-0.1605776951019177
NC_060925.1	17177701	17186194	8493	-0.20150568734638588
NC_060925.1	17215382	17223039	7657	-0.20326214532977271
NC_060925.1	17252542	17394582	142040	0.07908007139447626
NC_060925.1	17512669	17638395	125726	0.0448039284028821
NC_060925.1	17641903	17928248	286345	0.3822686710268163
NC_060925.1	18198384	18301080	102696	-0.0035827071920923642
NC_060925.1	18303411	18451665	148254	0.0921358487973061
NC_060925.1	18564990	18659396	94406	-0.02100021518524644
NC_060925.1	18679451	18692631	13180	-0.1916581770974217
NC_060925.1	18722331	18728371	6040	-0.2066595048502709
NC_060925.1	18776226	18898386	122160	0.037311668631641155
NC_060925.1	19033760	19042835	9075	-0.20028289004216204
NC_060925.1	19075033	19075359	326	-0.21866476910514213
NC_060925.1	19082350	19097874	15524	-0.18673337145979163
NC_060925.1	19112237	19127761	15524	-0.18673337145979163
NC_060925.1	19135659	19141212	5553	-0.2076827046563826
NC_060925.1	19155099	19163067	7968	-0.20260872615174244
NC_060925.1	19308891	19420489	111598	0.015120628894163072
NC_060925.1	19480503	19489130	8627	-0.20122414982273296
NC_060925.1	19502741	19506418	3677	-0.2116242299875234
NC_060925.1	19622875	19637808	14933	-0.18797507800067872
