chr	start	end	length	zscore
NC_072423.2	84679	6789091	6704412	53.11280691730541
NC_072423.2	8015320	9653903	1638583	12.896644339121607
NC_072423.2	10094950	10396631	301681	2.283363041411186
NC_072423.2	10528720	11448941	920221	7.193774585328246
NC_072423.2	12792277	13934393	1142116	8.955335308220015
NC_072423.2	14257550	16444675	2187125	17.25136184991048
NC_072423.2	17366938	17724357	357419	2.725851027046471
NC_072423.2	18109672	19163281	1053609	8.252703636028295
NC_072423.2	19202252	20096890	894638	6.990678490446702
NC_072423.2	20164426	20719819	555393	4.297509796075857
NC_072423.2	20835825	22518741	1682916	13.248591302901596
NC_072423.2	25073102	25749870	676768	5.261071087411797
NC_072423.2	25761598	26197669	436071	3.3502466825451687
NC_072423.2	26198665	26653722	455057	3.5009710877134834
NC_072423.2	29954438	30909124	954686	7.467382329146109
NC_072423.2	31316706	31609044	292338	2.2091916457782164
NC_072423.2	31681299	31968218	286919	2.1661717599883135
NC_072423.2	32359671	32932629	572958	4.436953290059921
NC_072423.2	33797337	34209451	412114	3.160058935014498
NC_072423.2	34209542	35380415	1170873	9.183628878188689
NC_072423.2	37873429	38247524	374095	2.858237005166497
NC_072423.2	38666186	39276954	610768	4.737116028889267
NC_072423.2	40994664	41557245	562581	4.354573265176764
NC_072423.2	42133041	43134179	1001138	7.8361514257898754
NC_072423.2	43939477	44399440	459963	3.539918413730325
NC_072423.2	44761208	47015110	2253902	17.781485288440166
NC_072423.2	47015362	49145027	2129665	16.795203400475565
NC_072423.2	51937311	52451656	514345	3.971641504526874
NC_072423.2	55655983	58431374	2775391	21.92143679622586
NC_072423.2	58666742	59468781	802039	6.255561604626584
NC_072423.2	60614632	61316209	701577	5.458022618425214
NC_072423.2	61651560	62066264	414704	3.1806202017050036
NC_072423.2	63811899	64339820	527921	4.079417472322357
NC_072423.2	64602750	64918948	316198	2.398609338147119
NC_072423.2	65446428	65740414	293986	2.222274644815264
NC_072423.2	66713665	67073933	360268	2.748468420406027
NC_072423.2	67080301	68239412	1159111	9.090253735789567
NC_072423.2	69809306	71090583	1281277	10.06009454911477
NC_072423.2	71438500	71831906	393406	3.0115414920623844
NC_072423.2	72262058	72693640	431582	3.314609799852629
NC_072423.2	73204769	73540348	335579	2.552469534953561
NC_072423.2	74792342	75071300	278958	2.1029716657322854
NC_072423.2	75956629	76408817	452188	3.478194920093769
NC_072423.2	77298547	77834377	535830	4.142204753501973
NC_072423.2	79383539	79657494	273955	2.0632542845536763
NC_072423.2	80966399	81496180	529781	4.094183478517083
NC_072423.2	81582555	82468413	885858	6.920976590237189
NC_072423.2	82519639	83844106	1324467	10.40296756392671
NC_072423.2	97867384	98216294	348910	2.658300518062104
NC_072423.2	105451156	105868222	417066	3.1993714418297037
NC_072423.2	116678120	117198108	519988	4.0164396620305505
NC_072423.2	119673020	120181658	508638	3.926335269390691
NC_072423.2	124600500	125200728	600228	4.653441993785821
NC_072423.2	125542134	127165890	1623756	12.778937041353219
NC_072423.2	129511244	129991152	479908	3.6982560446732315
NC_072423.2	130403787	131004718	600931	4.659022909030386
NC_072423.2	131921829	132197371	275542	2.075853022097241
NC_072423.2	132197440	132539069	341629	2.6004987486514595
NC_072423.2	132815357	133314466	499109	3.8506872731382487
NC_072423.2	134027414	134297804	270390	2.0349527726804517
NC_072423.2	134298581	134920028	621447	4.8218935451008145
NC_072423.2	135805738	136496153	690415	5.369410703830843
NC_072423.2	137516255	137800631	284376	2.1459836128091805
NC_072423.2	137809202	138650484	841282	6.567100519196275
NC_072423.2	138858639	139185782	327143	2.4854985520187722
NC_072423.2	139615643	140883177	1267534	9.950992816246965
NC_072423.2	141549517	141865355	315838	2.395751401464269
NC_072423.2	144391835	145155442	763607	5.950460986306313
NC_072423.2	145238551	145597560	359009	2.738473580729059
NC_072423.2	145813872	146111655	297783	2.2524179381063254
NC_072423.2	146111694	146779392	667698	5.189066960429989
NC_072423.2	147231750	147747081	515331	3.97946907555268
NC_072423.2	151592397	152007660	415263	3.1850579422764294
NC_072423.2	152442805	152756550	313745	2.3791356751386985
NC_072423.2	153696439	155061669	1365230	10.726573322268436
NC_072423.2	155061754	155414023	352269	2.684966655055698
NC_072423.2	155633242	156017055	383813	2.9353854181774355
NC_072423.2	157090797	157860555	769758	5.999292010018011
NC_072424.2	28953	5007421	4978468	39.411032833568896
NC_072424.2	6598423	7135460	537037	4.15178678010253
NC_072424.2	7351800	8260061	908261	7.098827577753557
NC_072424.2	8969845	10299464	1329619	10.4438678133435
NC_072424.2	12871369	13402779	531410	4.107115642006979
NC_072424.2	14055209	14401080	345871	2.634174769231044
NC_072424.2	14783828	15300571	516743	3.9906785383198593
NC_072424.2	16935869	17503240	567371	4.392599700484688
NC_072424.2	17964254	18511972	547718	4.2365801737400925
NC_072424.2	20527830	20919258	391428	2.9958387177327244
NC_072424.2	24921855	25312675	390820	2.991011980223911
NC_072424.2	26321829	27387132	1065303	8.345538945942877
NC_072424.2	28629290	31330249	2700959	21.33054250962057
NC_072424.2	31938450	33307335	1368885	10.755589318312374
NC_072424.2	47830922	49089799	1258877	9.882267377737426
NC_072424.2	49968104	50366197	398093	3.048750239930492
NC_072424.2	51110868	51589993	479125	3.6920400323880327
NC_072424.2	51728215	52056607	328392	2.4954140045656605
NC_072424.2	54047792	54333923	286131	2.159916054138075
NC_072424.2	54337456	54921788	584332	4.52724821181197
NC_072424.2	54922193	55962032	1039839	8.143387557909277
