clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_AAA	codon_ACC	codon_CCT	codon_GGA	codon_AGA	codon_CTG	codon_TAT	codon_CAA	codon_GGG	codon_GTT	codon_GGT	codon_GGC	codon_ACT	codon_GTG	codon_ATA	codon_ATG	codon_GAT	codon_TTC	codon_ATT	codon_GCA	codon_GTC	codon_ACA	codon_GTA	codon_TTT	codon_GCG	codon_AGG	codon_AAG	codon_GAA	codon_ATC	codon_TGA	codon_TGG	codon_GAG	codon_TAG	codon_TGC	codon_CGG	codon_TGT	codon_CGA	codon_TCG	codon_TTG	codon_AGT	codon_GCT	codon_CGT	codon_GAC	codon_AAC	codon_AGC	codon_CAG	codon_CAC	codon_AAT	codon_TCT	codon_CAT	codon_TAC	codon_CCA	codon_TAA	codon_GCC	codon_CCC	codon_CTC	codon_TCC	codon_CTT	codon_CCG	codon_CGC	codon_ACG	codon_TTA	codon_TCA	codon_CTA
NC_060945.1	-2::NC_060945.1:41607447-41617941	10494	False	0.5876	0	8.0	1.0	1.0	95.0	3.0	6.0	1.0	3.0	96.0	12.0	541.0	8.0	3.0	604	6.0	108.0	121.0	1.0	4.0	4.0	1.0	4.0	48.0	1.0	3.0	124.0	59.0	66.0	1.0	241.0	941.0	121.0	91.0	9.0	1.0	10.0	4.0	2.0	2.0	124.0	7.0	2.0	4.0	1.0	3.0	1.0	1.0																	
NC_060945.1	-3::NC_060945.1:41607470-41617934	10464	False	0.5879	0	4.0			142.0		9.0	2.0	1.0	106.0	2.0	539.0	5.0		1019		164.0	109.0		1.0	1.0	1.0		91.0	1.0	4.0	74.0	113.0	62.0	1.0	167.0	558.0	70.0	62.0	8.0	1.0	12.0	3.0	3.0	9.0	113.0	4.0	1.0	2.0	3.0	1.0	8.0	1.0	5.0	1.0	3.0	1.0	1.0												
NC_060945.1	-1::NC_060945.1:41607535-41617975	10440	False	0.5884	0	3.0			85.0	1.0	9.0		2.0	160.0	7.0	911.0	5.0	2.0	607	4.0	114.0	163.0	1.0		5.0	1.0	5.0	61.0	3.0	4.0	73.0	71.0	119.0	2.0	156.0	555.0	60.0	49.0	5.0	2.0	3.0	1.0	1.0	9.0	197.0	9.0	2.0			1.0	5.0	1.0	2.0					2.0	1.0	1.0									
NC_060937.1	-2::NC_060937.1:22536950-22548509	11559	False	0.3767	1	137.0	35.0	31.0	30.0	79.0	87.0	69.0	98.0	26.0	43.0	27.0	32.0	73.0	33	79.0	66.0	52.0	184.0	137.0	38.0	66.0	50.0	35.0	214.0	10.0	78.0	131.0	55.0	157.0	72.0	89.0	36.0	47.0	90.0	3.0	84.0	12.0	20.0	71.0	67.0	33.0	8.0	21.0	101.0	65.0	52.0	54.0	123.0	79.0	74.0	54.0	44.0	99.0	25.0	22.0	70.0	68.0	94.0	6.0	6.0	12.0			
NC_060937.1	-2::NC_060937.1:101947520-101968511	20991	False	0.3821	2	123.0	87.0	82.0	56.0	165.0	171.0	154.0	98.0	60.0	116.0	41.0	38.0	158.0	65	89.0	138.0	67.0	412.0	195.0	30.0	101.0	72.0	41.0	507.0	5.0	126.0	119.0	71.0	223.0	255.0	178.0	60.0	91.0	171.0	15.0	219.0	11.0	10.0	262.0	135.0	76.0	18.0	43.0	100.0	58.0	93.0	71.0	176.0	166.0	162.0	102.0	36.0	145.0	44.0	61.0	208.0	116.0	266.0	9.0	10.0	20.0			
NC_060943.1	-2::NC_060943.1:9071142-9092994	21852	False	0.4882	2	77.0	71.0	80.0	365.0	406.0	94.0	90.0	94.0	111.0	66.0	458.0	130.0	131.0	63	31.0	89.0	135.0	223.0	76.0		129.0	1.0	20.0	102.0	6.0	291.0	97.0	60.0	98.0	366.0	189.0	62.0	32.0	113.0	15.0	522.0	20.0	4.0	68.0	347.0	209.0	32.0	98.0	82.0	119.0	123.0	172.0	94.0	98.0	219.0	46.0	43.0	55.0	63.0	84.0	216.0	91.0	81.0	6.0	17.0	4.0			
NC_060931.1	2::NC_060931.1:102191875-102207919	16044	False	0.5115	1	9.0	856.0	80.0	14.0	14.0	29.0	14.0	9.0	8.0	18.0	23.0	20.0	578.0	45	28.0	70.0	7.0	171.0	37.0	26.0	48.0	311.0	19.0	32.0	3.0	24.0	19.0	46.0	255.0		7.0	179.0		3.0		8.0	5.0	64.0	71.0	235.0	18.0	2.0	29.0	23.0	257.0	22.0	154.0	38.0	316.0	21.0	46.0	78.0		67.0	289.0	51.0	171.0	24.0	10.0	3.0	47.0	15.0	275.0	7.0
NC_060931.1	3::NC_060931.1:102226625-102266084	39459	False	0.5084	2	21.0	1964.0	286.0	17.0	42.0	66.0	31.0	21.0	53.0	33.0	40.0	97.0	1339.0	102	60.0	150.0	13.0	463.0	162.0	72.0	90.0	579.0	23.0	87.0	38.0	78.0	130.0	86.0	708.0		12.0	404.0		6.0	8.0	16.0	4.0	145.0	249.0	638.0	65.0	7.0	54.0	98.0	583.0	63.0	457.0	120.0	743.0	50.0	64.0	147.0		309.0	547.0	107.0	382.0	47.0	26.0	19.0	108.0	64.0	749.0	11.0
NC_060931.1	1::NC_060931.1:102295752-102320043	24291	False	0.5575	1	38.0	617.0	337.0	90.0	33.0	66.0	3.0	65.0	8.0	91.0	82.0	414.0	262.0	24	38.0	35.0	24.0	173.0	3.0	187.0	83.0	909.0	9.0	40.0	25.0	2.0	8.0	354.0	34.0		16.0	112.0			14.0		15.0	58.0	16.0	262.0	31.0	57.0	131.0	16.0	620.0	65.0	320.0	2.0	226.0	16.0	61.0	269.0		211.0	137.0	166.0	291.0	67.0	38.0	82.0	140.0	68.0	507.0	29.0
NC_060931.1	2::NC_060931.1:102354412-102366640	12228	False	0.492	1	13.0	347.0	306.0	55.0	24.0	22.0	24.0	12.0	5.0	59.0	62.0	13.0	390.0	118	50.0	105.0	12.0	6.0	23.0	34.0	106.0	270.0	12.0	14.0	2.0	11.0	7.0	176.0	39.0		1.0	55.0		3.0	2.0	2.0	1.0	7.0	13.0	232.0	126.0	9.0	68.0	42.0	257.0	7.0	8.0	18.0	218.0	3.0	3.0	114.0		93.0	25.0	11.0	41.0	80.0	25.0		41.0	58.0	183.0	13.0
