chr	start	end	length	zscore
NC_072373.2	5988725	6546590	557865	3.6605922137455016
NC_072373.2	9182521	10173628	991107	6.580605560563382
NC_072373.2	10254902	11294320	1039418	6.906217492920168
NC_072373.2	14156003	14659732	503729	3.2957202887166894
NC_072373.2	16893778	17250879	357101	2.30746033927224
NC_072373.2	19230283	19648301	418018	2.7180356137103248
NC_072373.2	20040698	20569938	529240	3.467662206837903
NC_072373.2	20628390	21019416	391026	2.536111884576704
NC_072373.2	26879879	27618510	738631	4.878939309943195
NC_072373.2	27655782	28029347	373565	2.418426265341295
NC_072373.2	28037155	28488937	451782	2.9456020330370727
NC_072373.2	29467849	29898327	430478	2.802014928507484
NC_072373.2	30207742	30947102	739360	4.88385270645099
NC_072373.2	31108020	31532793	424773	2.7635637253840657
NC_072373.2	31960135	32489133	528998	3.4660311479148764
NC_072373.2	33824637	34159506	334869	2.1576185955667473
NC_072373.2	34394319	34731365	337046	2.172291385961082
NC_072373.2	35388046	36116352	728306	4.809349709198358
NC_072373.2	40008376	41223692	1215316	8.091754693095986
NC_072373.2	49494243	50806201	1311958	8.743113356067658
NC_072373.2	51339201	51659657	320456	2.0604762308659885
NC_072373.2	53313737	56402355	3088618	20.71764701798745
NC_072373.2	57520785	59245978	1725193	11.528281265393824
NC_072373.2	59605299	62795379	3190080	21.401492061161555
NC_072373.2	64042764	64475855	433091	2.819626320928429
NC_072373.2	65294885	65703292	408407	2.6532583107797074
NC_072373.2	71977277	72635816	658539	4.3391262055504125
NC_072373.2	73378386	73745468	367082	2.3747314099777332
NC_072373.2	74031071	74562576	531505	3.4829281095678843
NC_072373.2	76980585	77378107	397522	2.5798943588080316
NC_072373.2	79517751	79912793	395042	2.5631793748034606
NC_072373.2	80964211	81351057	386846	2.507939048633516
NC_072373.2	83508568	83838460	329892	2.124074049038219
NC_072373.2	84902055	85285726	383671	2.486539825159922
NC_072373.2	85571752	86791487	1219735	8.121538368223485
NC_072373.2	92910698	93236364	325666	2.0955911771013978
NC_072373.2	101060800	106482045	5421245	36.43934983799971
NC_072373.2	107649461	107992450	342989	2.212346688355907
NC_072373.2	110812761	111535144	722383	4.769429205061634
NC_072373.2	117332058	117743943	411885	2.676699727863537
NC_072373.2	122651244	123856842	1205598	8.026256219484525
NC_072373.2	123858706	125694482	1835776	12.273601054175064
NC_072373.2	125695141	126021608	326467	2.100989847338358
NC_072373.2	126379514	126819360	439846	2.8651544326021696
NC_072373.2	127061489	127974600	913111	6.054919313619624
NC_072373.2	128169261	128732629	563368	3.6976819544620962
NC_072373.2	130382367	130723594	341227	2.2004709618171754
NC_072373.2	131388920	131995290	606370	3.987511689205871
NC_072373.2	133499530	134835848	1336318	8.907297634435139
NC_072373.2	139391228	140102308	711080	4.69324796949564
NC_072373.2	141379360	142731756	1352396	9.015661954122837
NC_072373.2	146278171	148146885	1868714	12.495600305442224
NC_072373.2	148301652	150987779	2686127	18.004892732913344
NC_072373.2	151638780	152015717	376937	2.4411532516571874
NC_072373.2	155061710	155411764	350054	2.259964173030219
NC_072373.2	156158499	157963973	1805474	12.069368213325664
NC_072373.2	157964149	158328777	364628	2.358191663708694
NC_072373.2	158868299	159191296	322997	2.0776023495577687
NC_072373.2	159424211	159837400	413189	2.685488574291747
NC_072373.2	160697564	161789400	1091836	7.259510247578072
NC_072373.2	162260294	162580139	319845	2.0563581440809915
NC_072373.2	166978150	167294024	315874	2.0295939499349624
NC_072373.2	169456616	170245773	789157	5.219480149384708
NC_072373.2	171003688	171537933	534245	3.5013954709277733
NC_072373.2	171831231	173043828	1212597	8.073428869907103
NC_072373.2	173842968	175206752	1363784	9.092416082285762
NC_072373.2	180806805	181256598	449793	2.9321963462688907
NC_072373.2	188503530	189082618	579088	3.8036333853297797
NC_072373.2	191995980	192663940	667960	4.402622925029068
NC_072373.2	193238191	193692976	454785	2.965841991490995
NC_072373.2	193924215	194249662	325447	2.0941151361751875
NC_072373.2	195979466	196520963	541497	3.550273319315333
NC_072373.2	200095710	201504264	1408554	9.394161983045699
NC_072373.2	208312539	208661429	348890	2.252118914408719
NC_072373.2	216108844	216436285	327441	2.107554522507895
NC_072373.2	216436526	216850599	414073	2.691446657299828
NC_072373.2	225357596	226466798	1109202	7.376555575087499
NC_072373.2	226588669	227342844	754175	4.9837045161395865
NC_072376.2	8031429	8349839	318410	2.0466863690622175
NC_072376.2	9093904	9456150	362246	2.3421371911688196
NC_072376.2	9685082	10390672	705590	4.656245847646812
NC_072376.2	10391593	12338622	1947029	13.023436584602699
NC_072376.2	12620236	14007165	1386929	9.248411366473583
NC_072376.2	15950176	16537665	587489	3.860255393645264
NC_072376.2	17067062	18904708	1837646	12.286204691307542
NC_072376.2	18905188	19351799	446611	2.9107499434049613
NC_072376.2	20382472	21048245	665773	4.3878827355056815
NC_072376.2	21048306	21485976	437670	2.85048838212074
NC_072376.2	21933495	22917213	983718	6.530804344107827
