chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_072398.2	106760564	106761164	3	1	+	NC_072398.2	106760684	106761038	PIAS3	XM_016941336.4	+	3	2	120	126	12	13	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	133	37	2
NC_072398.2	117966537	117967353	-1	1	-	NC_072398.2	117966573	117967060	LOC112208393	XM_063789594.1	-	1	2	293	36	16	17	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	176	172	1
NC_072398.2	117971564	117972686	-2	1	-	NC_072398.2	117971600	117972402	LOC112208393	XM_063789594.1	-	2	2	284	36	9	10	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	491	172	1
NC_072398.2	118481484	118481916	1	1	+	NC_072398.2	118481524	118481915	PPM1J	XM_009429244.4	+	1	2	40	1	8	9	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	107	151	2
NC_072398.2	121530579	121531071	-1	1	-	NC_072398.2	121530634	121530930	GSTM2	NM_001367584.1	-	1	2	141	55	6	7	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	95	110	1
NC_072398.2	121822018	121822570	-3	1	-	NC_072398.2	121822153	121822537	GSTM2	NM_001367584.1	-	3	2	33	135	1	2	1	1	1	first	middle	1.000	1.000	constitutive	constitutive	35	75	1
NC_072398.2	121831344	121831932	-1	1	-	NC_072398.2	121831507	121831803	GSTM4	NM_001367583.1	-	1	2	129	163	6	7	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	95	110	4
NC_072398.2	122216536	122217394	-3	1	-	NC_072398.2	122216538	122217375	CELSR2	XM_016923898.4	-	3	3	19	2	31	33	4	4	2	middle	middle	1.000	0.500	constitutive	alternative	194	234	2
NC_072398.2	122216536	122217394	-3	1	-	NC_072398.2	122216538	122217375	CELSR2	XM_063816064.1	-	3	3	19	2	31	33	4	4	2	middle	middle	1.000	0.500	constitutive	alternative	194	252	2
NC_072398.2	122218455	122218926	-1	1	-	NC_072398.2	122218486	122218822	CELSR2	XM_016923898.4	-	1	2	104	31	27	28	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	126	122	4
NC_072398.2	159932132	159932405	3	1	+	NC_072398.2	159932144	159932395	ZRANB2	XM_001166823.6	+	3	2	12	10	2	3	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	52	108	2
NC_072398.2	176177061	176177937	-1	1	-	NC_072398.2	176177254	176177739	CIMAP2	XM_001153996.5	-	1	2	198	193	3	4	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	164	122	2
NC_072398.2	176757925	176758612	2	1	+	NC_072398.2	176758127	176758504	SSBP3	XM_016918894.4	+	2	2	202	108	15	16	16	16	16	middle	middle	1.000	1.000	constitutive	constitutive	78	28	16
NC_072398.2	178653996	178654362	1	1	+	NC_072398.2	178654005	178654338	CC2D1B	XM_016918308.3	+	1	2	9	24	22	23	6	6	4	middle	middle	1.000	0.667	constitutive	alternative	90	89	4
NC_072398.2	178653996	178654362	1	1	+	NC_072398.2	178654005	178654095	CC2D1B	XM_016918318.3	+	1	1	9	267	22	22	6	6	6	middle	middle	1.000	1.000	constitutive	constitutive	90	90	2
NC_072398.2	184771487	184771838	3	1	+	NC_072398.2	184771538	184771820	POMGNT1	XM_001160396.6	+	3	2	51	18	14	15	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	72	128	4
NC_072398.2	185345270	185345936	3	1	+	NC_072398.2	185345578	185345935	CCDC17	XM_001158794.8	+	3	2	308	1	8	9	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	118	97	2
NC_072398.2	185346409	185346928	2	1	+	NC_072398.2	185346460	185346850	CCDC17	XM_001158794.8	+	2	2	51	78	11	12	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	210	110	2
NC_072398.2	185626259	185626538	-2	1	-	NC_072398.2	185626261	185626531	TOE1	XM_009456286.5	-	2	2	7	2	2	3	3	2	3	middle	middle	0.667	1.000	alternative	constitutive	142	40	2
NC_072398.2	185626259	185626538	-2	1	-	NC_072398.2	185626261	185626445	TOE1	XM_009456291.5	-	2	2	93	2	1	2	3	1	3	first	middle	0.333	1.000	unique	constitutive	56	40	1
NC_072398.2	186152454	186153105	-1	1	-	NC_072398.2	186152455	186152850	BTBD19	XM_009456196.4	-	1	2	255	1	6	7	6	5	6	middle	last	0.833	1.000	alternative	constitutive	125	131	5
NC_072398.2	186152454	186153105	-1	1	-	NC_072398.2	186152455	186152586	BTBD19	XM_016961466.3	-	1	1	519	1	5	5	6	6	6	last	last	1.000	1.000	constitutive	constitutive	131	131	1
NC_072398.2	186180592	186181336	2	1	+	NC_072398.2	186180657	186181279	BEST4	XM_016961438.3	+	2	2	65	57	3	4	2	2	2	middle	middle	1.000	1.000	constitutive	constitutive	233	154	2
NC_072398.2	186182367	186183144	1	1	+	NC_072398.2	186182368	186183144	BEST4	XM_016961438.3	+	1	2	1	0	7	9	2	2	2	middle	last	1.000	1.000	constitutive	constitutive	80	270	2
NC_072398.2	186204598	186205135	-3	1	-	NC_072398.2	186204704	186205016	KIF2C	XM_001151208.6	-	3	2	119	106	17	18	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	105	113	4
NC_072398.2	186206294	186207116	-2	1	-	NC_072398.2	186206661	186207084	KIF2C	XM_001151208.6	-	2	2	32	367	14	15	4	3	3	middle	middle	0.750	0.750	alternative	alternative	204	110	3
NC_072398.2	186206294	186207116	-2	1	-	NC_072398.2	186206661	186207084	KIF2C	XM_063781280.1	-	2	2	32	367	15	16	4	1	1	middle	middle	0.250	0.250	unique	unique	207	107	1
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975588	CCDC24	XM_016961107.4	-	1	2	117	2	2	3	26	4	23	middle	middle	0.154	0.885	alternative	alternative	214	116	4
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975588	CCDC24	XM_016961116.4	-	1	2	117	2	2	3	26	4	23	middle	middle	0.154	0.885	alternative	alternative	175	116	4
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975480	CCDC24	XM_016961129.4	-	1	2	225	2	2	3	26	1	23	middle	middle	0.038	0.885	unique	alternative	106	116	1
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975480	CCDC24	XM_016961139.4	-	1	2	225	2	2	3	26	3	23	middle	middle	0.115	0.885	alternative	alternative	67	116	3
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975582	CCDC24	XM_024345192.3	-	1	2	123	2	1	2	26	1	23	first	middle	0.038	0.885	unique	alternative	208	116	1
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975582	CCDC24	XM_054666357.2	-	1	2	123	2	1	2	26	1	23	first	middle	0.038	0.885	unique	alternative	169	116	1
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975277	CCDC24	XM_063781600.1	-	1	1	428	2	3	3	26	23	23	middle	middle	0.885	0.885	alternative	alternative	116	116	9
NC_072398.2	186975159	186975705	-1	1	-	NC_072398.2	186975161	186975180	CCDC24	XM_063781698.1	-	1	1	525	2	1	1	26	1	1	first	first	0.038	0.038	unique	unique	19	19	1
NC_072398.2	187515867	187516197	1	1	+	NC_072398.2	187515868	187516083	HYI	XM_009455678.5	+	1	2	1	114	5	6	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	78	49	7
NC_072398.2	187517403	187517862	-1	1	-	NC_072398.2	187517404	187517778	SZT2	XM_054666096.1	-	1	2	84	1	72	73	7	7	7	middle	last	1.000	1.000	constitutive	constitutive	68	140	7
NC_072398.2	187528365	187529253	-1	1	-	NC_072398.2	187528431	187528944	SZT2	XM_054666096.1	-	1	2	309	66	49	50	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	164	84	7
NC_072398.2	190655315	190655537	3	1	+	NC_072398.2	190655346	190655528	COL9A2	XM_016959838.4	+	3	2	31	9	3	4	3	2	2	middle	middle	0.667	0.667	alternative	alternative	35	62	2
NC_072398.2	190657962	190658355	1	1	+	NC_072398.2	190658017	190658229	COL9A2	XM_016959838.4	+	1	2	55	126	9	10	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	53	47	3
NC_072398.2	190665179	190665575	3	1	+	NC_072398.2	190665207	190665416	COL9A2	XM_016959838.4	+	3	2	28	159	23	24	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	53	71	3
NC_072398.2	193268048	193268495	3	1	+	NC_072398.2	193268075	193268406	EPHA10	XM_054681277.2	+	3	2	27	89	9	10	2	1	1	middle	middle	0.500	0.500	unique	unique	61	125	1
NC_072398.2	194812890	194813781	-1	1	-	NC_072398.2	194813079	194813634	MAP7D1	XM_016959211.4	-	1	2	147	189	14	16	13	6	13	middle	middle	0.462	1.000	alternative	constitutive	45	193	6
NC_072398.2	194812890	194813781	-1	1	-	NC_072398.2	194813079	194813631	MAP7D1	XM_016959219.4	-	1	2	150	189	14	16	13	7	13	middle	middle	0.538	1.000	alternative	constitutive	42	193	7
