chr	start	end	length	zscore
NC_014047.1	3681	3890	209	-0.24184121264202282
NC_014047.1	4930	5328	398	-0.2413593886396003
NC_014047.1	6867	7011	144	-0.24200691930952262
NC_014047.1	7692	7792	100	-0.24211908997675327
NC_014047.1	8631	8633	2	-0.24236892464467605
NC_014047.1	9414	9485	71	-0.24219302064379164
NC_014047.1	9828	9897	69	-0.24219811931048393
NC_014047.1	11562	11770	208	-0.24184376197536897
NC_014047.1	13573	13579	6	-0.24235872731129146
NC_014047.1	14101	14174	73	-0.24218792197709935
NC_072423.2	54728	61446	6718	-0.22524760189192655
NC_072423.2	84679	6789091	6704412	16.84940705462294
NC_072423.2	6882700	6903884	21184	-0.1883689457065075
NC_072423.2	6934300	6992967	58667	-0.09281228389273298
NC_072423.2	7004598	7010405	5807	-0.22757004457027002
NC_072423.2	7010963	7047983	37020	-0.1479977028368617
NC_072423.2	7062957	7066519	3562	-0.23329329793237882
NC_072423.2	7071780	7093477	21697	-0.18706113769993207
NC_072423.2	7140586	7144758	4172	-0.23173820459122677
NC_072423.2	7177097	7287559	110462	0.03923043677115335
NC_072423.2	7354107	7354443	336	-0.24151744730706165
NC_072423.2	7392966	7504399	111433	0.04170583945026588
NC_072423.2	7631222	7649852	18630	-0.19487994307257692
NC_072423.2	7947370	7998186	50816	-0.11282709999336377
NC_072423.2	8015320	9653903	1638583	3.9349202590246266
NC_072423.2	9671230	9812576	141346	0.11796404783367802
NC_072423.2	9933780	9945768	11988	-0.21181261515771124
NC_072423.2	10094950	10396631	301681	0.526711409888784
NC_072423.2	10398273	10447691	49418	-0.11639106801128274
NC_072423.2	10528720	11448941	920221	2.103576057816967
NC_072423.2	11457679	11588755	131076	0.09178239436870819
NC_072423.2	11666658	11669504	2846	-0.23511862060822286
NC_072423.2	11677072	11814499	137427	0.10797321045011261
NC_072423.2	12251106	12298644	47538	-0.12118381470204645
NC_072423.2	12350107	12360203	10096	-0.21663595384862877
NC_072423.2	12379573	12421561	41988	-0.13533261477318398
NC_072423.2	12442858	12505147	62289	-0.08357859851297439
NC_072423.2	12547715	12576542	28827	-0.1688843909418761
NC_072423.2	12615194	12705180	89986	-0.01296971282463266
NC_072423.2	12714814	12715830	1016	-0.23978390063167904
NC_072423.2	12792277	13934393	1142116	2.669260380661123
NC_072423.2	14054790	14253581	198791	0.264410501903317
NC_072423.2	14257550	16444675	2187125	5.333336671388938
NC_072423.2	16446280	16481864	35584	-0.15165854552193442
NC_072423.2	16486168	16569830	83662	-0.02909169690569101
NC_072423.2	16774503	16831287	56784	-0.09761267858353515
NC_072423.2	16920553	16943133	22580	-0.18481007635528082
NC_072423.2	17366938	17724357	357419	0.6688061519365434
NC_072423.2	17946957	18065476	118519	0.05977041554109123
NC_072423.2	18109672	19163281	1053609	2.4436265341933447
NC_072423.2	19202252	20096890	894638	2.0383564628223887
NC_072423.2	20164426	20719819	555393	1.1735078718074234
NC_072423.2	20835825	22518741	1682916	4.047939854259535
NC_072423.2	22541527	22619721	78194	-0.04303145164244418
NC_072423.2	22629303	22650508	21205	-0.18831540970623833
NC_072423.2	22664068	22681538	17470	-0.19783716975411197
NC_072423.2	22697697	22710482	12785	-0.20978079648082898
NC_072423.2	22722366	22800435	78069	-0.043350118310713046
NC_072423.2	22823215	22883130	59915	-0.08963071587673664
NC_072423.2	22896593	22915128	18535	-0.19512212974046125
NC_072423.2	22920698	22932960	12262	-0.2111140978208659
NC_072423.2	22938197	22965314	27117	-0.17324375096379416
NC_072423.2	22974049	22995481	21432	-0.18773671103666206
NC_072423.2	23043911	23059472	15561	-0.20270384711191405
NC_072423.2	23076400	23137131	60731	-0.0875504598662775
NC_072423.2	23168150	23184374	16224	-0.20101363910341602
NC_072423.2	23221509	23234518	13009	-0.20920974581129118
NC_072423.2	23428612	23585780	157168	0.1582996000364777
NC_072423.2	23846666	23984652	137986	0.10939828779061096
NC_072423.2	24038465	24174993	136528	0.10568135977192294
NC_072423.2	24234343	24256757	22414	-0.1852332656907419
NC_072423.2	24381481	24406956	25475	-0.17742975631817395
NC_072423.2	24521028	24747220	226192	0.33426478492119804
NC_072423.2	24747829	25013035	265206	0.4337244760879296
NC_072423.2	25073102	25749870	676768	1.48293320669649
NC_072423.2	25761598	26197669	436071	0.8693163182780047
NC_072423.2	26198665	26653722	455057	0.9177179611880258
NC_072423.2	26656294	26857419	201125	0.2703606459332332
NC_072423.2	27150533	27194273	43740	-0.1308661827507276
NC_072423.2	27223488	27236189	12701	-0.20999494048190565
NC_072423.2	27258490	27281936	23446	-0.18260235367751415
NC_072423.2	27286113	27322797	36684	-0.14885427884116842
NC_072423.2	27334887	27401789	66902	-0.07181852378718025
NC_072423.2	27420963	27581999	161036	0.16816042141938942
NC_072423.2	27648356	27828735	180379	0.21747217633398644
NC_072423.2	27902142	27960326	58184	-0.09404361189892387
NC_072423.2	28091400	28165830	74430	-0.0526271423573562
NC_072423.2	28528625	28716390	187765	0.23630155242865705
NC_072423.2	28728885	28822469	93584	-0.00379721144518169
NC_072423.2	28899681	28923933	24252	-0.1805475910005165
NC_072423.2	28947533	28958338	10805	-0.2148284765062078
NC_072423.2	28995002	29063429	68427	-0.0679307904343001
NC_072423.2	29104966	29188722	83756	-0.028852059571152822
NC_072423.2	29212694	29408753	196059	0.2574457232016327
NC_072423.2	29409287	29535563	126276	0.07954559430718383
NC_072423.2	29882332	29919053	36721	-0.14875995350736082
NC_072423.2	29954438	30909124	954686	2.191438831592058
NC_072423.2	31316706	31609044	292338	0.5028929884356961
NC_072423.2	31654104	31669697	15593	-0.20262226844483722
NC_072423.2	31681299	31968218	286919	0.4890781510329043
NC_072423.2	31975079	32173131	198052	0.26252654456051144
NC_072423.2	32191151	32224792	33641	-0.15661190021350563
NC_072423.2	32249777	32294711	44934	-0.1278222787354234
NC_072423.2	32359671	32932629	572958	1.2182869120325641
NC_072423.2	34209542	35380415	1170873	2.7425715596963847
NC_072423.2	35401310	35491891	90581	-0.01145285948367287
NC_072423.2	35527776	35586108	58332	-0.09366631056369354
NC_072423.2	35599168	35616176	17008	-0.1990149617600337
NC_072423.2	35681891	35744007	62116	-0.0840196331818585
NC_072423.2	35764138	35827636	63498	-0.08049645449747794
NC_072423.2	35889514	36148532	259018	0.4179492013419478
NC_072423.2	36164637	36250095	85458	-0.024513094216003978
NC_072423.2	36255109	36257717	2608	-0.23572536194460678
NC_072423.2	36268010	36271230	3220	-0.23416516993676242
NC_072423.2	36304938	36335119	30181	-0.16543259359118778
NC_072423.2	36697957	36710929	12972	-0.20930407114509877
NC_072423.2	36739561	36930437	190876	0.24423252846853255
NC_072423.2	36956429	37023688	67259	-0.07090841178260437
NC_072423.2	37026910	37031974	5064	-0.22946419924646014
NC_072423.2	37033395	37063223	29828	-0.16633250826237905
NC_072423.2	37443713	37536621	92908	-0.005520560787179704
NC_072423.2	37565933	37626550	60617	-0.0878410838677387
NC_072423.2	37873429	38247524	374095	0.7113188348169559
NC_072423.2	38248054	38343564	95510	0.0011128045795049607
NC_072423.2	38479331	38611849	132518	0.0954585330538578
NC_072423.2	38666186	39276954	610768	1.31467720585053
NC_072423.2	39314229	39351025	36796	-0.1485687535063995
NC_072423.2	39371583	39391900	20317	-0.19057921771762035
NC_072423.2	39423968	39431643	7675	-0.22280788987966013
NC_072423.2	39686922	39705495	18573	-0.1950252550733075
NC_072423.2	39823803	39873209	49406	-0.11642166001143654
NC_072423.2	39949991	39978602	28611	-0.1694350469446447
NC_072423.2	40166164	40186581	20417	-0.19032428438300525
NC_072423.2	40308734	40322547	13813	-0.20716008180098586
NC_072423.2	40419235	40506265	87030	-0.020505542195854747
NC_072423.2	40529752	40535909	6157	-0.2266777778991172
NC_072423.2	40550117	40561942	11825	-0.21222815649313387
NC_072423.2	40650123	40664022	13899	-0.20694083913321687
NC_072423.2	40784373	40795088	10715	-0.21505791650736136
NC_072423.2	40811707	40875979	64272	-0.07852327048755714
NC_072423.2	40898652	40936669	38017	-0.14545601749074924
NC_072423.2	40994664	41557245	562581	1.191832479899556
NC_072423.2	41920957	42124536	203579	0.2766167099646875
NC_072423.2	42133041	43134179	1001138	2.3098604641874605
NC_072423.2	43134662	43364165	229503	0.3427056276303037
NC_072423.2	43371080	43537312	166232	0.18140675748598956
NC_072423.2	43939477	44399440	459963	0.9302249905842421
NC_072423.2	44761208	47015110	2253902	5.503573504244857
NC_072423.2	47015362	49145027	2129665	5.186851977319107
NC_072423.2	49466695	49489855	23160	-0.1833314630145133
NC_072423.2	49860690	49860815	125	-0.2420553566430995
NC_072423.2	49906637	49910139	3502	-0.23344625793314788
NC_072423.2	50407793	50433649	25856	-0.17645846031329046
NC_072423.2	50509143	50522194	13051	-0.20910267381075284
NC_072423.2	50569415	50572329	2914	-0.2349452659406846
NC_072423.2	50590041	50631468	41427	-0.13676279078037465
NC_072423.2	50707527	50721711	14184	-0.20621427912956386
NC_072423.2	50728208	50992718	264510	0.43195014007900856
NC_072423.2	51058053	51208621	150568	0.1414739999518817
NC_072423.2	51236774	51330552	93778	-0.0033026407760284138
NC_072423.2	51335292	51359372	24080	-0.18098607633605446
NC_072423.2	51362769	51392065	29296	-0.16768875360253133
NC_072423.2	51409080	51437488	28408	-0.16995256161391334
NC_072423.2	51448680	51455781	7101	-0.22427120722035074
NC_072423.2	51460399	51563553	103154	0.020599908677482508
NC_072423.2	51723879	51802572	78693	-0.041759334302714876
NC_072423.2	51937311	52451656	514345	1.068862836614621
NC_072423.2	52828247	52918243	89996	-0.01294421949117115
NC_072423.2	53094936	53256019	161083	0.1682802400866585
NC_072423.2	53742114	53893159	151045	0.14269003195799568
NC_072423.2	54060806	54208893	148087	0.1351491039200813
NC_072423.2	54420868	54462092	41224	-0.1372803054496433
NC_072423.2	54492799	54541134	48335	-0.11915199602516417
NC_072423.2	54579702	54605193	25491	-0.17738896698463552
NC_072423.2	54656020	54728443	72423	-0.05774365438308107
NC_072423.2	54844199	54911993	67794	-0.06954451844241363
NC_072423.2	54912902	54945274	32372	-0.15984700422977113
NC_072423.2	54946503	54991449	44946	-0.1277916867352696
NC_072423.2	55051181	55078241	27060	-0.17338906296452475
NC_072423.2	55085035	55130502	45467	-0.12646348406192498
NC_072423.2	55176707	55194552	17845	-0.1968811697493054
NC_072423.2	55222930	55257181	34251	-0.15505680687235357
NC_072423.2	55293977	55312026	18049	-0.1963611057466906
NC_072423.2	55342948	55486222	143274	0.12287916252505697
NC_072423.2	55519456	55548198	28742	-0.16910108427629894
NC_072423.2	55582626	55607026	24400	-0.18017028966528617
NC_072423.2	55655983	58431374	2775391	6.833022801595749
NC_072423.2	58666742	59468781	802039	1.8022907443021605
NC_072423.2	59705046	59754986	49940	-0.11506031600459196
NC_072423.2	59764438	59964858	200420	0.26856336592419683
NC_072423.2	60171533	60221570	50037	-0.11481303067001532
NC_072423.2	60404179	60439306	35127	-0.15282359086112537
NC_072423.2	60499875	60542000	42125	-0.1349833561047613
NC_072423.2	60614632	61316209	701577	1.546179617681148
NC_072423.2	61603307	61650792	47485	-0.12131892936939244
NC_072423.2	61651560	62066264	414704	0.8148447126707982
NC_072423.2	62069209	62070857	1648	-0.23817272195691166
NC_072423.2	62073803	62211265	137462	0.10806243711722789
NC_072423.2	62281322	62337370	56048	-0.0994889879263022
NC_072423.2	62550255	62553375	3120	-0.23442010327137752
NC_072423.2	62568876	62579447	10571	-0.2154250205092071
NC_072423.2	62703255	62763547	60292	-0.08866961720523775
NC_072423.2	63033633	63061046	27413	-0.17248914829333348
NC_072423.2	63123565	63137989	14424	-0.20560243912648765
NC_072423.2	63190324	63190827	503	-0.24109170863825444
NC_072423.2	63219741	63241180	21439	-0.187718865703239
NC_072423.2	63268707	63285379	16672	-0.1998715377643404
NC_072423.2	63428063	63470045	41982	-0.1353479107732609
NC_072423.2	63591563	63719082	127519	0.08271441565644941
NC_072423.2	63811899	64339820	527921	1.1034725861219656
NC_072423.2	64342137	64572796	230659	0.34565265697845415
NC_072423.2	64602750	64918948	316198	0.5637200820748568
NC_072423.2	65053208	65096620	43412	-0.1317023640882651
NC_072423.2	65152337	65181304	28967	-0.16852748427341496
NC_072423.2	65200440	65239616	39176	-0.14250134014256036
NC_072423.2	65290071	65296440	6369	-0.2261373192297332
NC_072423.2	65446428	65740414	293986	0.5070942897901528
NC_072423.2	65910042	65946476	36434	-0.14949161217770612
NC_072423.2	66000340	66003613	3273	-0.23403005526941642
NC_072423.2	66056318	66108910	52592	-0.10829948397059976
NC_072423.2	66290014	66371200	81186	-0.03540384627076066
NC_072423.2	66371716	66403880	32164	-0.1603772655657705
NC_072423.2	66431699	66444114	12415	-0.21072404981890483
NC_072423.2	66455227	66456520	1293	-0.23907773529479523
NC_072423.2	66495498	66502887	7389	-0.2235369992166593
NC_072423.2	66536048	66708373	172325	0.19693984556408703
NC_072423.2	66713665	67073933	360268	0.6760692026397274
NC_072423.2	67080301	68239412	1159111	2.7125863008789577
NC_072423.2	68242091	68430304	188213	0.23744365376773266
NC_072423.2	68462909	68468669	5760	-0.22768986323753912
NC_072423.2	68513747	68553284	39537	-0.14158103080459986
NC_072423.2	68705652	68751802	46150	-0.1247222893865039
NC_072423.2	68817695	68824590	6895	-0.22479636988965784
NC_072423.2	68892984	68982920	89936	-0.013097179491940206
NC_072423.2	69134488	69170211	35723	-0.15130418818681943
NC_072423.2	69172903	69190488	17585	-0.19754399641930462
NC_072423.2	69195533	69369150	173617	0.200233584247314
NC_072423.2	69379702	69422887	43185	-0.13228106275784135
NC_072423.2	69809306	71090583	1281277	3.0240281584448296
NC_072423.2	71145166	71184959	39793	-0.14092840146798524
NC_072423.2	71185286	71238503	53217	-0.10670615062925543
NC_072423.2	71240897	71341294	100397	0.013571396642144453
NC_072423.2	71438500	71831906	393406	0.7605490110644761
NC_072423.2	71833766	71896800	63034	-0.08167934517009195
NC_072423.2	72262058	72693640	431582	0.8578723608871333
NC_072423.2	72880914	72915726	34812	-0.1536266308651629
NC_072423.2	73085742	73203866	118124	0.05876342886936162
NC_072423.2	73204769	73540348	335579	0.6131287116566075
NC_072423.2	74373230	74571780	198550	0.2637961125668946
NC_072423.2	74600788	74667353	66565	-0.0726776491248331
NC_072423.2	74792342	75071300	278958	0.4687829082641969
NC_072423.2	75103813	75106245	2432	-0.23617404461352934
NC_072423.2	75119798	75146075	26277	-0.17538519097456093
NC_072423.2	75247765	75300513	52748	-0.10790178796860021
NC_072423.2	75411678	75485794	74116	-0.05342763302804759
NC_072423.2	75508675	75522477	13802	-0.2071881244677935
NC_072423.2	75593482	75688082	94600	-0.0012070887654923664
NC_072423.2	75854199	75887353	33154	-0.15785342555308113
NC_072423.2	75888981	75916236	27255	-0.17289194296202534
NC_072423.2	75956629	76408817	452188	0.9104039238179189
NC_072423.2	76411029	76483641	72612	-0.05726183038065855
NC_072423.2	76516569	76558930	42361	-0.1343817134350697
NC_072423.2	76583621	76721658	138037	0.10952830379126467
NC_072423.2	76759924	76821596	61672	-0.0851515371875495
NC_072423.2	77298547	77834377	535830	1.123635263556673
NC_072423.2	78034711	78038044	3333	-0.23387709526864736
NC_072423.2	78051109	78122661	71552	-0.05996412372757851
NC_072423.2	78172754	78230199	57445	-0.09592756924172939
NC_072423.2	78267684	78387858	120174	0.06398956222897098
NC_072423.2	78410275	78442837	32562	-0.15936263089400246
NC_072423.2	78463713	78464100	387	-0.24138743130640794
NC_072423.2	78512079	78660720	148641	0.1365614345938489
NC_072423.2	78681933	78701023	19090	-0.1937072497333475
NC_072423.2	78966255	78966814	559	-0.24094894597087
NC_072423.2	78988993	79049550	60557	-0.08799404386850776
NC_072423.2	79150612	79214738	64126	-0.07889547315609517
NC_072423.2	79247230	79252360	5130	-0.2292959432456142
NC_072423.2	79383539	79657494	273955	0.4560285935334039
NC_072423.2	79924718	79945510	20792	-0.18936828437819866
NC_072423.2	79957809	80008424	50615	-0.1133395159959401
NC_072423.2	80038974	80106504	67530	-0.07021754244579748
NC_072423.2	80107479	80168475	60996	-0.08687488652954752
NC_072423.2	80169366	80204185	34819	-0.15360878553173984
NC_072423.2	80204503	80365938	161435	0.16917760542450364
NC_072423.2	80398798	80552620	153822	0.14976953066025675
NC_072423.2	80579772	80641185	61413	-0.08581181452420258
NC_072423.2	80682487	80792288	109801	0.0375453274293476
NC_072423.2	80792843	80850584	57741	-0.09517296657126872
NC_072423.2	80966399	81496180	529781	1.1082143461458063
NC_072423.2	81560810	81562576	1766	-0.23787190062206584
NC_072423.2	81571875	81572062	187	-0.24189729797563814
NC_072423.2	81582555	82468413	885858	2.0159733160431834
NC_072423.2	82469349	82507823	38474	-0.14429097215155828
NC_072423.2	82508738	82518724	9986	-0.21691638051670536
NC_072423.2	82519639	83844106	1324467	3.1341338656650874
NC_072423.2	83845087	83884325	39238	-0.14234328147509898
NC_072423.2	83885240	83895222	9982	-0.21692657785008998
NC_072423.2	83896137	83951394	55257	-0.10150551060310757
NC_072423.2	83952327	83961945	9618	-0.21785453518808892
NC_072423.2	83962875	83980902	18027	-0.19641719108030592
NC_072423.2	83981853	84005706	23853	-0.18156477500563073
NC_072423.2	84010542	84031246	20704	-0.18959262571265995
NC_072423.2	84032182	84043834	11652	-0.21266919116201796
NC_072423.2	84044779	84072293	27514	-0.17223166562537223
