clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_AGG	codon_CCA	codon_CTG	codon_TAG	codon_AGA	codon_CAA	codon_GCC	codon_ATT	codon_CAT	codon_TGT	codon_GGA	codon_AAA	codon_GTA	codon_GAA	codon_CCC	codon_TTT	codon_TGG	codon_CCT	codon_TTC	codon_CTC	codon_GAG	codon_TCT	codon_GAC	codon_CAG	codon_ACA	codon_AGC	codon_AAC	codon_CAC	codon_AAG	codon_GAT	codon_ATA	codon_CTT	codon_ACT	codon_CGG	codon_TCC	codon_TGC	codon_GGG	codon_GCT	codon_GTG	codon_ATC	codon_GGT	codon_AGT	codon_GCG	codon_TCG	codon_GGC	codon_CCG	codon_ACC	codon_TGA	codon_ACG	codon_CGC	codon_TAC	codon_GTC	codon_GCA	codon_GTT	codon_ATG	codon_CGT	codon_AAT	codon_CGA	codon_TAA	codon_TTG	codon_TAT	codon_TTA	codon_CTA	codon_TCA
NC_072427.2	-2::NC_072427.2:129142782-129151107	8325	False	0.5566	2	105.0	30.0	86.0	30.0	62.0	25.0	55.0	17.0	32.0	59.0	53.0	19.0	18.0	31.0	60.0	72.0	119.0	34.0	124.0	217.0	43.0	26.0	37.0	82.0	13.0	79.0	15.0	57.0	32.0	35.0	18.0	139.0	32.0	10.0	46.0	48.0	86.0	63.0	27.0	72.0	48.0	43.0	21.0	10.0	84.0	26.0	23.0	54.0	14.0	4.0	17.0	89.0	13.0	21.0	19.0	7.0	17.0	5.0	15.0	27.0	10.0			
NC_072427.2	-3::NC_072427.2:129980579-129990821	10242	False	0.515	2	107.0	32.0	153.0	24.0	117.0	53.0	63.0	68.0	43.0	63.0	73.0	48.0	20.0	37.0	53.0	66.0	109.0	100.0	132.0	144.0	50.0	55.0	31.0	93.0	32.0	81.0	47.0	56.0	47.0	32.0	21.0	80.0	78.0	5.0	55.0	61.0	79.0	99.0	58.0	86.0	59.0	78.0	8.0	8.0	74.0	6.0	46.0	69.0	13.0	6.0	36.0	75.0	38.0	41.0	45.0	8.0	23.0	6.0	38.0	68.0	18.0			
NC_072427.2	-2::NC_072427.2:161694177-161704566	10389	False	0.5002	0	245.0			1486.0																																	1.0				1487.0													244.0										
NC_072427.2	2::NC_072427.2:161694178-161704567	10389	False	0.5001	0	1486.0												1.0																								245.0				1.0													1486.0								244.0		
NC_072427.2	-1::NC_072427.2:161694184-161703109	8925	False	0.5003	0	1486.0												1.0																								2.0																	1486.0										
NC_072427.2	3::NC_072427.2:161694185-161703104	8919	False	0.5002	0																																					1487.0																									1486.0		
NC_072434.2	-2::NC_072434.2:1669-9376	7707	False	0.5001	0															1062.0			222.0									222.0																				1.0												1062.0					
NC_072434.2	3::NC_072434.2:1670-9377	7707	False	0.5002	1															1.0			1062.0									1062.0																				222.0																222.0	
NC_072434.2	-1::NC_072434.2:21813941-21821579	7638	False	0.5484	2	67.0	32.0	50.0	11.0	72.0	33.0	83.0	33.0	83.0	21.0	27.0	31.0	9.0	11.0	212.0	31.0	31.0	122.0	79.0	105.0	11.0	53.0	5.0	27.0	12.0	71.0	15.0	44.0	19.0	7.0	42.0	89.0	55.0	1.0	147.0	89.0	15.0	42.0	11.0	138.0	10.0	21.0	1.0	8.0	32.0	3.0	187.0	94.0	1.0	4.0	10.0	31.0	11.0	5.0	11.0	3.0	7.0	5.0	38.0	14.0	14.0			
NC_072426.2	-1::NC_072426.2:0-8665	8665	False	0.5001	0																																															1444.0																1444.0	
NC_072426.2	-3::NC_072426.2:0-8720	8720	False	0.501	0															7.0			2.0								1.0	8.0																				1444.0																1444.0	
NC_072426.2	1::NC_072426.2:0-8721	8721	False	0.5011	0															8.0			2.0								1.0	8.0																				1444.0																1444.0	
NC_072426.2	3::NC_072426.2:2-8666	8664	False	0.5001	0															1.0			1443.0									1444.0																																					
NC_072426.2	-3::NC_072426.2:34502339-34510217	7878	False	0.4378	2	64.0	9.0	69.0	19.0	108.0	30.0	28.0	38.0	49.0	74.0	61.0	58.0	14.0	15.0	29.0	160.0	79.0	22.0	152.0	97.0	23.0	48.0	23.0	29.0	16.0	33.0	56.0	48.0	22.0	21.0	29.0	85.0	65.0	7.0	33.0	59.0	42.0	35.0	21.0	96.0	56.0	63.0	8.0	5.0	46.0	9.0	22.0	82.0	4.0	5.0	35.0	56.0	4.0	34.0	36.0	14.0	54.0	12.0	31.0	51.0	33.0			
NC_072426.2	-1::NC_072426.2:167239072-167250001	10929	False	0.5	0	167.0			1654.0																																	1.0				1653.0													168.0										
NC_072426.2	3::NC_072426.2:167239073-167250002	10929	False	0.5	0	1654.0															1.0																					167.0				1.0													1653.0								167.0		
NC_072426.2	-3::NC_072426.2:167239211-167249138	9927	False	0.5001	0	1654.0															1.0																					1.0																	1653.0										
NC_072426.2	1::NC_072426.2:167239212-167249139	9927	False	0.4999	0																																					1653.0				2.0																					1654.0		
NC_072430.2	-1::NC_072430.2:674-10388	9714	False	0.5	0							12.0								1598.0			7.0									6.0																			1.0	2.0												1612.0					
NC_072430.2	1::NC_072430.2:675-10389	9714	False	0.5001	0															1.0			1611.0									1600.0		12.0																		6.0									1.0							7.0	
NC_072430.2	2::NC_072430.2:811-10456	9645	False	0.5011	0													1.0		10.0			3.0								12.0	11.0																				1583.0				1.0												1594.0	
NC_072430.2	-3::NC_072430.2:816-10455	9639	False	0.501	0						8.0									12.0			1594.0									1583.0		12.0																											1.0			3.0					
NC_072430.2	3::NC_072430.2:12256925-12271832	14907	False	0.5922	2	39.0	102.0	223.0		30.0	35.0	202.0	42.0	20.0	12.0	84.0	160.0	17.0	118.0	279.0	35.0	16.0	72.0	88.0	129.0	237.0	97.0	307.0	206.0	64.0	121.0	10.0	46.0	344.0	92.0	19.0	34.0	65.0	19.0	120.0	6.0	108.0	63.0	327.0	54.0	39.0	43.0	19.0	47.0	179.0	44.0	42.0		13.0	11.0	4.0	83.0	84.0	25.0	176.0	4.0	7.0	6.0		25.0	2.0	14.0	16.0	44.0
