chr	start	end	frame	filler	strand	chr	first_exon_start	last_exon_end	gene	transcript	exon_strand	exon_frame	exon_count	upstream_len_in_scfr	downstream_len_in_scfr	first_exon_number	last_exon_number	gene_tx_count	first_exon_tx_count	last_exon_tx_count	first_exon_order	last_exon_order	first_exon_sharing	last_exon_sharing	first_exon_splicing	last_exon_splicing	first_exon_overlap	last_exon_overlap	merged_txs
NC_073224.2	100263826	100264147	2	1	+	NC_073224.2	100263868	100264139	IQGAP3	XM_004026975.5	+	2	2	42	8	6	7	5	4	4	middle	middle	0.800	0.800	alternative	alternative	67	113	4
NC_073224.2	100690743	100691532	-2	1	-	NC_073224.2	100690984	100691109	LMNA	XM_055361821.2	-	2	1	423	241	5	5	11	10	10	middle	middle	0.909	0.909	alternative	alternative	125	125	10
NC_073224.2	100690743	100691532	-2	1	-	NC_073224.2	100691321	100691466	LMNA	XM_055361839.2	-	2	1	66	578	1	1	11	1	1	first	first	0.091	0.091	unique	unique	145	145	1
NC_073224.2	101085088	101085514	-1	1	-	NC_073224.2	101085140	101085473	MSTO1	XM_055361681.2	-	1	2	41	52	7	8	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	117	134	1
NC_073224.2	101203838	101204234	-3	1	-	NC_073224.2	101203861	101204203	LOC101134978	XM_031010757.3	-	3	2	31	23	12	13	9	2	2	middle	middle	0.222	0.222	alternative	alternative	142	109	2
NC_073224.2	101205300	101205687	-2	1	-	NC_073224.2	101205313	101205646	LOC101134978	XM_004026931.5	-	2	2	41	13	7	8	9	9	9	middle	middle	1.000	1.000	constitutive	constitutive	117	134	9
NC_073224.2	101499612	101500221	-2	1	-	NC_073224.2	101499904	101500221	FDPS	XM_004026919.5	-	2	2	0	292	7	8	6	6	6	middle	middle	1.000	1.000	constitutive	constitutive	77	134	6
NC_073224.2	101524215	101524761	1	1	+	NC_073224.2	101524283	101524602	PKLR	XM_004026915.4	+	1	2	68	159	3	4	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	91	131	1
NC_073224.2	101588295	101589084	-2	1	-	NC_073224.2	101588323	101588763	LOC115936258	XM_063694452.1	-	2	2	321	28	2	3	5	2	4	middle	middle	0.400	0.800	alternative	alternative	92	182	2
NC_073224.2	101588295	101589084	-2	1	-	NC_073224.2	101588323	101588706	LOC115936258	XM_063694454.1	-	2	2	378	28	1	2	5	2	4	first	middle	0.400	0.800	alternative	alternative	35	182	2
NC_073224.2	101608915	101609704	-1	1	-	NC_073224.2	101608943	101609383	LOC101151730	XM_019023756.4	-	1	2	321	28	4	5	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	92	182	1
NC_073224.2	101729196	101729655	-2	1	-	NC_073224.2	101729197	101729615	EFNA3	XM_031010586.3	-	2	2	40	1	4	5	4	2	4	middle	last	0.500	1.000	alternative	constitutive	77	127	2
NC_073224.2	101729196	101729655	-2	1	-	NC_073224.2	101729197	101729324	EFNA3	XM_031010587.3	-	2	1	331	1	4	4	4	4	4	last	last	1.000	1.000	constitutive	constitutive	127	127	2
NC_073224.2	101769551	101769980	-3	1	-	NC_073224.2	101769603	101769930	DCST1	XM_004026857.4	-	3	2	50	52	10	11	3	3	3	middle	middle	1.000	1.000	constitutive	constitutive	99	95	3
NC_073224.2	101783962	101784622	2	1	+	NC_073224.2	101784015	101784617	DCST2	XM_004026859.3	+	2	2	53	5	4	5	1	1	1	middle	middle	1.000	1.000	constitutive	constitutive	197	65	1
NC_073224.2	101849984	101850746	3	1	+	NC_073224.2	101850077	101850648	SHC1	XM_004026832.4	+	3	3	93	98	8	10	17	17	9	middle	middle	1.000	0.529	constitutive	alternative	198	131	9
NC_073224.2	101849984	101850746	3	1	+	NC_073224.2	101850077	101850648	SHC1	XM_019023254.3	+	3	3	93	98	8	10	17	17	8	middle	middle	1.000	0.471	constitutive	alternative	198	134	8
NC_073224.2	101868760	101869423	2	1	+	NC_073224.2	101868960	101869255	PBXIP1	XM_004026845.5	+	2	2	200	168	7	8	4	4	4	middle	middle	1.000	1.000	constitutive	constitutive	70	131	4
NC_073224.2	102839248	102839698	-1	1	-	NC_073224.2	102839281	102839618	CREB3L4	XM_019023008.3	-	1	2	80	33	7	8	11	11	11	middle	middle	1.000	1.000	constitutive	constitutive	84	96	11
NC_073224.2	102872231	102872879	3	1	+	NC_073224.2	102872261	102872878	DENND4B	XM_019022962.3	+	3	2	30	1	8	9	7	7	7	middle	middle	1.000	1.000	constitutive	constitutive	144	175	7
NC_073224.2	102882211	102882577	2	1	+	NC_073224.2	102882239	102882356	DENND4B	XM_019022962.3	+	2	1	28	221	24	24	7	6	6	middle	middle	0.857	0.857	alternative	alternative	117	117	6
