clade	species	start	end	gc_content	gc_stretch_count
NC_060945.1	-2::NC_060945.1:41607447-41617941	0	60	0.4667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	30	90	0.4333	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	60	120	0.4	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	90	150	0.4833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	120	180	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	150	210	0.5	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	180	240	0.4667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	210	270	0.5667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	240	300	0.6	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	270	330	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	300	360	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	330	390	0.6	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	360	420	0.6	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	390	450	0.6	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	420	480	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	450	510	0.5667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	480	540	0.5667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	510	570	0.5667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	540	600	0.5667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	570	630	0.5667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	600	660	0.5667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	630	690	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	660	720	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	690	750	0.5667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	720	780	0.6167	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	750	810	0.6333	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	780	840	0.6	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	810	870	0.6	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	840	900	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	870	930	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	900	960	0.6167	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	930	990	0.6	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	960	1020	0.5667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	990	1050	0.6	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1020	1080	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1050	1110	0.5667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1080	1140	0.6	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1110	1170	0.6167	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1140	1200	0.6167	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1170	1230	0.6	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1200	1260	0.5667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1230	1290	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1260	1320	0.6	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1290	1350	0.5667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1320	1380	0.6167	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1350	1410	0.6333	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1380	1440	0.6167	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1410	1470	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1440	1500	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1470	1530	0.6	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1500	1560	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1530	1590	0.6	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1560	1620	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1590	1650	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1620	1680	0.5667	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1650	1710	0.5833	0
NC_060945.1	-2::NC_060945.1:41607447-41617941	1680	1740	0.6167	0
